sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,profile_file,profile_name
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0008,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,8,"[""T1018"",""T1003"",""T1016"",""T1069"",""T1069"",""T1016"",""T1021"",""T1021""]","[""T1018"",""T1003.001"",""T1016"",""T1069.002"",""T1069.002"",""T1016"",""T1021.002"",""T1021.002""]",T1047,T1047,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0001,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1113""]","[""T1113""]",T1115,T1115,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0002,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,2,"[""T1113"",""T1115""]","[""T1113"",""T1115""]",T1217,T1217,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0003,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,3,"[""T1113"",""T1115"",""T1217""]","[""T1113"",""T1115"",""T1217""]",T1496,T1496,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0004,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,4,"[""T1113"",""T1115"",""T1217"",""T1496""]","[""T1113"",""T1115"",""T1217"",""T1496""]",T1074,T1074.001,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0005,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,5,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001""]",T1005,T1005,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0006,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,6,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005""]",T1074,T1074.001,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0007,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,7,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001""]",T1560,T1560.001,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0008,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,8,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001""]",T1041,T1041,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0009,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,9,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041""]",T1005,T1005,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0010,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,10,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041"",""T1005""]",T1518,T1518.001,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0011,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,11,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005"",""T1518""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041"",""T1005"",""T1518.001""]",T1016,T1016.002,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0012,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,12,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005"",""T1518"",""T1016""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041"",""T1005"",""T1518.001"",""T1016.002""]",T1016,T1016.002,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0013,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,13,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005"",""T1518"",""T1016"",""T1016""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041"",""T1005"",""T1518.001"",""T1016.002"",""T1016.002""]",T1040,T1040,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0014,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,14,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005"",""T1518"",""T1016"",""T1016"",""T1040""]","[""T1113"",""T1115"",""T1217"",""T1496"",""T1074.001"",""T1005"",""T1074.001"",""T1560.001"",""T1041"",""T1005"",""T1518.001"",""T1016.002"",""T1016.002"",""T1040""]",T1059,T1059.002,data/adversaries/564ae20d-778d-4965-93dc-b523be2e2ab4.yml,Super Spy
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0001,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1005""]","[""T1005""]",T1552,T1552.003,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0002,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,2,"[""T1005"",""T1552""]","[""T1005"",""T1552.003""]",T1135,T1135,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0003,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,3,"[""T1005"",""T1552"",""T1135""]","[""T1005"",""T1552.003"",""T1135""]",T1018,T1018,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0004,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,4,"[""T1005"",""T1552"",""T1135"",""T1018""]","[""T1005"",""T1552.003"",""T1135"",""T1018""]",T1003,T1003.001,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0005,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,5,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001""]",T1018,T1018,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0006,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,6,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018""]",T1018,T1018,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0007,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,7,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018""]",T1021,T1021.002,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0008,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,8,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018"",""T1021.002""]",T1021,T1021.002,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0009,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,9,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018"",""T1021.002"",""T1021.002""]",T1570,T1570,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0010,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,10,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021"",""T1570""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018"",""T1021.002"",""T1021.002"",""T1570""]",T1047,T1047,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0011,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,11,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021"",""T1570"",""T1047""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018"",""T1021.002"",""T1021.002"",""T1570"",""T1047""]",T1021,T1021.006,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0012,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,12,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021"",""T1570"",""T1047"",""T1021""]","[""T1005"",""T1552.003"",""T1135"",""T1018"",""T1003.001"",""T1018"",""T1018"",""T1021.002"",""T1021.002"",""T1570"",""T1047"",""T1021.006""]",T1021,T1021.004,data/adversaries/78e7504d-968f-477d-8806-4d6c04b94431.yml,Worm
stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0001,stockpile,bcdbf6b9-14c5-495c-be84-37bce32c312b,1,"[""T1003""]","[""T1003.001""]",T1218,T1218.008,data/adversaries/bcdbf6b9-14c5-495c-be84-37bce32c312b.yml,Signed Binary Proxy Execution
stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0002,stockpile,bcdbf6b9-14c5-495c-be84-37bce32c312b,2,"[""T1003"",""T1218""]","[""T1003.001"",""T1218.008""]",T1218,T1218.013,data/adversaries/bcdbf6b9-14c5-495c-be84-37bce32c312b.yml,Signed Binary Proxy Execution
stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0001,stockpile,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,"[""T1082""]","[""T1082""]",T1018,T1018,data/adversaries/c220a8e6-609c-4d5b-9e1c-068ca01c2eec.yml,Lateral Movement - Certutil
stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0002,stockpile,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,2,"[""T1082"",""T1018""]","[""T1082"",""T1018""]",T1570,T1570,data/adversaries/c220a8e6-609c-4d5b-9e1c-068ca01c2eec.yml,Lateral Movement - Certutil
stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0001,stockpile,c724545d-a4cc-492e-8075-2ab9a699c847,1,"[""T1548""]","[""T1548.002""]",T1548,T1548.002,data/adversaries/c724545d-a4cc-492e-8075-2ab9a699c847.yml,You Shall (Not) Bypass
stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0002,stockpile,c724545d-a4cc-492e-8075-2ab9a699c847,2,"[""T1548"",""T1548""]","[""T1548.002"",""T1548.002""]",T1548,T1548.002,data/adversaries/c724545d-a4cc-492e-8075-2ab9a699c847.yml,You Shall (Not) Bypass
stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0003,stockpile,c724545d-a4cc-492e-8075-2ab9a699c847,3,"[""T1548"",""T1548"",""T1548""]","[""T1548.002"",""T1548.002"",""T1548.002""]",T1548,T1548.002,data/adversaries/c724545d-a4cc-492e-8075-2ab9a699c847.yml,You Shall (Not) Bypass
stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0001,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,1,"[""T1047""]","[""T1047""]",T1057,T1057,data/adversaries/d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e.yml,Enumerator
stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0002,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,2,"[""T1047"",""T1057""]","[""T1047"",""T1057""]",T1057,T1057,data/adversaries/d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e.yml,Enumerator
stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0003,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,"[""T1047"",""T1057"",""T1057""]","[""T1047"",""T1057"",""T1057""]",T1518,T1518.001,data/adversaries/d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e.yml,Enumerator
stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0004,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,4,"[""T1047"",""T1057"",""T1057"",""T1518""]","[""T1047"",""T1057"",""T1057"",""T1518.001""]",T1057,T1057,data/adversaries/d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e.yml,Enumerator
stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0001,stockpile,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,"[""T1135""]","[""T1135""]",T1021,T1021.002,data/adversaries/dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6.yml,Service Creation Lateral Movement
stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0002,stockpile,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,2,"[""T1135"",""T1021""]","[""T1135"",""T1021.002""]",T1569,T1569.002,data/adversaries/dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6.yml,Service Creation Lateral Movement
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0001,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1005""]","[""T1005""]",T1033,T1033,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0002,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,2,"[""T1005"",""T1033""]","[""T1005"",""T1033""]",T1087,T1087.001,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0003,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,3,"[""T1005"",""T1033"",""T1087""]","[""T1005"",""T1033"",""T1087.001""]",T1087,T1087.001,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0004,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,4,"[""T1005"",""T1033"",""T1087"",""T1087""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001""]",T1016,T1016,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0005,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,5,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016""]",T1057,T1057,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0006,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,6,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057""]",T1135,T1135,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0007,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,7,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057"",""T1135""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057"",""T1135""]",T1018,T1018,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0008,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,8,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057"",""T1135"",""T1018""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057"",""T1135"",""T1018""]",T1518,T1518.001,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0009,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,9,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518.001""]",T1069,T1069.001,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0010,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,10,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518"",""T1069""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518.001"",""T1069.001""]",T1518,T1518.001,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0011,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,11,"[""T1005"",""T1033"",""T1087"",""T1087"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518"",""T1069"",""T1518""]","[""T1005"",""T1033"",""T1087.001"",""T1087.001"",""T1016"",""T1057"",""T1135"",""T1018"",""T1518.001"",""T1069.001"",""T1518.001""]",T1018,T1018,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
