sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,org_name,actor,plan_id,scenario_id,mapping_quality
apt29::unknown::19,ctid,apt29::unknown,19,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018""]",T1016,T1016,apt29,apt29,apt29,unknown,high
apt29::unknown::2,ctid,apt29::unknown,2,"[""T1036"",""T1059""]","[""T1036.002"",""T1059.001""]",T1119,T1119,apt29,apt29,apt29,unknown,high
apt29::unknown::20,ctid,apt29::unknown,20,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016""]",T1057,T1057,apt29,apt29,apt29,unknown,high
apt29::unknown::21,ctid,apt29::unknown,21,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057""]",T1070,T1070.004,apt29,apt29,apt29,unknown,high
apt29::unknown::22,ctid,apt29::unknown,22,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004""]",T1082,T1082,apt29,apt29,apt29,unknown,high
apt29::unknown::23,ctid,apt29::unknown,23,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082""]",T1049,T1049,apt29,apt29,apt29,unknown,high
apt29::unknown::24,ctid,apt29::unknown,24,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049""]",T1003,T1003,apt29,apt29,apt29,unknown,high
apt29::unknown::25,ctid,apt29::unknown,25,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003""]",T1547,T1547.009,apt29,apt29,apt29,unknown,high
apt29::unknown::26,ctid,apt29::unknown,26,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009""]",T1134,T1134,apt29,apt29,apt29,unknown,high
apt29::unknown::27,ctid,apt29::unknown,27,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134""]",T1003,T1003,apt29,apt29,apt29,unknown,high
apt29::unknown::28,ctid,apt29::unknown,28,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003""]",T1134,T1134,apt29,apt29,apt29,unknown,high
apt29::unknown::3,ctid,apt29::unknown,3,"[""T1036"",""T1059"",""T1119""]","[""T1036.002"",""T1059.001"",""T1119""]",T1016,T1016,apt29,apt29,apt29,unknown,high
apt29::unknown::30,ctid,apt29::unknown,30,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081""]",T1552,T1552.004,apt29,apt29,apt29,unknown,high
apt29::unknown::31,ctid,apt29::unknown,31,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004""]",T1036,T1036.005,apt29,apt29,apt29,unknown,high
apt29::unknown::32,ctid,apt29::unknown,32,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005""]",T1113,T1113,apt29,apt29,apt29,unknown,high
apt29::unknown::33,ctid,apt29::unknown,33,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113""]",T1115,T1115,apt29,apt29,apt29,unknown,high
apt29::unknown::34,ctid,apt29::unknown,34,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115""]",T1056,T1056.001,apt29,apt29,apt29,unknown,high
apt29::unknown::35,ctid,apt29::unknown,35,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001""]",T1041,T1041,apt29,apt29,apt29,unknown,high
apt29::unknown::36,ctid,apt29::unknown,36,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041""]",T1105,T1105,apt29,apt29,apt29,unknown,high
apt29::unknown::37,ctid,apt29::unknown,37,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105""]",T1134,T1134.001,apt29,apt29,apt29,unknown,high
apt29::unknown::38,ctid,apt29::unknown,38,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001""]",T1053,T1053,apt29,apt29,apt29,unknown,high
apt29::unknown::39,ctid,apt29::unknown,39,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053""]",T1134,T1134.001,apt29,apt29,apt29,unknown,high
apt29::unknown::4,ctid,apt29::unknown,4,"[""T1036"",""T1059"",""T1119"",""T1016""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016""]",T1033,T1033,apt29,apt29,apt29,unknown,high
apt29::unknown::40,ctid,apt29::unknown,40,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001""]",T1018,T1018,apt29,apt29,apt29,unknown,high
apt29::unknown::41,ctid,apt29::unknown,41,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001"",""T1018""]",T1059,T1059.001,apt29,apt29,apt29,unknown,high
apt29::unknown::42,ctid,apt29::unknown,42,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001"",""T1018"",""T1059.001""]",T1083,T1083,apt29,apt29,apt29,unknown,high
apt29::unknown::43,ctid,apt29::unknown,43,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059"",""T1083""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001"",""T1018"",""T1059.001"",""T1083""]",T1134,T1134.001,apt29,apt29,apt29,unknown,high
apt29::unknown::44,ctid,apt29::unknown,44,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059"",""T1083"",""T1134""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001"",""T1018"",""T1059.001"",""T1083"",""T1134.001""]",T1105,T1105,apt29,apt29,apt29,unknown,high
