sample_id,held_out_source,campaign_id,prefix_len,target_parent_ids,target_size,predicted_next_ttps
attack_flow::Black Basta Ransomware::0018,attack_flow,Black Basta Ransomware,18,"[""T1567"",""T1047"",""T1562""]",3,"[""T1021"",""T1003"",""T1105"",""T1560"",""T1486""]"
attack_flow::Black Basta Ransomware::0019,attack_flow,Black Basta Ransomware,19,"[""T1047"",""T1562"",""T1083""]",3,"[""T1486"",""T1078"",""T1005"",""T1070"",""T1059""]"
attack_flow::Black Basta Ransomware::0020,attack_flow,Black Basta Ransomware,20,"[""T1562"",""T1083"",""T1486""]",3,"[""T1486"",""T1078"",""T1005"",""T1053"",""T1070""]"
attack_flow::Black Basta Ransomware::0021,attack_flow,Black Basta Ransomware,21,"[""T1083"",""T1486"",""T1491""]",3,"[""T1059"",""T1486"",""T1078"",""T1053"",""T1070""]"
attack_flow::Black Basta Ransomware::0022,attack_flow,Black Basta Ransomware,22,"[""T1486"",""T1491"",""T1070""]",3,"[""T1486"",""T1490"",""T1078"",""T1005"",""T1059""]"
attack_flow::Black Basta Ransomware::0023,attack_flow,Black Basta Ransomware,23,"[""T1491"",""T1070""]",2,"[""T1059"",""T1078"",""T1021"",""T1005"",""T1070""]"
attack_flow::Black Basta Ransomware::0024,attack_flow,Black Basta Ransomware,24,"[""T1070""]",1,"[""T1070"",""T1059"",""T1021"",""T1005"",""T1486""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0001,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1068"",""T1059"",""T1070""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0002,attack_flow,CISA AA22-138B VMWare Workspace (Alt),2,"[""T1059"",""T1070"",""T1560""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0003,attack_flow,CISA AA22-138B VMWare Workspace (Alt),3,"[""T1070"",""T1560"",""T1105""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0004,attack_flow,CISA AA22-138B VMWare Workspace (Alt),4,"[""T1560"",""T1105"",""T1083""]",3,"[""T1059"",""T1078"",""T1003"",""T1021"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0005,attack_flow,CISA AA22-138B VMWare Workspace (Alt),5,"[""T1105"",""T1083""]",2,"[""T1560"",""T1041"",""T1021"",""T1078"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0006,attack_flow,CISA AA22-138B VMWare Workspace (Alt),6,"[""T1083"",""T1105"",""T1070""]",3,"[""T1005"",""T1071"",""T1543"",""T1021"",""T1486""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0007,attack_flow,CISA AA22-138B VMWare Workspace (Alt),7,"[""T1105"",""T1070""]",2,"[""T1005"",""T1078"",""T1021"",""T1053"",""T1543""]"
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0008,attack_flow,CISA AA22-138B VMWare Workspace (Alt),8,"[""T1070""]",1,"[""T1005"",""T1071"",""T1505"",""T1021"",""T1041""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0001,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1203"",""T1105"",""T1068""]",3,"[""T1059"",""T1505"",""T1105"",""T1021"",""T1005""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0002,attack_flow,CISA AA22-138B VMWare Workspace (TA1),2,"[""T1105"",""T1068"",""T1119""]",3,"[""T1059"",""T1105"",""T1021"",""T1003"",""T1078""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0003,attack_flow,CISA AA22-138B VMWare Workspace (TA1),3,"[""T1068"",""T1119"",""T1560""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0004,attack_flow,CISA AA22-138B VMWare Workspace (TA1),4,"[""T1119"",""T1560"",""T1070""]",3,"[""T1059"",""T1021"",""T1003"",""T1078"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0005,attack_flow,CISA AA22-138B VMWare Workspace (TA1),5,"[""T1560"",""T1070"",""T1071""]",3,"[""T1041"",""T1021"",""T1005"",""T1078"",""T1059""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0006,attack_flow,CISA AA22-138B VMWare Workspace (TA1),6,"[""T1070"",""T1071"",""T1041""]",3,"[""T1041"",""T1021"",""T1059"",""T1005"",""T1078""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0007,attack_flow,CISA AA22-138B VMWare Workspace (TA1),7,"[""T1071"",""T1041""]",2,"[""T1041"",""T1021"",""T1005"",""T1078"",""T1059""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0008,attack_flow,CISA AA22-138B VMWare Workspace (TA1),8,"[""T1041""]",1,"[""T1041"",""T1021"",""T1053"",""T1078"",""T1485""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0001,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1105"",""T1059""]",2,"[""T1059"",""T1505"",""T1021"",""T1078"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0002,attack_flow,CISA AA22-138B VMWare Workspace (TA2),2,"[""T1105"",""T1059"",""T1003""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0003,attack_flow,CISA AA22-138B VMWare Workspace (TA2),3,"[""T1059"",""T1003"",""T1105""]",3,"[""T1505"",""T1059"",""T1078"",""T1021"",""T1005""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0004,attack_flow,CISA AA22-138B VMWare Workspace (TA2),4,"[""T1003"",""T1105"",""T1573""]",3,"[""T1059"",""T1105"",""T1071"",""T1003"",""T1021""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0005,attack_flow,CISA AA22-138B VMWare Workspace (TA2),5,"[""T1105"",""T1573""]",2,"[""T1078"",""T1021"",""T1053"",""T1036"",""T1505""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0006,attack_flow,CISA AA22-138B VMWare Workspace (TA2),6,"[""T1573"",""T1105"",""T1090""]",3,"[""T1059"",""T1003"",""T1105"",""T1071"",""T1021""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0007,attack_flow,CISA AA22-138B VMWare Workspace (TA2),7,"[""T1105"",""T1090"",""T1222""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0008,attack_flow,CISA AA22-138B VMWare Workspace (TA2),8,"[""T1090"",""T1222"",""T1105""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0009,attack_flow,CISA AA22-138B VMWare Workspace (TA2),9,"[""T1222"",""T1105""]",2,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1090""]"
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0010,attack_flow,CISA AA22-138B VMWare Workspace (TA2),10,"[""T1105""]",1,"[""T1059"",""T1003"",""T1090"",""T1222"",""T1071""]"
attack_flow::CISA Iranian APT::0001,attack_flow,CISA Iranian APT,1,"[""T1059"",""T1562"",""T1105""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA Iranian APT::0002,attack_flow,CISA Iranian APT,2,"[""T1562"",""T1105""]",2,"[""T1021"",""T1078"",""T1003"",""T1053"",""T1046""]"
attack_flow::CISA Iranian APT::0003,attack_flow,CISA Iranian APT,3,"[""T1105"",""T1070""]",2,"[""T1059"",""T1562"",""T1018"",""T1021"",""T1078""]"
attack_flow::CISA Iranian APT::0004,attack_flow,CISA Iranian APT,4,"[""T1105"",""T1070"",""T1136""]",3,"[""T1059"",""T1082"",""T1003"",""T1021"",""T1105""]"
attack_flow::CISA Iranian APT::0005,attack_flow,CISA Iranian APT,5,"[""T1070"",""T1136"",""T1016""]",3,"[""T1018"",""T1021"",""T1053"",""T1005"",""T1078""]"
attack_flow::CISA Iranian APT::0006,attack_flow,CISA Iranian APT,6,"[""T1136"",""T1016"",""T1053""]",3,"[""T1057"",""T1018"",""T1021"",""T1053"",""T1078""]"
attack_flow::CISA Iranian APT::0007,attack_flow,CISA Iranian APT,7,"[""T1016"",""T1053"",""T1021""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::CISA Iranian APT::0008,attack_flow,CISA Iranian APT,8,"[""T1053"",""T1021"",""T1078""]",3,"[""T1018"",""T1021"",""T1003"",""T1078"",""T1053""]"
attack_flow::CISA Iranian APT::0009,attack_flow,CISA Iranian APT,9,"[""T1021"",""T1078"",""T1105""]",3,"[""T1021"",""T1003"",""T1078"",""T1055"",""T1041""]"
attack_flow::CISA Iranian APT::0010,attack_flow,CISA Iranian APT,10,"[""T1078"",""T1105"",""T1136""]",3,"[""T1003"",""T1078"",""T1083"",""T1041"",""T1021""]"
attack_flow::CISA Iranian APT::0011,attack_flow,CISA Iranian APT,11,"[""T1105"",""T1136"",""T1021""]",3,"[""T1003"",""T1078"",""T1021"",""T1059"",""T1105""]"
attack_flow::CISA Iranian APT::0012,attack_flow,CISA Iranian APT,12,"[""T1136"",""T1021"",""T1562""]",3,"[""T1003"",""T1078"",""T1021"",""T1105"",""T1059""]"
attack_flow::CISA Iranian APT::0013,attack_flow,CISA Iranian APT,13,"[""T1021"",""T1562"",""T1570""]",3,"[""T1003"",""T1078"",""T1021"",""T1053"",""T1105""]"
attack_flow::CISA Iranian APT::0014,attack_flow,CISA Iranian APT,14,"[""T1562"",""T1570"",""T1090""]",3,"[""T1078"",""T1021"",""T1136"",""T1003"",""T1059""]"
attack_flow::CISA Iranian APT::0015,attack_flow,CISA Iranian APT,15,"[""T1570"",""T1090"",""T1021""]",3,"[""T1078"",""T1021"",""T1003"",""T1053"",""T1105""]"
attack_flow::CISA Iranian APT::0016,attack_flow,CISA Iranian APT,16,"[""T1090"",""T1021"",""T1059""]",3,"[""T1003"",""T1078"",""T1021"",""T1059"",""T1105""]"
attack_flow::CISA Iranian APT::0017,attack_flow,CISA Iranian APT,17,"[""T1021"",""T1059"",""T1018""]",3,"[""T1021"",""T1078"",""T1003"",""T1059"",""T1105""]"
attack_flow::CISA Iranian APT::0018,attack_flow,CISA Iranian APT,18,"[""T1059"",""T1018"",""T1098""]",3,"[""T1003"",""T1078"",""T1053"",""T1090"",""T1105""]"
attack_flow::CISA Iranian APT::0019,attack_flow,CISA Iranian APT,19,"[""T1018"",""T1098"",""T1003""]",3,"[""T1003"",""T1078"",""T1105"",""T1059"",""T1021""]"
attack_flow::CISA Iranian APT::0020,attack_flow,CISA Iranian APT,20,"[""T1098"",""T1003""]",2,"[""T1003"",""T1078"",""T1021"",""T1059"",""T1105""]"
attack_flow::CISA Iranian APT::0021,attack_flow,CISA Iranian APT,21,"[""T1003""]",1,"[""T1078"",""T1003"",""T1021"",""T1059"",""T1105""]"
attack_flow::Cobalt Kitty Campaign::0001,attack_flow,Cobalt Kitty Campaign,1,"[""T1059"",""T1140""]",2,"[""T1059"",""T1105"",""T1021"",""T1003"",""T1078""]"
attack_flow::Cobalt Kitty Campaign::0002,attack_flow,Cobalt Kitty Campaign,2,"[""T1140"",""T1059"",""T1547""]",3,"[""T1059"",""T1105"",""T1027"",""T1055"",""T1003""]"
attack_flow::Cobalt Kitty Campaign::0003,attack_flow,Cobalt Kitty Campaign,3,"[""T1059"",""T1547"",""T1574""]",3,"[""T1059"",""T1105"",""T1027"",""T1003"",""T1078""]"
attack_flow::Cobalt Kitty Campaign::0004,attack_flow,Cobalt Kitty Campaign,4,"[""T1547"",""T1574"",""T1218""]",3,"[""T1059"",""T1105"",""T1027"",""T1003"",""T1078""]"
attack_flow::Cobalt Kitty Campaign::0005,attack_flow,Cobalt Kitty Campaign,5,"[""T1574"",""T1218"",""T1001""]",3,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]"
attack_flow::Cobalt Kitty Campaign::0006,attack_flow,Cobalt Kitty Campaign,6,"[""T1218"",""T1001"",""T1018""]",3,"[""T1059"",""T1547"",""T1574"",""T1003"",""T1021""]"
attack_flow::Cobalt Kitty Campaign::0007,attack_flow,Cobalt Kitty Campaign,7,"[""T1001"",""T1018"",""T1016""]",3,"[""T1059"",""T1218"",""T1547"",""T1574"",""T1003""]"
attack_flow::Cobalt Kitty Campaign::0008,attack_flow,Cobalt Kitty Campaign,8,"[""T1018"",""T1016"",""T1003""]",3,"[""T1059"",""T1547"",""T1574"",""T1218"",""T1001""]"
attack_flow::Cobalt Kitty Campaign::0009,attack_flow,Cobalt Kitty Campaign,9,"[""T1016"",""T1003"",""T1021""]",3,"[""T1016"",""T1033"",""T1003"",""T1021"",""T1078""]"
attack_flow::Cobalt Kitty Campaign::0010,attack_flow,Cobalt Kitty Campaign,10,"[""T1003"",""T1021""]",2,"[""T1003"",""T1021"",""T1078"",""T1105"",""T1055""]"
attack_flow::Cobalt Kitty Campaign::0011,attack_flow,Cobalt Kitty Campaign,11,"[""T1021""]",1,"[""T1021"",""T1078"",""T1105"",""T1005"",""T1041""]"
attack_flow::Conti CISA Alert::0001,attack_flow,Conti CISA Alert,1,"[""T1204"",""T1558"",""T1110""]",3,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1078""]"
attack_flow::Conti CISA Alert::0002,attack_flow,Conti CISA Alert,2,"[""T1558"",""T1110"",""T1203""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::Conti CISA Alert::0003,attack_flow,Conti CISA Alert,3,"[""T1110"",""T1203"",""T1486""]",3,"[""T1078"",""T1021"",""T1003"",""T1059"",""T1105""]"
attack_flow::Conti CISA Alert::0004,attack_flow,Conti CISA Alert,4,"[""T1203"",""T1486""]",2,"[""T1078"",""T1021"",""T1003"",""T1059"",""T1105""]"
attack_flow::Conti CISA Alert::0005,attack_flow,Conti CISA Alert,5,"[""T1486""]",1,"[""T1021"",""T1078"",""T1003"",""T1059"",""T1105""]"
attack_flow::Conti PWC::0001,attack_flow,Conti PWC,1,"[""T1204"",""T1586"",""T1083""]",3,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1078""]"
attack_flow::Conti PWC::0002,attack_flow,Conti PWC,2,"[""T1586"",""T1083""]",2,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::Conti PWC::0003,attack_flow,Conti PWC,3,"[""T1083""]",1,"[""T1078"",""T1021"",""T1059"",""T1003"",""T1105""]"
attack_flow::Conti Ransomware::0001,attack_flow,Conti Ransomware,1,"[""T1059"",""T1105"",""T1218""]",3,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1078""]"
attack_flow::Conti Ransomware::0002,attack_flow,Conti Ransomware,2,"[""T1105"",""T1218""]",2,"[""T1059"",""T1071"",""T1105"",""T1057"",""T1005""]"
attack_flow::Conti Ransomware::0003,attack_flow,Conti Ransomware,3,"[""T1218"",""T1105"",""T1033""]",3,"[""T1059"",""T1105"",""T1547"",""T1055"",""T1021""]"
attack_flow::Conti Ransomware::0004,attack_flow,Conti Ransomware,4,"[""T1105"",""T1033"",""T1134""]",3,"[""T1059"",""T1105"",""T1218"",""T1021"",""T1003""]"
attack_flow::Conti Ransomware::0005,attack_flow,Conti Ransomware,5,"[""T1033"",""T1134"",""T1021""]",3,"[""T1059"",""T1105"",""T1218"",""T1021"",""T1003""]"
attack_flow::Conti Ransomware::0006,attack_flow,Conti Ransomware,6,"[""T1134"",""T1021"",""T1046""]",3,"[""T1003"",""T1021"",""T1078"",""T1055"",""T1018""]"
attack_flow::Conti Ransomware::0007,attack_flow,Conti Ransomware,7,"[""T1021"",""T1046""]",2,"[""T1021"",""T1003"",""T1078"",""T1055"",""T1082""]"
attack_flow::Conti Ransomware::0008,attack_flow,Conti Ransomware,8,"[""T1046"",""T1021""]",2,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1047""]"
attack_flow::Conti Ransomware::0009,attack_flow,Conti Ransomware,9,"[""T1021""]",1,"[""T1003"",""T1078"",""T1053"",""T1021"",""T1105""]"
attack_flow::Conti Ransomware::0010,attack_flow,Conti Ransomware,10,"[""T1021"",""T1087""]",2,"[""T1003"",""T1078"",""T1053"",""T1047"",""T1082""]"
attack_flow::Conti Ransomware::0011,attack_flow,Conti Ransomware,11,"[""T1021"",""T1087"",""T1484""]",3,"[""T1003"",""T1078"",""T1059"",""T1105"",""T1046""]"
attack_flow::Conti Ransomware::0012,attack_flow,Conti Ransomware,12,"[""T1087"",""T1484"",""T1562""]",3,"[""T1003"",""T1078"",""T1053"",""T1047"",""T1082""]"
attack_flow::Conti Ransomware::0014,attack_flow,Conti Ransomware,14,"[""T1562"",""T1486""]",2,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1110""]"
attack_flow::Conti Ransomware::0015,attack_flow,Conti Ransomware,15,"[""T1486""]",1,"[""T1003"",""T1078"",""T1053"",""T1046"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0001,attack_flow,DFIR - BumbleBee Round 2,1,"[""T1059"",""T1135"",""T1071""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0002,attack_flow,DFIR - BumbleBee Round 2,2,"[""T1135"",""T1071"",""T1087""]",3,"[""T1059"",""T1547"",""T1003"",""T1021"",""T1078""]"
attack_flow::DFIR - BumbleBee Round 2::0003,attack_flow,DFIR - BumbleBee Round 2,3,"[""T1071"",""T1087"",""T1003""]",3,"[""T1018"",""T1021"",""T1082"",""T1105"",""T1078""]"
attack_flow::DFIR - BumbleBee Round 2::0004,attack_flow,DFIR - BumbleBee Round 2,4,"[""T1087"",""T1003"",""T1021""]",3,"[""T1021"",""T1003"",""T1083"",""T1018"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0005,attack_flow,DFIR - BumbleBee Round 2,5,"[""T1003"",""T1021"",""T1219""]",3,"[""T1018"",""T1021"",""T1003"",""T1055"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0006,attack_flow,DFIR - BumbleBee Round 2,6,"[""T1021"",""T1219"",""T1136""]",3,"[""T1021"",""T1078"",""T1055"",""T1105"",""T1036""]"
attack_flow::DFIR - BumbleBee Round 2::0007,attack_flow,DFIR - BumbleBee Round 2,7,"[""T1219"",""T1136"",""T1016""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1562""]"
attack_flow::DFIR - BumbleBee Round 2::0008,attack_flow,DFIR - BumbleBee Round 2,8,"[""T1136"",""T1016"",""T1219""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0009,attack_flow,DFIR - BumbleBee Round 2,9,"[""T1016"",""T1219"",""T1021""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0010,attack_flow,DFIR - BumbleBee Round 2,10,"[""T1219"",""T1021"",""T1059""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0011,attack_flow,DFIR - BumbleBee Round 2,11,"[""T1021"",""T1059""]",2,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::DFIR - BumbleBee Round 2::0012,attack_flow,DFIR - BumbleBee Round 2,12,"[""T1059""]",1,"[""T1021"",""T1003"",""T1078"",""T1059"",""T1136""]"
attack_flow::Equifax Breach::0001,attack_flow,Equifax Breach,1,"[""T1190"",""T1505"",""T1589""]",3,"[""T1190"",""T1059"",""T1078"",""T1105"",""T1021""]"
attack_flow::Equifax Breach::0002,attack_flow,Equifax Breach,2,"[""T1505"",""T1589"",""T1573""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::Equifax Breach::0003,attack_flow,Equifax Breach,3,"[""T1589"",""T1573"",""T1560""]",3,"[""T1059"",""T1078"",""T1021"",""T1005"",""T1567""]"
attack_flow::Equifax Breach::0004,attack_flow,Equifax Breach,4,"[""T1573"",""T1560"",""T1048""]",3,"[""T1078"",""T1021"",""T1003"",""T1046"",""T1105""]"
attack_flow::Equifax Breach::0005,attack_flow,Equifax Breach,5,"[""T1560"",""T1048"",""T1090""]",3,"[""T1005"",""T1021"",""T1078"",""T1041"",""T1505""]"
attack_flow::Equifax Breach::0006,attack_flow,Equifax Breach,6,"[""T1048"",""T1090"",""T1070""]",3,"[""T1005"",""T1030"",""T1041"",""T1078"",""T1021""]"
attack_flow::Equifax Breach::0007,attack_flow,Equifax Breach,7,"[""T1090"",""T1070""]",2,"[""T1021"",""T1078"",""T1005"",""T1070"",""T1485""]"
attack_flow::Equifax Breach::0008,attack_flow,Equifax Breach,8,"[""T1070""]",1,"[""T1078"",""T1021"",""T1003"",""T1059"",""T1105""]"
attack_flow::FIN13 Case 1::0001,attack_flow,FIN13 Case 1,1,"[""T1595"",""T1190"",""T1505""]",3,"[""T1190"",""T1592"",""T1590"",""T1046"",""T1059""]"
attack_flow::FIN13 Case 1::0002,attack_flow,FIN13 Case 1,2,"[""T1190"",""T1505"",""T1046""]",3,"[""T1190"",""T1592"",""T1590"",""T1046"",""T1135""]"
attack_flow::FIN13 Case 1::0003,attack_flow,FIN13 Case 1,3,"[""T1505"",""T1046"",""T1105""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::FIN13 Case 1::0004,attack_flow,FIN13 Case 1,4,"[""T1046"",""T1105"",""T1505""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::FIN13 Case 1::0005,attack_flow,FIN13 Case 1,5,"[""T1105"",""T1505""]",2,"[""T1021"",""T1059"",""T1003"",""T1078"",""T1105""]"
attack_flow::FIN13 Case 1::0006,attack_flow,FIN13 Case 1,6,"[""T1505"",""T1595""]",2,"[""T1021"",""T1003"",""T1059"",""T1078"",""T1046""]"
attack_flow::FIN13 Case 1::0007,attack_flow,FIN13 Case 1,7,"[""T1505"",""T1595"",""T1570""]",3,"[""T1021"",""T1003"",""T1059"",""T1078"",""T1046""]"
attack_flow::FIN13 Case 1::0008,attack_flow,FIN13 Case 1,8,"[""T1595"",""T1570""]",2,"[""T1021"",""T1003"",""T1059"",""T1078"",""T1046""]"
attack_flow::FIN13 Case 1::0009,attack_flow,FIN13 Case 1,9,"[""T1570"",""T1210""]",2,"[""T1021"",""T1003"",""T1078"",""T1059"",""T1105""]"
attack_flow::FIN13 Case 1::0010,attack_flow,FIN13 Case 1,10,"[""T1570"",""T1210"",""T1003""]",3,"[""T1046"",""T1021"",""T1003"",""T1078"",""T1105""]"
attack_flow::FIN13 Case 1::0011,attack_flow,FIN13 Case 1,11,"[""T1210"",""T1003"",""T1021""]",3,"[""T1021"",""T1003"",""T1078"",""T1059"",""T1105""]"
attack_flow::FIN13 Case 1::0012,attack_flow,FIN13 Case 1,12,"[""T1003"",""T1021"",""T1005""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1059""]"
attack_flow::FIN13 Case 1::0013,attack_flow,FIN13 Case 1,13,"[""T1021"",""T1005"",""T1040""]",3,"[""T1078"",""T1021"",""T1003"",""T1105"",""T1059""]"
attack_flow::FIN13 Case 1::0014,attack_flow,FIN13 Case 1,14,"[""T1005"",""T1040"",""T1070""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1505""]"
attack_flow::FIN13 Case 1::0015,attack_flow,FIN13 Case 1,15,"[""T1040"",""T1070"",""T1570""]",3,"[""T1021"",""T1003"",""T1078"",""T1059"",""T1105""]"
attack_flow::FIN13 Case 1::0016,attack_flow,FIN13 Case 1,16,"[""T1070"",""T1570"",""T1558""]",3,"[""T1021"",""T1003"",""T1078"",""T1059"",""T1105""]"
attack_flow::FIN13 Case 1::0017,attack_flow,FIN13 Case 1,17,"[""T1570"",""T1558"",""T1078""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1046""]"
attack_flow::FIN13 Case 1::0018,attack_flow,FIN13 Case 1,18,"[""T1558"",""T1078"",""T1059""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1046""]"
