outer_train_sources,lambda,inner_train_source,inner_validation_source,validation_n,campaign_macro_top1,selected,mean_inner_top1_for_lambda,outer_held_source
attack_flow+stockpile,0.55,stockpile,attack_flow,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.55,attack_flow,stockpile,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.6,stockpile,attack_flow,10,0.2,True,0.15000000000000002,ctid
attack_flow+stockpile,0.6,attack_flow,stockpile,10,0.1,True,0.15000000000000002,ctid
attack_flow+stockpile,0.65,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.65,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.7,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.7,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.75,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.75,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.8,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.8,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.85,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.85,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.9,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.9,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,0.95,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,0.95,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
attack_flow+stockpile,1.0,stockpile,attack_flow,10,0.2,False,0.15000000000000002,ctid
attack_flow+stockpile,1.0,attack_flow,stockpile,10,0.1,False,0.15000000000000002,ctid
ctid+stockpile,0.0,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.0,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.05,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.05,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.1,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.1,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.15,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.15,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.2,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.2,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.25,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.25,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.3,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.3,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.35,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.35,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.4,stockpile,ctid,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.4,ctid,stockpile,10,0.0,False,0.0,attack_flow
ctid+stockpile,0.45,stockpile,ctid,10,0.0,True,0.05,attack_flow
ctid+stockpile,0.45,ctid,stockpile,10,0.1,True,0.05,attack_flow
ctid+stockpile,0.5,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.5,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.55,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.55,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.6,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.6,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.65,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.65,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.7,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.7,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.75,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.75,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.8,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.8,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.85,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.85,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.9,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.9,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,0.95,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,0.95,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+stockpile,1.0,stockpile,ctid,10,0.0,False,0.05,attack_flow
ctid+stockpile,1.0,ctid,stockpile,10,0.1,False,0.05,attack_flow
ctid+attack_flow,0.0,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.0,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.05,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.05,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.1,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.1,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.15,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.15,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.2,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.2,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.25,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.25,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.3,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.3,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.35,attack_flow,ctid,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.35,ctid,attack_flow,10,0.0,False,0.0,stockpile
ctid+attack_flow,0.4,attack_flow,ctid,10,0.0,False,0.05,stockpile
ctid+attack_flow,0.4,ctid,attack_flow,10,0.1,False,0.05,stockpile
ctid+attack_flow,0.45,attack_flow,ctid,10,0.0,False,0.05,stockpile
ctid+attack_flow,0.45,ctid,attack_flow,10,0.1,False,0.05,stockpile
ctid+attack_flow,0.5,attack_flow,ctid,10,0.0,False,0.05,stockpile
ctid+attack_flow,0.5,ctid,attack_flow,10,0.1,False,0.05,stockpile
ctid+attack_flow,0.55,attack_flow,ctid,10,0.0,False,0.05,stockpile
ctid+attack_flow,0.55,ctid,attack_flow,10,0.1,False,0.05,stockpile
ctid+attack_flow,0.6,attack_flow,ctid,10,0.0,True,0.1,stockpile
ctid+attack_flow,0.6,ctid,attack_flow,10,0.2,True,0.1,stockpile
ctid+attack_flow,0.65,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.65,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.7,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.7,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.75,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.75,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.8,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.8,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.85,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.85,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.9,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.9,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,0.95,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,0.95,ctid,attack_flow,10,0.2,False,0.1,stockpile
ctid+attack_flow,1.0,attack_flow,ctid,10,0.0,False,0.1,stockpile
ctid+attack_flow,1.0,ctid,attack_flow,10,0.2,False,0.1,stockpile
