pilot_slot,length_stratum,source_q1,source_q2,source,campaign_id,prefix_len,prefix,true_label,recent_prefix_ids,kg_context,kg_snippet_ids,kg_chars_before,kg_chars_after,kg_empty_reason,sample_id,raw_prefix,target_raw_id,org_name,actor,plan_id,scenario_id,mapping_quality,kg_snippet_types,kg_retrieved_snippet_ids,flow_file,profile_file,profile_name
attack_flow:short:1,short,5,10,attack_flow,Gootloader,4,"[""T1584"",""T1189"",""T1204"",""T1059""]",T1112,"[""T1189"", ""T1204"", ""T1059""]",FIN7 uses Malicious Link | Target ATT&CK ID: T1204.001 | [FIN7](https://attack.mitre.org/groups/G0046) has used malicious links to lure victims into downloading malware.(Citation: CrowdStrike Carbon Spider August 2021) ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | Target ATT&CK ID: T1059.005 | [Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) ; Fox Kitten uses Command and Scripting Interpreter | Target ATT&CK ID: T1059 | [Fox ...,"[""relationship::relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8""]",1210,680,,attack_flow::Gootloader::0004,"[""T1584"",""T1189"",""T1204.002"",""T1059.007""]",T1112,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8"", ""relationship::relationship--00fe415d-9364-4d03-95ee-f1413d996c30"", ""relationship::relationship--01563b41-e89b-4cd2-b018-ee57bf616396""]",Gootloader.afb,,
attack_flow:short:2,short,5,10,attack_flow,Maastricht University Ransomware,2,"[""T1566"",""T1204""]",T1059,"[""T1566"", ""T1204""]",FIN7 uses Malicious Link | Target ATT&CK ID: T1204.001 | [FIN7](https://attack.mitre.org/groups/G0046) has used malicious links to lure victims into downloading malware.(Citation: CrowdStrike Carbon Spider August 2021) ; BlackTech uses Spearphishing Link | Target ATT&CK ID: T1566.002 | [BlackTech](https://attack.mitre.org/groups/G0098) has used spearphishing e-mails with links to cloud services to deliver malware.(Citation: TrendMicro BlackTech June 2017) ; Kerrdown uses Spearphishing Link | Target ATT&CK ID: T1566.002 | [Kerrdown](https://attack.mitre.org/software/S0585) has been distributed via e-mails containing a malicious link.(Citation: Amnesty Intl. Ocean Lotus February 2021) ; ...,"[""relationship::relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1"", ""relationship::relationship--01455ab2-2769-4eab-9df2-e7e5f707e7c6"", ""relationship::relationship--0160acb0-db44-4076-acc6-74c872d5aa08""]",1162,697,,attack_flow::Maastricht University Ransomware::0002,"[""T1566.001"",""T1204.002""]",T1059.004,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00561c3c-345e-4578-95c3-b7e0a95db7b1"", ""relationship::relationship--01455ab2-2769-4eab-9df2-e7e5f707e7c6"", ""relationship::relationship--0160acb0-db44-4076-acc6-74c872d5aa08"", ""relationship::relationship--01653d7c-2616-4ccc-9bab-225e897b01f2"", ""relationship::relationship--02a8db04-60e6-437c-8f1a-12aff6a13c63""]",Maastricht University Ransomware.afb,,
attack_flow:short:3,short,5,10,attack_flow,Mac Malware Steals Crypto,3,"[""T1059"",""T1211"",""T1105""]",T1059,"[""T1059"", ""T1211"", ""T1105""]",POWERSTATS uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [POWERSTATS](https://attack.mitre.org/software/S0223) can retrieve and execute additional [PowerShell](https://attack.mitre.org/techniques/T1059/001) payloads from the C2 server.(Citation: ... ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | Target ATT&CK ID: T1059.005 | [Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: ...,"[""relationship::relationship--ce7b27ac-fff6-4d3c-bceb-50c16f462552"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]",1319,695,,attack_flow::Mac Malware Steals Crypto::0003,"[""T1059.006"",""T1211"",""T1105""]",T1059.006,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--ce7b27ac-fff6-4d3c-bceb-50c16f462552"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8"", ""relationship::relationship--00fe415d-9364-4d03-95ee-f1413d996c30""]",Mac Malware Steals Crypto.afb,,
attack_flow:medium:1,medium,5,10,attack_flow,Hancitor DLL,9,"[""T1566"",""T1204"",""T1059"",""T1218"",""T1105"",""T1055"",""T1087"",""T1105"",""T1497""]",T1218,"[""T1087"", ""T1105"", ""T1497""]","Raindrop uses Time Based Checks | Target ATT&CK ID: T1497.003 | After initial installation, [Raindrop](https://attack.mitre.org/software/S0565) runs a computation to delay execution.(Citation: Symantec RAINDROP January 2021) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including [PsExec](https://attack.mitre.org/software/S0029) directly to endpoints.(Citation: CISA ... ; EvilBunny uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [EvilBunny](https://attack.mitre.org/software/S0396) has downloaded additional Lua scripts from the C2.(Citation: Cyphort EvilBunny Dec 2014) ; ...","[""relationship::relationship--00701b4a-9eab-41cc-9c09-f904a9799201"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9""]",1271,693,,attack_flow::Hancitor DLL::0009,"[""T1566.002"",""T1204.002"",""T1059.005"",""T1218.011"",""T1105"",""T1055"",""T1087.001"",""T1105"",""T1497""]",T1218.011,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00701b4a-9eab-41cc-9c09-f904a9799201"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9"", ""relationship::relationship--0110e04e-5812-4b69-9700-037b52d3ebb4"", ""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--0177d430-a0b9-4f2f-8c66-8dfa4391611a""]",Hancitor DLL.afb,,
attack_flow:medium:2,medium,5,10,attack_flow,JP Morgan Breach,7,"[""T1566"",""T1056"",""T1190"",""T1068"",""T1056"",""T1030"",""T1090""]",T1090,"[""T1056"", ""T1030"", ""T1090""]",Cobalt Strike uses Domain Fronting | Target ATT&CK ID: T1090.004 | [Cobalt Strike](https://attack.mitre.org/software/S0154) has the ability to accept a value for HTTP Host Header to enable domain fronting.(Citation: Cobalt Strike Manual 4.3 November 2020) ; Play uses Data Transfer Size Limits | Target ATT&CK ID: T1030 | [Play](https://attack.mitre.org/groups/G1040) has split victims' files into chunks for exfiltration.(Citation: CISA Play Ransomware Advisory December 2023)(Citation: Trend Micro Ransomware ... ; Zeus Panda uses Credential API Hooking | Target ATT&CK ID: T1056.004 | [Zeus Panda](https://attack.mitre.org/software/S0330) hooks processes by leveraging its own IAT hooked ...,"[""relationship::relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9"", ""relationship::relationship--017d597b-2268-4760-baf0-0cee23906965"", ""relationship::relationship--01e4bf9a-3d9c-4381-aa9c-cca73376c771""]",1332,694,,attack_flow::JP Morgan Breach::0007,"[""T1566"",""T1056"",""T1190"",""T1068"",""T1056"",""T1030"",""T1090.003""]",T1090.002,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0023f0a7-26ae-40ec-ac6e-9dacf5217fb9"", ""relationship::relationship--017d597b-2268-4760-baf0-0cee23906965"", ""relationship::relationship--01e4bf9a-3d9c-4381-aa9c-cca73376c771"", ""relationship::relationship--02226352-d8cd-4b84-99bc-2df35f66f37a"", ""relationship::relationship--023ff141-8ed7-4132-85a0-494fe075236b"", ""relationship::relationship--02e4c930-ffc1-4bcb-a989-12db90671f90""]",JP Morgan Breach.afb,,
attack_flow:medium:3,medium,5,10,attack_flow,FIN13 Case 2,6,"[""T1190"",""T1105"",""T1505"",""T1203"",""T1003"",""T1595""]",T1003,"[""T1203"", ""T1003"", ""T1595""]",Indrik Spider uses LSASS Memory | Target ATT&CK ID: T1003.001 | [Indrik Spider](https://attack.mitre.org/groups/G0119) used [Cobalt Strike](https://attack.mitre.org/software/S0154) to carry out credential dumping using ProcDump.(Citation: Symantec ... ; Daggerfly uses Security Account Manager | Target ATT&CK ID: T1003.002 | [Daggerfly](https://attack.mitre.org/groups/G1034) used [Reg](https://attack.mitre.org/software/S0075) to dump the Security Account Manager (SAM) hive from victim machines for ... ; APT28 uses NTDS | Target ATT&CK ID: T1003.003 | [APT28](https://attack.mitre.org/groups/G0007) has used the ntdsutil.exe utility to export the Active Directory database for credential ...,"[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba""]",1263,695,,attack_flow::FIN13 Case 2::0006,"[""T1190"",""T1105"",""T1505.003"",""T1203"",""T1003.001"",""T1595""]",T1003.001,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba"", ""relationship::relationship--02a05d88-504c-4b79-bc55-1174b02e62c2"", ""relationship::relationship--0314a845-98db-4cf9-ac05-875025017636""]",FIN13 Case 2.afb,,
attack_flow:medium:4,medium,5,10,attack_flow,Muddy Water,7,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059"",""T1059""]",T1105,"[""T1547"", ""T1059"", ""T1059""]",WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | Target ATT&CK ID: T1059.005 | [Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) ; Fox Kitten uses Command and Scripting Interpreter | Target ATT&CK ID: T1059 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has used a Perl reverse shell to communicate with C2.(Citation: ClearSky Pay2Kitten December 2020) ; RansomHub uses PowerShell | Target ATT&CK ID: T1059.001 | ...,"[""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8"", ""relationship::relationship--00fe415d-9364-4d03-95ee-f1413d996c30""]",1175,665,,attack_flow::Muddy Water::0007,"[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001"",""T1059.005"",""T1059.001""]",T1105,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8"", ""relationship::relationship--00fe415d-9364-4d03-95ee-f1413d996c30"", ""relationship::relationship--01563b41-e89b-4cd2-b018-ee57bf616396"", ""relationship::relationship--0191f3d3-59d3-4fcc-bfff-5fbfa0675cfd""]",Muddy Water.afb,,
attack_flow:long:1,long,5,10,attack_flow,WhisperGate,12,"[""T1078"",""T1105"",""T1542"",""T1059"",""T1105"",""T1027"",""T1027"",""T1059"",""T1562"",""T1140"",""T1027"",""T1059""]",T1055,"[""T1140"", ""T1027"", ""T1059""]",Ursnif uses Command Obfuscation | Target ATT&CK ID: T1027.010 | [Ursnif](https://attack.mitre.org/software/S0386) droppers execute base64 encoded [PowerShell](https://attack.mitre.org/techniques/T1059/001) commands.(Citation: Bromium Ursnif Mar 2017) ; PUNCHBUGGY uses Deobfuscate/Decode Files or Information | Target ATT&CK ID: T1140 | [PUNCHBUGGY](https://attack.mitre.org/software/S0196) has used [PowerShell](https://attack.mitre.org/techniques/T1059/001) to decode base64-encoded assembly.(Citation: ... ; DEADEYE uses Encrypted/Encoded File | Target ATT&CK ID: T1027.013 | [DEADEYE](https://attack.mitre.org/software/S1052) has encrypted its payload.(Citation: Mandiant APT41) ; UNC3886 ...,"[""relationship::relationship--7bb7b19e-83dc-4095-83b5-f647bf5f2800"", ""relationship::relationship--bdd9a384-2d57-4238-bddd-5500e667d620"", ""relationship::relationship--0051db4d-9eb9-4b22-93a5-b6593176da75"", ""relationship::relationship--0057843b-ebe3-43f9-9ae0-90c8bdc802fc""]",1367,696,,attack_flow::WhisperGate::0012,"[""T1078"",""T1105"",""T1542.003"",""T1059.001"",""T1105"",""T1027.003"",""T1027"",""T1059.005"",""T1562.001"",""T1140"",""T1027.009"",""T1059.001""]",T1055.001,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--7bb7b19e-83dc-4095-83b5-f647bf5f2800"", ""relationship::relationship--bdd9a384-2d57-4238-bddd-5500e667d620"", ""relationship::relationship--0051db4d-9eb9-4b22-93a5-b6593176da75"", ""relationship::relationship--0057843b-ebe3-43f9-9ae0-90c8bdc802fc"", ""relationship::relationship--0059d5e7-7a7f-4a13-8730-00383bad2e98"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53""]",WhisperGate.afb,,
attack_flow:long:2,long,5,10,attack_flow,Conti Ransomware,13,"[""T1566"",""T1059"",""T1105"",""T1218"",""T1105"",""T1033"",""T1134"",""T1021"",""T1046"",""T1021"",""T1021"",""T1021"",""T1087""]",T1484,"[""T1021"", ""T1021"", ""T1087""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Moses Staff uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Moses Staff](https://attack.mitre.org/groups/G1009) has used batch scripts that can enable SMB on a compromised host.(Citation: Checkpoint MosesStaff Nov 2021) ; Empire uses Distributed Component Object Model | Target ATT&CK ID: T1021.003 | [Empire](https://attack.mitre.org/software/S0363) can utilize <code>Invoke-DCOM</code> to leverage remote COM execution for ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--046310ee-386b-4ed6-a623-6436341b8b8c"", ""relationship::relationship--04878c23-0ba8-4893-acd7-f0594241b66f""]",1189,699,,attack_flow::Conti Ransomware::0013,"[""T1566.001"",""T1059.007"",""T1105"",""T1218.011"",""T1105"",""T1033"",""T1134"",""T1021.002"",""T1046"",""T1021.001"",""T1021.002"",""T1021.001"",""T1087.002""]",T1484.001,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--046310ee-386b-4ed6-a623-6436341b8b8c"", ""relationship::relationship--04878c23-0ba8-4893-acd7-f0594241b66f"", ""relationship::relationship--0512a63b-58c8-4b0c-b2b4-e4da562cee5f"", ""relationship::relationship--0854ea2c-21b0-49b9-bb90-3653384f2de9""]",Conti Ransomware.afb,,
attack_flow:long:3,long,5,10,attack_flow,SolarWinds,17,"[""T1587"",""T1195"",""T1569"",""T1497"",""T1057"",""T1568"",""T1132"",""T1562"",""T1558"",""T1562"",""T1053"",""T1036"",""T1047"",""T1070"",""T1562"",""T1082"",""T1005""]",T1567,"[""T1562"", ""T1082"", ""T1005""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]",1230,697,,attack_flow::SolarWinds::0017,"[""T1587.001"",""T1195.002"",""T1569.002"",""T1497.003"",""T1057"",""T1568.002"",""T1132"",""T1562.004"",""T1558.003"",""T1562.001"",""T1053.005"",""T1036"",""T1047"",""T1070"",""T1562.002"",""T1082"",""T1005""]",T1567.002,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707"", ""relationship::relationship--01933b06-956c-4f09-9dcc-e7c6b672dc94"", ""relationship::relationship--01b542b1-3222-459b-9cdf-b91dcd29c749""]",SolarWinds.afb,,
stockpile:short:1,short,2,5,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,2,"[""T1005"",""T1033""]",T1087,"[""T1005"", ""T1033""]","Trojan.Karagany uses System Owner/User Discovery | Target ATT&CK ID: T1033 | [Trojan.Karagany](https://attack.mitre.org/software/S0094) can gather information about the user on a compromised host.(Citation: Secureworks Karagany July 2019) ; PoetRAT uses System Owner/User Discovery | Target ATT&CK ID: T1033 | [PoetRAT](https://attack.mitre.org/software/S0428) sent username, computer name, and the previously generated UUID in reply to a ""who"" command from C2.(Citation: Talos PoetRAT April 2020) ; Revenge RAT uses System Owner/User Discovery | Target ATT&CK ID: T1033 | [Revenge RAT](https://attack.mitre.org/software/S0379) gathers the username from the system.(Citation: Cylance Shaheen Nov ...","[""relationship::relationship--00ce5c68-cb85-46d1-a6ba-7b2b767b0f09"", ""relationship::relationship--00e25bca-7df1-464e-94a4-cc13124e1d0c"", ""relationship::relationship--01c6d850-03c2-4ed0-ba1d-cf2cc9062106""]",1413,699,,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0002,"[""T1005"",""T1033""]",T1087.001,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00ce5c68-cb85-46d1-a6ba-7b2b767b0f09"", ""relationship::relationship--00e25bca-7df1-464e-94a4-cc13124e1d0c"", ""relationship::relationship--01c6d850-03c2-4ed0-ba1d-cf2cc9062106"", ""relationship::relationship--022ba33a-16f4-40de-b0b2-4961870aa0c9"", ""relationship::relationship--03251067-ee3a-49e4-addc-86daaa8a3203"", ""relationship::relationship--035525fc-4549-4282-b85b-c7c07359124c""]",,data/adversaries/de07f52d-9928-4071-9142-cb1d3bd851e8.yml,Ransack
stockpile:short:2,short,2,5,stockpile,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,"[""T1082""]",T1018,"[""T1082""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]",1230,697,,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0001,"[""T1082""]",T1018,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707"", ""relationship::relationship--01933b06-956c-4f09-9dcc-e7c6b672dc94"", ""relationship::relationship--01b542b1-3222-459b-9cdf-b91dcd29c749""]",,data/adversaries/c220a8e6-609c-4d5b-9e1c-068ca01c2eec.yml,Lateral Movement - Certutil
stockpile:short:3,short,2,5,stockpile,e4324b88-8836-4803-b6b7-09b3c6cd4e94,1,"[""T1120""]",T1083,"[""T1120""]","INC Ransomware uses Peripheral Device Discovery | Target ATT&CK ID: T1120 | [INC Ransomware](https://attack.mitre.org/software/S1139) can identify external USB and hard drives for encryption and printers to print ransom notes.(Citation: Cybereason INC ... ; Equation uses Peripheral Device Discovery | Target ATT&CK ID: T1120 | [Equation](https://attack.mitre.org/groups/G0020) has used tools with the functionality to search for specific information about the attached hard drive that could be used to identify ... ; Operation CuckooBees uses Peripheral Device Discovery | Target ATT&CK ID: T1120 | During [Operation CuckooBees](https://attack.mitre.org/campaigns/C0012), the threat actors used ...","[""relationship::relationship--0225c7c8-db18-469d-a1aa-566900e297a7"", ""relationship::relationship--062ebca3-abf7-449a-ad84-f04a3cada4dd"", ""relationship::relationship--0882cca9-ed77-4c71-85e4-78988d79236f""]",1195,699,,stockpile::e4324b88-8836-4803-b6b7-09b3c6cd4e94::0001,"[""T1120""]",T1083,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0225c7c8-db18-469d-a1aa-566900e297a7"", ""relationship::relationship--062ebca3-abf7-449a-ad84-f04a3cada4dd"", ""relationship::relationship--0882cca9-ed77-4c71-85e4-78988d79236f"", ""relationship::relationship--09c8ec4f-c76b-4a36-994f-4ed4d87b7ad8"", ""relationship::relationship--0c93519a-28a4-4d29-99bc-02c4d0e53ae2""]",,data/adversaries/e4324b88-8836-4803-b6b7-09b3c6cd4e94.yml,Printer Queue
stockpile:medium:1,medium,2,5,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,4,"[""T1070"",""T1033"",""T1018"",""T1016""]",T1016,"[""T1033"", ""T1018"", ""T1016""]",Explosive uses System Network Configuration Discovery | Target ATT&CK ID: T1016 | [Explosive](https://attack.mitre.org/software/S0569) has collected the MAC address from the victim's machine.(Citation: CheckPoint Volatile Cedar March 2015) ; GoldFinder uses Internet Connection Discovery | Target ATT&CK ID: T1016.001 | [GoldFinder](https://attack.mitre.org/software/S0597) performed HTTP GET requests to check internet connectivity and identify HTTP proxy servers and other redirectors that an ... ; Trojan.Karagany uses System Owner/User Discovery | Target ATT&CK ID: T1033 | [Trojan.Karagany](https://attack.mitre.org/software/S0094) can gather information about the user on a compromised ...,"[""relationship::relationship--00038d0e-7fc7-41c3-9055-edb4d87ea912"", ""relationship::relationship--001ecf24-8276-40d2-ba05-2d20e5c53ec9"", ""relationship::relationship--00ce5c68-cb85-46d1-a6ba-7b2b767b0f09""]",1221,695,,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0004,"[""T1070.003"",""T1033"",""T1018"",""T1016.002""]",T1016.002,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00038d0e-7fc7-41c3-9055-edb4d87ea912"", ""relationship::relationship--001ecf24-8276-40d2-ba05-2d20e5c53ec9"", ""relationship::relationship--00ce5c68-cb85-46d1-a6ba-7b2b767b0f09"", ""relationship::relationship--00e25bca-7df1-464e-94a4-cc13124e1d0c"", ""relationship::relationship--012617bd-bdb5-434f-996c-bea7afe1b8a5""]",,data/adversaries/0b73bf34-fc5b-48f7-9194-dce993b915b1.yml,Nosy Neighbor
stockpile:medium:2,medium,2,5,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,"[""T1047"",""T1057"",""T1057""]",T1518,"[""T1047"", ""T1057"", ""T1057""]",Epic uses Process Discovery | Target ATT&CK ID: T1057 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>tasklist /v</code> command to obtain a list of processes.(Citation: Kaspersky Turla)(Citation: Kaspersky Turla Aug 2014) ; WarzoneRAT uses Process Discovery | Target ATT&CK ID: T1057 | [WarzoneRAT](https://attack.mitre.org/software/S0670) can obtain a list of processes on a compromised host.(Citation: Check Point Warzone Feb 2020) ; FELIXROOT uses Process Discovery | Target ATT&CK ID: T1057 | [FELIXROOT](https://attack.mitre.org/software/S0267) collects a list of running processes.(Citation: ESET GreyEnergy Oct 2018) ; RedPenguin uses Process Discovery | Target ATT&CK ...,"[""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b"", ""relationship::relationship--057815bb-550c-4e00-bfdb-c7e4bf6461cb"", ""relationship::relationship--058c67f3-9345-42be-a433-a4cea314d26d"", ""relationship::relationship--06f0aaf3-c2ff-4d54-8279-2e7f66b5d819""]",1355,697,,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0003,"[""T1047"",""T1057"",""T1057""]",T1518.001,,,,,,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b"", ""relationship::relationship--057815bb-550c-4e00-bfdb-c7e4bf6461cb"", ""relationship::relationship--058c67f3-9345-42be-a433-a4cea314d26d"", ""relationship::relationship--06f0aaf3-c2ff-4d54-8279-2e7f66b5d819"", ""relationship::relationship--08052557-0aa5-49d0-9254-722e4f04804f"", ""relationship::relationship--09237e32-a423-4ce3-bb15-4e47848ee7f7""]",,data/adversaries/d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e.yml,Enumerator
