comparison,metric,campaign_id,rows,left_value,right_value,difference
B0-T,recall5,fin6::unknown,16,0.26041666666666663,0.16666666666666666,0.09374999999999997
B0-T,recall5,fin7::unknown,8,0.08333333333333333,0.041666666666666664,0.041666666666666664
B0-T,recall5,menu_pass::unknown,10,0.1,0.1,0.0
B0-T,recall5,oilrig::unknown,35,0.37142857142857144,0.21428571428571427,0.15714285714285717
B0-T,recall5,sandworm::unknown,31,0.29569892473118276,0.23118279569892472,0.06451612903225803
B0-T,recall5,turla_carbon::unknown,23,0.32608695652173914,0.3115942028985507,0.014492753623188415
B0-T,recall5,turla_snake::unknown,26,0.16666666666666666,0.17948717948717946,-0.012820512820512803
B0-T,recall5,wizard_spider::unknown,32,0.30729166666666663,0.22916666666666666,0.07812499999999997
B0-HM,ndcg5,apt29::unknown,63,0.07356747548320651,0.10537935965243807,-0.03181188416923156
B0-HM,ndcg5,carbanak::unknown,19,0.18054417753256014,0.09890828647961318,0.08163589105294695
B0-HM,ndcg5,fin6::unknown,16,0.2521804671542839,0.18390123808439057,0.06827922906989331
B0-HM,ndcg5,fin7::unknown,8,0.08135256482001364,0.022692724067169084,0.058659840752844555
B0-HM,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.07530721273977244,0.04201246876591669
B0-HM,ndcg5,oilrig::unknown,35,0.2782614129937602,0.13679982608298522,0.141461586910775
B0-HM,ndcg5,sandworm::unknown,31,0.25245016047432833,0.14028690648689568,0.11216325398743265
B0-HM,ndcg5,turla_carbon::unknown,23,0.2859554321582857,0.19880647634679555,0.08714895581149018
B0-HM,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.13007812636143892,0.03873757614595544
B0-HM,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.10989563615721935,0.14244985941567745
B0-HM,hit5,apt29::unknown,63,0.25396825396825395,0.3365079365079365,-0.08253968253968252
B0-HM,hit5,carbanak::unknown,19,0.47368421052631576,0.29473684210526313,0.17894736842105263
B0-HM,hit5,fin6::unknown,16,0.5625,0.625,-0.0625
B0-HM,hit5,fin7::unknown,8,0.125,0.125,0.0
B0-HM,hit5,menu_pass::unknown,10,0.3,0.2,0.09999999999999998
B0-HM,hit5,oilrig::unknown,35,0.6857142857142857,0.41714285714285715,0.26857142857142857
B0-HM,hit5,sandworm::unknown,31,0.5483870967741935,0.45806451612903226,0.09032258064516124
B0-HM,hit5,turla_carbon::unknown,23,0.6956521739130435,0.4434782608695652,0.25217391304347825
B0-HM,hit5,turla_snake::unknown,26,0.38461538461538464,0.4846153846153846,-0.09999999999999998
B0-HM,hit5,wizard_spider::unknown,32,0.53125,0.325,0.20625
B0-HM,precision5,apt29::unknown,63,0.05396825396825397,0.07047619047619048,-0.016507936507936513
B0-HM,precision5,carbanak::unknown,19,0.12631578947368424,0.05894736842105264,0.0673684210526316
B0-HM,precision5,fin6::unknown,16,0.15,0.1275,0.022499999999999992
B0-HM,precision5,fin7::unknown,8,0.05,0.025,0.025
B0-HM,precision5,menu_pass::unknown,10,0.06000000000000001,0.04,0.02000000000000001
B0-HM,precision5,oilrig::unknown,35,0.22285714285714286,0.10285714285714286,0.12000000000000001
B0-HM,precision5,sandworm::unknown,31,0.14838709677419357,0.0967741935483871,0.05161290322580647
B0-HM,precision5,turla_carbon::unknown,23,0.1826086956521739,0.1373913043478261,0.04521739130434782
B0-HM,precision5,turla_snake::unknown,26,0.1,0.10461538461538462,-0.004615384615384618
B0-HM,precision5,wizard_spider::unknown,32,0.1625,0.08125,0.08125
B0-HM,recall5,apt29::unknown,63,0.09259259259259259,0.11746031746031745,-0.024867724867724858
B0-HM,recall5,carbanak::unknown,19,0.21052631578947367,0.13333333333333333,0.07719298245614034
B0-HM,recall5,fin6::unknown,16,0.26041666666666663,0.23333333333333334,0.027083333333333293
B0-HM,recall5,fin7::unknown,8,0.08333333333333333,0.041666666666666664,0.041666666666666664
B0-HM,recall5,menu_pass::unknown,10,0.1,0.06666666666666667,0.03333333333333334
B0-HM,recall5,oilrig::unknown,35,0.37142857142857144,0.19523809523809524,0.1761904761904762
B0-HM,recall5,sandworm::unknown,31,0.29569892473118276,0.17096774193548386,0.12473118279569889
B0-HM,recall5,turla_carbon::unknown,23,0.32608695652173914,0.24202898550724636,0.08405797101449278
B0-HM,recall5,turla_snake::unknown,26,0.16666666666666666,0.18076923076923077,-0.014102564102564108
B0-HM,recall5,wizard_spider::unknown,32,0.30729166666666663,0.15520833333333334,0.1520833333333333
B0-HM+S,ndcg5,apt29::unknown,63,0.07356747548320651,0.10537935965243807,-0.03181188416923156
B0-HM+S,ndcg5,carbanak::unknown,19,0.18054417753256014,0.09890828647961318,0.08163589105294695
B0-HM+S,ndcg5,fin6::unknown,16,0.2521804671542839,0.18390123808439057,0.06827922906989331
B0-HM+S,ndcg5,fin7::unknown,8,0.08135256482001364,0.022692724067169084,0.058659840752844555
B0-HM+S,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.07530721273977244,0.04201246876591669
B0-HM+S,ndcg5,oilrig::unknown,35,0.2782614129937602,0.13679982608298522,0.141461586910775
B0-HM+S,ndcg5,sandworm::unknown,31,0.25245016047432833,0.14028690648689568,0.11216325398743265
B0-HM+S,ndcg5,turla_carbon::unknown,23,0.2859554321582857,0.19880647634679555,0.08714895581149018
B0-HM+S,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.13007812636143892,0.03873757614595544
B0-HM+S,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.10989563615721935,0.14244985941567745
B0-HM+S,hit5,apt29::unknown,63,0.25396825396825395,0.3365079365079365,-0.08253968253968252
B0-HM+S,hit5,carbanak::unknown,19,0.47368421052631576,0.29473684210526313,0.17894736842105263
B0-HM+S,hit5,fin6::unknown,16,0.5625,0.625,-0.0625
B0-HM+S,hit5,fin7::unknown,8,0.125,0.125,0.0
B0-HM+S,hit5,menu_pass::unknown,10,0.3,0.2,0.09999999999999998
B0-HM+S,hit5,oilrig::unknown,35,0.6857142857142857,0.41714285714285715,0.26857142857142857
B0-HM+S,hit5,sandworm::unknown,31,0.5483870967741935,0.45806451612903226,0.09032258064516124
B0-HM+S,hit5,turla_carbon::unknown,23,0.6956521739130435,0.4434782608695652,0.25217391304347825
B0-HM+S,hit5,turla_snake::unknown,26,0.38461538461538464,0.4846153846153846,-0.09999999999999998
B0-HM+S,hit5,wizard_spider::unknown,32,0.53125,0.325,0.20625
B0-HM+S,precision5,apt29::unknown,63,0.05396825396825397,0.07047619047619048,-0.016507936507936513
B0-HM+S,precision5,carbanak::unknown,19,0.12631578947368424,0.05894736842105264,0.0673684210526316
B0-HM+S,precision5,fin6::unknown,16,0.15,0.1275,0.022499999999999992
B0-HM+S,precision5,fin7::unknown,8,0.05,0.025,0.025
B0-HM+S,precision5,menu_pass::unknown,10,0.06000000000000001,0.04,0.02000000000000001
B0-HM+S,precision5,oilrig::unknown,35,0.22285714285714286,0.10285714285714286,0.12000000000000001
B0-HM+S,precision5,sandworm::unknown,31,0.14838709677419357,0.0967741935483871,0.05161290322580647
B0-HM+S,precision5,turla_carbon::unknown,23,0.1826086956521739,0.1373913043478261,0.04521739130434782
B0-HM+S,precision5,turla_snake::unknown,26,0.1,0.10461538461538462,-0.004615384615384618
B0-HM+S,precision5,wizard_spider::unknown,32,0.1625,0.08125,0.08125
B0-HM+S,recall5,apt29::unknown,63,0.09259259259259259,0.11746031746031745,-0.024867724867724858
B0-HM+S,recall5,carbanak::unknown,19,0.21052631578947367,0.13333333333333333,0.07719298245614034
B0-HM+S,recall5,fin6::unknown,16,0.26041666666666663,0.23333333333333334,0.027083333333333293
B0-HM+S,recall5,fin7::unknown,8,0.08333333333333333,0.041666666666666664,0.041666666666666664
B0-HM+S,recall5,menu_pass::unknown,10,0.1,0.06666666666666667,0.03333333333333334
B0-HM+S,recall5,oilrig::unknown,35,0.37142857142857144,0.19523809523809524,0.1761904761904762
B0-HM+S,recall5,sandworm::unknown,31,0.29569892473118276,0.17096774193548386,0.12473118279569889
B0-HM+S,recall5,turla_carbon::unknown,23,0.32608695652173914,0.24202898550724636,0.08405797101449278
B0-HM+S,recall5,turla_snake::unknown,26,0.16666666666666666,0.18076923076923077,-0.014102564102564108
B0-HM+S,recall5,wizard_spider::unknown,32,0.30729166666666663,0.15520833333333334,0.1520833333333333
T+B0-B0,ndcg5,apt29::unknown,63,0.07356747548320651,0.07356747548320651,0.0
T+B0-B0,ndcg5,carbanak::unknown,19,0.18054417753256014,0.18054417753256014,0.0
T+B0-B0,ndcg5,fin6::unknown,16,0.2521804671542839,0.2521804671542839,0.0
T+B0-B0,ndcg5,fin7::unknown,8,0.08135256482001364,0.08135256482001364,0.0
T+B0-B0,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.11731968150568912,0.0
T+B0-B0,ndcg5,oilrig::unknown,35,0.2782614129937602,0.2782614129937602,0.0
T+B0-B0,ndcg5,sandworm::unknown,31,0.2517867555077737,0.25245016047432833,-0.0006634049665546482
T+B0-B0,ndcg5,turla_carbon::unknown,23,0.28774374119856355,0.2859554321582857,0.0017883090402778246
T+B0-B0,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.16881570250739436,0.0
T+B0-B0,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.2523454955728968,0.0
T+B0-B0,hit5,apt29::unknown,63,0.25396825396825395,0.25396825396825395,0.0
T+B0-B0,hit5,carbanak::unknown,19,0.47368421052631576,0.47368421052631576,0.0
T+B0-B0,hit5,fin6::unknown,16,0.5625,0.5625,0.0
T+B0-B0,hit5,fin7::unknown,8,0.125,0.125,0.0
T+B0-B0,hit5,menu_pass::unknown,10,0.3,0.3,0.0
T+B0-B0,hit5,oilrig::unknown,35,0.6857142857142857,0.6857142857142857,0.0
T+B0-B0,hit5,sandworm::unknown,31,0.5483870967741935,0.5483870967741935,0.0
T+B0-B0,hit5,turla_carbon::unknown,23,0.6956521739130435,0.6956521739130435,0.0
T+B0-B0,hit5,turla_snake::unknown,26,0.38461538461538464,0.38461538461538464,0.0
T+B0-B0,hit5,wizard_spider::unknown,32,0.53125,0.53125,0.0
T+B0-B0,precision5,apt29::unknown,63,0.05396825396825397,0.05396825396825397,0.0
T+B0-B0,precision5,carbanak::unknown,19,0.12631578947368424,0.12631578947368424,0.0
T+B0-B0,precision5,fin6::unknown,16,0.15,0.15,0.0
T+B0-B0,precision5,fin7::unknown,8,0.05,0.05,0.0
T+B0-B0,precision5,menu_pass::unknown,10,0.06000000000000001,0.06000000000000001,0.0
T+B0-B0,precision5,oilrig::unknown,35,0.22285714285714286,0.22285714285714286,0.0
T+B0-B0,precision5,sandworm::unknown,31,0.14838709677419357,0.14838709677419357,0.0
T+B0-B0,precision5,turla_carbon::unknown,23,0.1826086956521739,0.1826086956521739,0.0
T+B0-B0,precision5,turla_snake::unknown,26,0.1,0.1,0.0
T+B0-B0,precision5,wizard_spider::unknown,32,0.1625,0.1625,0.0
T+B0-B0,recall5,apt29::unknown,63,0.09259259259259259,0.09259259259259259,0.0
T+B0-B0,recall5,carbanak::unknown,19,0.21052631578947367,0.21052631578947367,0.0
T+B0-B0,recall5,fin6::unknown,16,0.26041666666666663,0.26041666666666663,0.0
T+B0-B0,recall5,fin7::unknown,8,0.08333333333333333,0.08333333333333333,0.0
T+B0-B0,recall5,menu_pass::unknown,10,0.1,0.1,0.0
T+B0-B0,recall5,oilrig::unknown,35,0.37142857142857144,0.37142857142857144,0.0
T+B0-B0,recall5,sandworm::unknown,31,0.29569892473118276,0.29569892473118276,0.0
T+B0-B0,recall5,turla_carbon::unknown,23,0.32608695652173914,0.32608695652173914,0.0
T+B0-B0,recall5,turla_snake::unknown,26,0.16666666666666666,0.16666666666666666,0.0
T+B0-B0,recall5,wizard_spider::unknown,32,0.30729166666666663,0.30729166666666663,0.0
