construction_mode,campaign_id,method,n_train,n_test,correct,accuracy
released,C0026,M2,127752,20,4,0.2
released,C0027,FREQ,122372,5400,200,0.037037037037037035
released,C0027,PREFIX,122372,5400,200,0.037037037037037035
released,C0027,M1,122372,5400,996,0.18444444444444444
released,C0027,M2,122372,5400,980,0.1814814814814815
released,C0028,FREQ,124572,3200,200,0.0625
released,C0028,PREFIX,124572,3200,200,0.0625
released,C0028,M1,124572,3200,300,0.09375
released,C0028,M2,124572,3200,316,0.09875
released,C0029,FREQ,121772,6000,200,0.03333333333333333
released,C0029,PREFIX,121772,6000,200,0.03333333333333333
released,C0029,M1,121772,6000,252,0.042
released,C0029,M2,121772,6000,222,0.037
released,C0030,FREQ,127700,72,0,0.0
released,C0030,PREFIX,127700,72,0,0.0
released,C0030,M1,127700,72,0,0.0
released,C0030,M2,127700,72,0,0.0
released,C0032,FREQ,124572,3200,0,0.0
released,C0032,PREFIX,124572,3200,0,0.0
released,C0032,M1,124572,3200,332,0.10375
released,C0032,M2,124572,3200,428,0.13375
released,C0034,FREQ,127628,144,0,0.0
released,C0034,PREFIX,127628,144,0,0.0
released,C0034,M1,127628,144,0,0.0
released,C0034,M2,127628,144,4,0.027777777777777776
released,C0035,FREQ,124172,3600,200,0.05555555555555555
released,C0035,PREFIX,124172,3600,200,0.05555555555555555
released,C0035,M1,124172,3600,261,0.0725
released,C0035,M2,124172,3600,285,0.07916666666666666
released,C0036,FREQ,127766,6,0,0.0
released,C0036,PREFIX,127766,6,0,0.0
released,C0036,M1,127766,6,0,0.0
released,C0036,M2,127766,6,0,0.0
released,C0037,FREQ,127322,450,50,0.1111111111111111
released,C0037,PREFIX,127322,450,50,0.1111111111111111
released,C0037,M1,127322,450,12,0.02666666666666667
released,C0037,M2,127322,450,18,0.04
released,C0038,FREQ,122972,4800,200,0.041666666666666664
released,C0038,PREFIX,122972,4800,200,0.041666666666666664
released,C0038,M1,122972,4800,840,0.175
released,C0038,M2,122972,4800,572,0.11916666666666667
released,C0039,FREQ,127688,84,0,0.0
released,C0039,PREFIX,127688,84,0,0.0
released,C0039,M1,127688,84,10,0.11904761904761904
released,C0039,M2,127688,84,10,0.11904761904761904
released,C0040,FREQ,123172,4600,200,0.043478260869565216
released,C0040,PREFIX,123172,4600,200,0.043478260869565216
released,C0040,M1,123172,4600,358,0.07782608695652174
released,C0040,M2,123172,4600,293,0.06369565217391304
canonical,C0001,FREQ,122572,5200,200,0.038461538461538464
canonical,C0001,PREFIX,122572,5200,200,0.038461538461538464
canonical,C0001,M1,122572,5200,334,0.06423076923076923
canonical,C0001,M2,122572,5200,612,0.1176923076923077
canonical,C0002,FREQ,122172,5600,200,0.03571428571428571
canonical,C0002,PREFIX,122172,5600,200,0.03571428571428571
canonical,C0002,M1,122172,5600,824,0.14714285714285713
canonical,C0002,M2,122172,5600,609,0.10875
canonical,C0004,FREQ,127448,324,36,0.1111111111111111
canonical,C0004,PREFIX,127448,324,36,0.1111111111111111
canonical,C0004,M1,127448,324,12,0.037037037037037035
canonical,C0004,M2,127448,324,6,0.018518518518518517
canonical,C0005,FREQ,124572,3200,0,0.0
canonical,C0005,PREFIX,124572,3200,0,0.0
canonical,C0005,M1,124572,3200,700,0.21875
canonical,C0005,M2,124572,3200,654,0.204375
canonical,C0006,FREQ,122372,5400,200,0.037037037037037035
canonical,C0006,PREFIX,122372,5400,200,0.037037037037037035
canonical,C0006,M1,122372,5400,504,0.09333333333333334
canonical,C0006,M2,122372,5400,612,0.11333333333333333
canonical,C0007,FREQ,125172,2600,200,0.07692307692307693
canonical,C0007,PREFIX,125172,2600,200,0.07692307692307693
canonical,C0007,M1,125172,2600,379,0.14576923076923076
canonical,C0007,M2,125172,2600,339,0.13038461538461538
canonical,C0010,FREQ,127572,200,25,0.125
canonical,C0010,PREFIX,127572,200,27,0.135
canonical,C0010,M1,127572,200,5,0.025
canonical,C0010,M2,127572,200,5,0.025
canonical,C0011,FREQ,127268,504,0,0.0
canonical,C0011,PREFIX,127268,504,12,0.023809523809523808
canonical,C0011,M1,127268,504,48,0.09523809523809523
canonical,C0011,M2,127268,504,72,0.14285714285714285
canonical,C0012,FREQ,121372,6400,0,0.0
canonical,C0012,PREFIX,121372,6400,200,0.03125
canonical,C0012,M1,121372,6400,1112,0.17375
canonical,C0012,M2,121372,6400,664,0.10375
canonical,C0013,FREQ,125372,2400,200,0.08333333333333333
canonical,C0013,PREFIX,125372,2400,200,0.08333333333333333
canonical,C0013,M1,125372,2400,0,0.0
canonical,C0013,M2,125372,2400,0,0.0
canonical,C0014,FREQ,114172,13600,200,0.014705882352941176
canonical,C0014,PREFIX,114172,13600,200,0.014705882352941176
canonical,C0014,M1,114172,13600,1427,0.10492647058823529
canonical,C0014,M2,114172,13600,863,0.06345588235294118
canonical,C0015,FREQ,121172,6600,200,0.030303030303030304
canonical,C0015,PREFIX,121172,6600,200,0.030303030303030304
canonical,C0015,M1,121172,6600,770,0.11666666666666667
canonical,C0015,M2,121172,6600,478,0.07242424242424242
canonical,C0016,FREQ,124572,3200,0,0.0
canonical,C0016,PREFIX,124572,3200,0,0.0
canonical,C0016,M1,124572,3200,320,0.1
canonical,C0016,M2,124572,3200,470,0.146875
canonical,C0017,FREQ,122172,5600,200,0.03571428571428571
canonical,C0017,PREFIX,122172,5600,400,0.07142857142857142
canonical,C0017,M1,122172,5600,862,0.15392857142857144
canonical,C0017,M2,122172,5600,500,0.08928571428571429
canonical,C0018,FREQ,124172,3600,200,0.05555555555555555
canonical,C0018,PREFIX,124172,3600,400,0.1111111111111111
canonical,C0018,M1,124172,3600,646,0.17944444444444443
canonical,C0018,M2,124172,3600,661,0.1836111111111111
canonical,C0021,FREQ,124972,2800,200,0.07142857142857142
canonical,C0021,PREFIX,124972,2800,200,0.07142857142857142
canonical,C0021,M1,124972,2800,218,0.07785714285714286
canonical,C0021,M2,124972,2800,233,0.08321428571428571
canonical,C0022,FREQ,116972,10800,200,0.018518518518518517
canonical,C0022,PREFIX,116972,10800,200,0.018518518518518517
canonical,C0022,M1,116972,10800,606,0.05611111111111111
canonical,C0022,M2,116972,10800,852,0.07888888888888888
canonical,C0023,FREQ,127604,168,0,0.0
canonical,C0023,PREFIX,127604,168,4,0.023809523809523808
canonical,C0023,M1,127604,168,0,0.0
canonical,C0023,M2,127604,168,0,0.0
canonical,C0024,FREQ,113772,14000,200,0.014285714285714285
canonical,C0024,PREFIX,113772,14000,200,0.014285714285714285
canonical,C0024,M1,113772,14000,1176,0.084
canonical,C0024,M2,113772,14000,777,0.0555
canonical,C0025,FREQ,123772,4000,0,0.0
canonical,C0025,PREFIX,123772,4000,0,0.0
canonical,C0025,M1,123772,4000,248,0.062
canonical,C0025,M2,123772,4000,248,0.062
canonical,C0026,FREQ,127752,20,4,0.2
canonical,C0026,PREFIX,127752,20,4,0.2
canonical,C0026,M1,127752,20,2,0.1
canonical,C0026,M2,127752,20,2,0.1
canonical,C0027,FREQ,122372,5400,200,0.037037037037037035
canonical,C0027,PREFIX,122372,5400,200,0.037037037037037035
canonical,C0027,M1,122372,5400,842,0.1559259259259259
canonical,C0027,M2,122372,5400,658,0.12185185185185185
canonical,C0028,FREQ,124572,3200,200,0.0625
canonical,C0028,PREFIX,124572,3200,200,0.0625
canonical,C0028,M1,124572,3200,396,0.12375
canonical,C0028,M2,124572,3200,596,0.18625
canonical,C0029,FREQ,121772,6000,200,0.03333333333333333
canonical,C0029,PREFIX,121772,6000,200,0.03333333333333333
canonical,C0029,M1,121772,6000,594,0.099
canonical,C0029,M2,121772,6000,578,0.09633333333333334
canonical,C0030,FREQ,127700,72,0,0.0
canonical,C0030,PREFIX,127700,72,0,0.0
canonical,C0030,M1,127700,72,4,0.05555555555555555
canonical,C0030,M2,127700,72,4,0.05555555555555555
canonical,C0032,FREQ,124572,3200,0,0.0
canonical,C0032,PREFIX,124572,3200,0,0.0
canonical,C0032,M1,124572,3200,0,0.0
canonical,C0032,M2,124572,3200,48,0.015
canonical,C0034,FREQ,127628,144,0,0.0
canonical,C0034,PREFIX,127628,144,0,0.0
canonical,C0034,M1,127628,144,0,0.0
canonical,C0034,M2,127628,144,0,0.0
canonical,C0035,FREQ,124172,3600,200,0.05555555555555555
canonical,C0035,PREFIX,124172,3600,200,0.05555555555555555
canonical,C0035,M1,124172,3600,446,0.1238888888888889
canonical,C0035,M2,124172,3600,397,0.11027777777777778
canonical,C0036,FREQ,127766,6,0,0.0
canonical,C0036,PREFIX,127766,6,0,0.0
canonical,C0036,M1,127766,6,0,0.0
canonical,C0036,M2,127766,6,0,0.0
canonical,C0037,FREQ,127322,450,50,0.1111111111111111
canonical,C0037,PREFIX,127322,450,50,0.1111111111111111
canonical,C0037,M1,127322,450,7,0.015555555555555555
canonical,C0037,M2,127322,450,11,0.024444444444444446
canonical,C0038,FREQ,122972,4800,200,0.041666666666666664
canonical,C0038,PREFIX,122972,4800,200,0.041666666666666664
canonical,C0038,M1,122972,4800,336,0.07
canonical,C0038,M2,122972,4800,316,0.06583333333333333
canonical,C0039,FREQ,127688,84,0,0.0
canonical,C0039,PREFIX,127688,84,0,0.0
canonical,C0039,M1,127688,84,0,0.0
canonical,C0039,M2,127688,84,4,0.047619047619047616
canonical,C0040,FREQ,123172,4600,200,0.043478260869565216
canonical,C0040,PREFIX,123172,4600,200,0.043478260869565216
canonical,C0040,M1,123172,4600,301,0.06543478260869565
canonical,C0040,M2,123172,4600,281,0.06108695652173913
