stage,held_out_source,inner_validation_source,seed,permutation_seed,source,prefix_tercile,recipient_sample_id,donor_sample_id,recipient_prefix_len,donor_prefix_len
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0002,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0003,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0002,3,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0004,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0003,4,3
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0001,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0002,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::4c28c132-d7d7-4a04-8908-d643b7cb1d58::0001,stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0001,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0002,stockpile::4c28c132-d7d7-4a04-8908-d643b7cb1d58::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0003,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0002,3,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0004,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0004,4,4
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0005,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0002,5,2
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0009,6,9
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0007,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0008,7,8
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0001,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0002,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0003,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0004,3,4
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0004,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0002,4,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0005,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0003,5,3
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0016,6,16
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0007,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0011,7,11
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0008,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0017,8,17
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0009,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0006,9,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0010,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0010,10,10
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0011,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0010,11,10
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0013,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0014,13,14
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0014,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0007,14,7
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0001,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0002,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0001,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0002,stockpile::e4324b88-8836-4803-b6b7-09b3c6cd4e94::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0003,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0003,3,3
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0001,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0002,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0003,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0002,3,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0004,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0005,4,5
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0005,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0003,5,3
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0005,6,5
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0007,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0011,7,11
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0008,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0013,8,13
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0010,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0008,10,8
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0011,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0013,11,13
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0012,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0014,12,14
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0001,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0002,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0003,2,3
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0002,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0005,2,5
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0001,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0002,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0005,2,5
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0001,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0002,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0005,2,5
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0004,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0004,4,4
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0002,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0004,2,4
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0001,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0002,stockpile::fbc41624-1052-490c-b5ec-4fd718e2501d::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0003,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0003,3,3
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0001,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0003,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0004,3,4
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0004,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0004,4,4
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0005,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0008,5,8
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0007,6,7
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0007,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0006,7,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0008,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0012,8,12
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0009,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0009,9,9
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0010,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0006,10,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0011,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0015,11,15
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0012,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0007,12,7
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0013,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0006,13,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0014,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0006,14,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0015,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0010,15,10
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0016,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0012,16,12
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0017,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0009,17,9
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::e4324b88-8836-4803-b6b7-09b3c6cd4e94::0001,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::e89a10d3-004f-4c15-b0eb-d1ba76a4b67f::0001,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::e89a10d3-004f-4c15-b0eb-d1ba76a4b67f::0002,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0003,2,3
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0001,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0002,stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0001,stockpile::e89a10d3-004f-4c15-b0eb-d1ba76a4b67f::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0002,stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::ef4d997c-a0d1-4067-9efa-87c58682db71::0003,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0004,3,4
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::f98193a0-8b5b-4b5e-a5aa-e8c3adfcd4e6::0001,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::fbc41624-1052-490c-b5ec-4fd718e2501d::0001,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::fbc41624-1052-490c-b5ec-4fd718e2501d::0002,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0003,2,3
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0001,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0002,1,2
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0002,stockpile::f98193a0-8b5b-4b5e-a5aa-e8c3adfcd4e6::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0001,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0001,1,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0002,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0003,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0004,3,4
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0004,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0005,4,5
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0005,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0005,5,5
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0014,6,14
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0001,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0001,1,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0002,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0001,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0001,1,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0002,stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0003,stockpile::eddc8f03-f930-41e7-95ba-33fb87bfed74::0002,3,2
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0004,stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0002,4,2
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0001,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0002,1,2
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0002,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0002,2,2
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0001,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0001,1,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0002,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0003,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0004,3,4
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0004,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0002,4,2
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0005,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0003,5,3
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0006,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0013,6,13
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0007,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0010,7,10
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0008,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0013,8,13
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0009,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0011,9,11
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0010,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0006,10,6
inner,attack_flow,ctid,43,9043,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0011,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0006,11,6
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0001,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0001,1,1
inner,attack_flow,ctid,43,9043,stockpile,0,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0002,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0001,2,1
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0003,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0004,3,4
inner,attack_flow,ctid,43,9043,stockpile,1,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0004,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0002,4,2
