development_slot,sample_id,source_audit_only,prefix_len,b0_top5,a_top5,t_top5,k_top5,candidate_union,candidate_union_size,shuffle_donor_map,target_fields_used_by_builder
ctid:long:1,ctid::apt29::unknown::0027,ctid,27,"[""T1021"",""T1078"",""T1053"",""T1105"",""T1071""]","[""T1027"",""T1105"",""T1021"",""T1046"",""T1543""]","[""T1027"",""T1105"",""T1021"",""T1046"",""T1543""]","[""T1027"",""T1105"",""T1021"",""T1046"",""T1543""]","[""T1021"",""T1027"",""T1046"",""T1053"",""T1071"",""T1078"",""T1105"",""T1543""]",8,"{""T1021"":""T1078"",""T1027"":""T1105"",""T1046"":""T1543"",""T1053"":""T1021"",""T1071"":""T1027"",""T1078"":""T1046"",""T1105"":""T1053"",""T1543"":""T1071""}",0
ctid:long:2,ctid::oilrig::unknown::0034,ctid,34,"[""T1021"",""T1105"",""T1003"",""T1078"",""T1059""]","[""T1135"",""T1112"",""T1007"",""T1562"",""T1560""]","[""T1135"",""T1112"",""T1007"",""T1562"",""T1560""]","[""T1135"",""T1112"",""T1007"",""T1562"",""T1560""]","[""T1003"",""T1007"",""T1021"",""T1059"",""T1078"",""T1105"",""T1112"",""T1135"",""T1560"",""T1562""]",10,"{""T1003"":""T1135"",""T1007"":""T1560"",""T1021"":""T1562"",""T1059"":""T1003"",""T1078"":""T1007"",""T1105"":""T1021"",""T1112"":""T1059"",""T1135"":""T1078"",""T1560"":""T1105"",""T1562"":""T1112""}",0
ctid:long:3,ctid::turla_carbon::unknown::0024,ctid,24,"[""T1105"",""T1021"",""T1078"",""T1003"",""T1059""]","[""T1059"",""T1105"",""T1021"",""T1070"",""T1562""]","[""T1059"",""T1105"",""T1021"",""T1070"",""T1562""]","[""T1105"",""T1021"",""T1070"",""T1562"",""T1018""]","[""T1003"",""T1018"",""T1021"",""T1059"",""T1070"",""T1078"",""T1105"",""T1562""]",8,"{""T1003"":""T1078"",""T1018"":""T1105"",""T1021"":""T1562"",""T1059"":""T1003"",""T1070"":""T1018"",""T1078"":""T1021"",""T1105"":""T1059"",""T1562"":""T1070""}",0
ctid:medium:1,ctid::menu_pass::unknown::0011,ctid,11,"[""T1021"",""T1078"",""T1105"",""T1560"",""T1074""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1021"",""T1059"",""T1074"",""T1078"",""T1105"",""T1518"",""T1560"",""T1562""]",8,"{""T1021"":""T1518"",""T1059"":""T1560"",""T1074"":""T1562"",""T1078"":""T1021"",""T1105"":""T1059"",""T1518"":""T1074"",""T1560"":""T1078"",""T1562"":""T1105""}",0
ctid:medium:2,ctid::turla_snake::unknown::0012,ctid,12,"[""T1021"",""T1003"",""T1078"",""T1053"",""T1543""]","[""T1105"",""T1059"",""T1218"",""T1021"",""T1562""]","[""T1105"",""T1059"",""T1218"",""T1021"",""T1562""]","[""T1105"",""T1059"",""T1218"",""T1021"",""T1562""]","[""T1003"",""T1021"",""T1053"",""T1059"",""T1078"",""T1105"",""T1218"",""T1543"",""T1562""]",9,"{""T1003"":""T1021"",""T1021"":""T1053"",""T1053"":""T1059"",""T1059"":""T1078"",""T1078"":""T1105"",""T1105"":""T1218"",""T1218"":""T1543"",""T1543"":""T1562"",""T1562"":""T1003""}",0
ctid:medium:3,ctid::fin6::unknown::0011,ctid,11,"[""T1021"",""T1078"",""T1059"",""T1005"",""T1105""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1562"",""T1518"",""T1059"",""T1105"",""T1021""]","[""T1005"",""T1021"",""T1059"",""T1078"",""T1105"",""T1518"",""T1562""]",7,"{""T1005"":""T1059"",""T1021"":""T1078"",""T1059"":""T1105"",""T1078"":""T1518"",""T1105"":""T1562"",""T1518"":""T1005"",""T1562"":""T1021""}",0
ctid:medium:4,ctid::wizard_spider::unknown::0018,ctid,18,"[""T1003"",""T1059"",""T1021"",""T1114"",""T1105""]","[""T1059"",""T1105"",""T1021"",""T1070"",""T1562""]","[""T1059"",""T1105"",""T1021"",""T1070"",""T1562""]","[""T1105"",""T1021"",""T1018"",""T1041"",""T1560""]","[""T1003"",""T1018"",""T1021"",""T1041"",""T1059"",""T1070"",""T1105"",""T1114"",""T1560"",""T1562""]",10,"{""T1003"":""T1114"",""T1018"":""T1560"",""T1021"":""T1562"",""T1041"":""T1003"",""T1059"":""T1018"",""T1070"":""T1021"",""T1105"":""T1041"",""T1114"":""T1059"",""T1560"":""T1070"",""T1562"":""T1105""}",0
ctid:short:1,ctid::carbanak::unknown::0007,ctid,7,"[""T1059"",""T1003"",""T1105"",""T1078"",""T1021""]","[""T1021"",""T1059"",""T1562"",""T1105"",""T1047""]","[""T1021"",""T1059"",""T1562"",""T1105"",""T1047""]","[""T1021"",""T1105"",""T1041"",""T1560"",""T1005""]","[""T1003"",""T1005"",""T1021"",""T1041"",""T1047"",""T1059"",""T1078"",""T1105"",""T1560"",""T1562""]",10,"{""T1003"":""T1105"",""T1005"":""T1560"",""T1021"":""T1562"",""T1041"":""T1003"",""T1047"":""T1005"",""T1059"":""T1021"",""T1078"":""T1041"",""T1105"":""T1047"",""T1560"":""T1059"",""T1562"":""T1078""}",0
ctid:short:2,ctid::sandworm::unknown::0010,ctid,10,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]","[""T1105"",""T1070"",""T1041"",""T1027"",""T1140""]","[""T1105"",""T1070"",""T1041"",""T1027"",""T1140""]","[""T1105"",""T1070"",""T1041"",""T1027"",""T1140""]","[""T1003"",""T1021"",""T1027"",""T1041"",""T1059"",""T1070"",""T1078"",""T1105"",""T1140""]",9,"{""T1003"":""T1021"",""T1021"":""T1027"",""T1027"":""T1041"",""T1041"":""T1059"",""T1059"":""T1070"",""T1070"":""T1078"",""T1078"":""T1105"",""T1105"":""T1140"",""T1140"":""T1003""}",0
ctid:short:3,ctid::fin7::unknown::0005,ctid,5,"[""T1021"",""T1078"",""T1105"",""T1053"",""T1005""]","[""T1021"",""T1059"",""T1003"",""T1210"",""T1078""]","[""T1021"",""T1059"",""T1003"",""T1210"",""T1078""]","[""T1021"",""T1210"",""T1074"",""T1570"",""T1090""]","[""T1003"",""T1005"",""T1021"",""T1053"",""T1059"",""T1074"",""T1078"",""T1090"",""T1105"",""T1210"",""T1570""]",11,"{""T1003"":""T1059"",""T1005"":""T1074"",""T1021"":""T1078"",""T1053"":""T1090"",""T1059"":""T1105"",""T1074"":""T1210"",""T1078"":""T1570"",""T1090"":""T1003"",""T1105"":""T1005"",""T1210"":""T1021"",""T1570"":""T1053""}",0
stockpile:long:1,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0012,stockpile,12,"[""T1005"",""T1074"",""T1560"",""T1041"",""T1059""]","[""T1021"",""T1003"",""T1105"",""T1082"",""T1041""]","[""T1021"",""T1003"",""T1082"",""T1105"",""T1057""]","[""T1021"",""T1105"",""T1082"",""T1041"",""T1057""]","[""T1003"",""T1005"",""T1021"",""T1041"",""T1057"",""T1059"",""T1074"",""T1082"",""T1105"",""T1560""]",10,"{""T1003"":""T1082"",""T1005"":""T1105"",""T1021"":""T1560"",""T1041"":""T1003"",""T1057"":""T1005"",""T1059"":""T1021"",""T1074"":""T1041"",""T1082"":""T1057"",""T1105"":""T1059"",""T1560"":""T1074""}",0
stockpile:long:2,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0008,stockpile,8,"[""T1021"",""T1059"",""T1078"",""T1003"",""T1105""]","[""T1021"",""T1059"",""T1562"",""T1087"",""T1484""]","[""T1021"",""T1059"",""T1562"",""T1087"",""T1484""]","[""T1021"",""T1105"",""T1041"",""T1560"",""T1005""]","[""T1003"",""T1005"",""T1021"",""T1041"",""T1059"",""T1078"",""T1087"",""T1105"",""T1484"",""T1560"",""T1562""]",11,"{""T1003"":""T1059"",""T1005"":""T1078"",""T1021"":""T1087"",""T1041"":""T1105"",""T1059"":""T1484"",""T1078"":""T1560"",""T1087"":""T1562"",""T1105"":""T1003"",""T1484"":""T1005"",""T1560"":""T1021"",""T1562"":""T1041""}",0
stockpile:long:3,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0009,stockpile,9,"[""T1021"",""T1059"",""T1078"",""T1003"",""T1105""]","[""T1021"",""T1059"",""T1562"",""T1087"",""T1484""]","[""T1021"",""T1059"",""T1562"",""T1087"",""T1484""]","[""T1021"",""T1105"",""T1041"",""T1560"",""T1005""]","[""T1003"",""T1005"",""T1021"",""T1041"",""T1059"",""T1078"",""T1087"",""T1105"",""T1484"",""T1560"",""T1562""]",11,"{""T1003"":""T1059"",""T1005"":""T1078"",""T1021"":""T1087"",""T1041"":""T1105"",""T1059"":""T1484"",""T1078"":""T1560"",""T1087"":""T1562"",""T1105"":""T1003"",""T1484"":""T1005"",""T1560"":""T1021"",""T1562"":""T1041""}",0
stockpile:medium:1,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0003,stockpile,3,"[""T1119"",""T1552"",""T1003"",""T1078"",""T1021""]","[""T1070"",""T1003"",""T1041"",""T1018"",""T1083""]","[""T1070"",""T1018"",""T1003"",""T1083"",""T1041""]","[""T1041"",""T1561"",""T1537"",""T1571"",""T1105""]","[""T1003"",""T1018"",""T1021"",""T1041"",""T1070"",""T1078"",""T1083"",""T1105"",""T1119"",""T1537"",""T1552"",""T1561"",""T1571""]",13,"{""T1003"":""T1561"",""T1018"":""T1571"",""T1021"":""T1003"",""T1041"":""T1018"",""T1070"":""T1021"",""T1078"":""T1041"",""T1083"":""T1070"",""T1105"":""T1078"",""T1119"":""T1083"",""T1537"":""T1105"",""T1552"":""T1119"",""T1561"":""T1537"",""T1571"":""T1552""}",0
stockpile:medium:2,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0003,stockpile,3,"[""T1059"",""T1005"",""T1547"",""T1021"",""T1018""]","[""T1105"",""T1082"",""T1003"",""T1570"",""T1049""]","[""T1105"",""T1082"",""T1003"",""T1049"",""T1007""]","[""T1105"",""T1082"",""T1570"",""T1049"",""T1007""]","[""T1003"",""T1005"",""T1007"",""T1018"",""T1021"",""T1049"",""T1059"",""T1082"",""T1105"",""T1547"",""T1570""]",11,"{""T1003"":""T1021"",""T1005"":""T1049"",""T1007"":""T1059"",""T1018"":""T1082"",""T1021"":""T1105"",""T1049"":""T1547"",""T1059"":""T1570"",""T1082"":""T1003"",""T1105"":""T1005"",""T1547"":""T1007"",""T1570"":""T1018""}",0
stockpile:medium:3,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0004,stockpile,4,"[""T1021"",""T1059"",""T1078"",""T1003"",""T1105""]","[""T1021"",""T1105"",""T1059"",""T1562"",""T1070""]","[""T1021"",""T1105"",""T1059"",""T1562"",""T1070""]","[""T1021"",""T1105"",""T1041"",""T1560"",""T1005""]","[""T1003"",""T1005"",""T1021"",""T1041"",""T1059"",""T1070"",""T1078"",""T1105"",""T1560"",""T1562""]",10,"{""T1003"":""T1105"",""T1005"":""T1560"",""T1021"":""T1562"",""T1041"":""T1003"",""T1059"":""T1005"",""T1070"":""T1021"",""T1078"":""T1041"",""T1105"":""T1059"",""T1560"":""T1070"",""T1562"":""T1078""}",0
stockpile:medium:4,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0003,stockpile,3,"[""T1059"",""T1003"",""T1021"",""T1105"",""T1078""]","[""T1003"",""T1053"",""T1036"",""T1112"",""T1543""]","[""T1003"",""T1543"",""T1053"",""T1112"",""T1055""]","[""T1003"",""T1053"",""T1036"",""T1112"",""T1543""]","[""T1003"",""T1021"",""T1036"",""T1053"",""T1055"",""T1059"",""T1078"",""T1105"",""T1112"",""T1543""]",10,"{""T1003"":""T1105"",""T1021"":""T1112"",""T1036"":""T1543"",""T1053"":""T1003"",""T1055"":""T1021"",""T1059"":""T1036"",""T1078"":""T1053"",""T1105"":""T1055"",""T1112"":""T1059"",""T1543"":""T1078""}",0
stockpile:short:1,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0002,stockpile,2,"[""T1083"",""T1003"",""T1018"",""T1069"",""T1087""]","[""T1105"",""T1082"",""T1003"",""T1016"",""T1057""]","[""T1105"",""T1082"",""T1003"",""T1016"",""T1057""]","[""T1105"",""T1082"",""T1016"",""T1057"",""T1083""]","[""T1003"",""T1016"",""T1018"",""T1057"",""T1069"",""T1082"",""T1083"",""T1087"",""T1105""]",9,"{""T1003"":""T1016"",""T1016"":""T1018"",""T1018"":""T1057"",""T1057"":""T1069"",""T1069"":""T1082"",""T1082"":""T1083"",""T1083"":""T1087"",""T1087"":""T1105"",""T1105"":""T1003""}",0
stockpile:short:2,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0001,stockpile,1,"[""T1016"",""T1033"",""T1057"",""T1083"",""T1046""]","[""T1105"",""T1016"",""T1087"",""T1069"",""T1057""]","[""T1105"",""T1016"",""T1087"",""T1069"",""T1057""]","[""T1105"",""T1016"",""T1087"",""T1069"",""T1057""]","[""T1016"",""T1033"",""T1046"",""T1057"",""T1069"",""T1083"",""T1087"",""T1105""]",8,"{""T1016"":""T1083"",""T1033"":""T1087"",""T1046"":""T1105"",""T1057"":""T1016"",""T1069"":""T1033"",""T1083"":""T1046"",""T1087"":""T1057"",""T1105"":""T1069""}",0
stockpile:short:3,stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0001,stockpile,1,"[""T1087"",""T1018"",""T1046"",""T1003"",""T1021""]","[""T1070"",""T1003"",""T1018"",""T1016"",""T1087""]","[""T1070"",""T1018"",""T1016"",""T1087"",""T1003""]","[""T1018"",""T1016"",""T1087"",""T1486"",""T1007""]","[""T1003"",""T1007"",""T1016"",""T1018"",""T1021"",""T1046"",""T1070"",""T1087"",""T1486""]",9,"{""T1003"":""T1007"",""T1007"":""T1016"",""T1016"":""T1018"",""T1018"":""T1021"",""T1021"":""T1046"",""T1046"":""T1070"",""T1070"":""T1087"",""T1087"":""T1486"",""T1486"":""T1003""}",0
