score_row,held_out_source,seed,learning_rate,epoch,beta,sample_id,campaign_id
43,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0045,apt29::unknown
44,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0046,apt29::unknown
45,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0047,apt29::unknown
46,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0048,apt29::unknown
47,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0049,apt29::unknown
48,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0050,apt29::unknown
49,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0051,apt29::unknown
50,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0052,apt29::unknown
51,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0053,apt29::unknown
52,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0054,apt29::unknown
53,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0055,apt29::unknown
54,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0056,apt29::unknown
55,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0057,apt29::unknown
56,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0058,apt29::unknown
57,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0059,apt29::unknown
58,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0060,apt29::unknown
59,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0061,apt29::unknown
60,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0062,apt29::unknown
61,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0063,apt29::unknown
62,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0064,apt29::unknown
63,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0001,carbanak::unknown
64,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0002,carbanak::unknown
65,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0003,carbanak::unknown
66,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0004,carbanak::unknown
67,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0005,carbanak::unknown
68,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0006,carbanak::unknown
69,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0008,carbanak::unknown
70,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0009,carbanak::unknown
71,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0010,carbanak::unknown
72,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0011,carbanak::unknown
73,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0012,carbanak::unknown
74,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0013,carbanak::unknown
75,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0014,carbanak::unknown
76,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0015,carbanak::unknown
77,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0016,carbanak::unknown
78,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0017,carbanak::unknown
79,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0018,carbanak::unknown
80,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0019,carbanak::unknown
81,ctid,42,0.001,40,0.1,ctid::carbanak::unknown::0020,carbanak::unknown
82,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0001,fin6::unknown
83,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0002,fin6::unknown
84,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0003,fin6::unknown
85,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0004,fin6::unknown
86,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0005,fin6::unknown
87,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0006,fin6::unknown
88,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0007,fin6::unknown
89,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0008,fin6::unknown
90,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0009,fin6::unknown
91,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0010,fin6::unknown
92,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0012,fin6::unknown
93,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0013,fin6::unknown
94,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0014,fin6::unknown
95,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0015,fin6::unknown
96,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0016,fin6::unknown
97,ctid,42,0.001,40,0.1,ctid::fin6::unknown::0017,fin6::unknown
98,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0001,fin7::unknown
99,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0002,fin7::unknown
100,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0003,fin7::unknown
101,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0004,fin7::unknown
102,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0006,fin7::unknown
103,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0007,fin7::unknown
104,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0008,fin7::unknown
105,ctid,42,0.001,40,0.1,ctid::fin7::unknown::0009,fin7::unknown
106,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0001,menu_pass::unknown
107,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0002,menu_pass::unknown
108,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0003,menu_pass::unknown
109,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0004,menu_pass::unknown
110,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0005,menu_pass::unknown
111,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0006,menu_pass::unknown
112,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0007,menu_pass::unknown
113,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0008,menu_pass::unknown
114,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0009,menu_pass::unknown
115,ctid,42,0.001,40,0.1,ctid::menu_pass::unknown::0010,menu_pass::unknown
116,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0001,oilrig::unknown
117,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0002,oilrig::unknown
118,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0003,oilrig::unknown
119,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0004,oilrig::unknown
120,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0005,oilrig::unknown
121,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0006,oilrig::unknown
122,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0007,oilrig::unknown
123,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0008,oilrig::unknown
124,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0009,oilrig::unknown
125,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0010,oilrig::unknown
126,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0011,oilrig::unknown
127,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0012,oilrig::unknown
128,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0013,oilrig::unknown
129,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0014,oilrig::unknown
130,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0015,oilrig::unknown
131,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0016,oilrig::unknown
132,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0017,oilrig::unknown
133,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0018,oilrig::unknown
134,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0019,oilrig::unknown
135,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0020,oilrig::unknown
136,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0021,oilrig::unknown
137,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0022,oilrig::unknown
138,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0023,oilrig::unknown
139,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0024,oilrig::unknown
140,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0025,oilrig::unknown
141,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0026,oilrig::unknown
142,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0027,oilrig::unknown
143,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0028,oilrig::unknown
144,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0029,oilrig::unknown
145,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0030,oilrig::unknown
146,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0031,oilrig::unknown
147,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0032,oilrig::unknown
148,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0033,oilrig::unknown
149,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0035,oilrig::unknown
150,ctid,42,0.001,40,0.1,ctid::oilrig::unknown::0036,oilrig::unknown
151,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0001,sandworm::unknown
152,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0002,sandworm::unknown
153,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0003,sandworm::unknown
154,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0004,sandworm::unknown
155,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0005,sandworm::unknown
156,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0006,sandworm::unknown
157,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0007,sandworm::unknown
158,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0008,sandworm::unknown
159,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0009,sandworm::unknown
160,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0011,sandworm::unknown
161,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0012,sandworm::unknown
162,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0013,sandworm::unknown
163,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0014,sandworm::unknown
164,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0015,sandworm::unknown
165,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0016,sandworm::unknown
166,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0017,sandworm::unknown
167,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0018,sandworm::unknown
168,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0019,sandworm::unknown
169,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0020,sandworm::unknown
170,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0021,sandworm::unknown
171,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0022,sandworm::unknown
172,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0023,sandworm::unknown
173,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0024,sandworm::unknown
174,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0025,sandworm::unknown
175,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0026,sandworm::unknown
176,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0027,sandworm::unknown
177,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0028,sandworm::unknown
178,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0029,sandworm::unknown
179,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0030,sandworm::unknown
180,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0031,sandworm::unknown
181,ctid,42,0.001,40,0.1,ctid::sandworm::unknown::0032,sandworm::unknown
182,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0001,turla_carbon::unknown
183,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0002,turla_carbon::unknown
184,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0003,turla_carbon::unknown
185,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0004,turla_carbon::unknown
186,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0005,turla_carbon::unknown
187,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0006,turla_carbon::unknown
188,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0007,turla_carbon::unknown
189,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0008,turla_carbon::unknown
190,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0009,turla_carbon::unknown
191,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0010,turla_carbon::unknown
192,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0011,turla_carbon::unknown
193,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0012,turla_carbon::unknown
194,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0013,turla_carbon::unknown
195,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0014,turla_carbon::unknown
196,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0015,turla_carbon::unknown
197,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0016,turla_carbon::unknown
198,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0017,turla_carbon::unknown
199,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0018,turla_carbon::unknown
200,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0019,turla_carbon::unknown
201,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0020,turla_carbon::unknown
202,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0021,turla_carbon::unknown
203,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0022,turla_carbon::unknown
204,ctid,42,0.001,40,0.1,ctid::turla_carbon::unknown::0023,turla_carbon::unknown
205,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0001,turla_snake::unknown
206,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0002,turla_snake::unknown
207,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0003,turla_snake::unknown
208,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0004,turla_snake::unknown
209,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0005,turla_snake::unknown
210,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0006,turla_snake::unknown
211,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0007,turla_snake::unknown
212,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0008,turla_snake::unknown
213,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0009,turla_snake::unknown
214,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0010,turla_snake::unknown
215,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0011,turla_snake::unknown
216,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0013,turla_snake::unknown
217,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0014,turla_snake::unknown
218,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0015,turla_snake::unknown
219,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0016,turla_snake::unknown
220,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0017,turla_snake::unknown
221,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0018,turla_snake::unknown
222,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0019,turla_snake::unknown
223,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0020,turla_snake::unknown
224,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0021,turla_snake::unknown
225,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0022,turla_snake::unknown
226,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0023,turla_snake::unknown
227,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0024,turla_snake::unknown
228,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0025,turla_snake::unknown
229,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0026,turla_snake::unknown
230,ctid,42,0.001,40,0.1,ctid::turla_snake::unknown::0027,turla_snake::unknown
231,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0001,wizard_spider::unknown
232,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0002,wizard_spider::unknown
233,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0003,wizard_spider::unknown
234,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0004,wizard_spider::unknown
235,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0005,wizard_spider::unknown
236,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0006,wizard_spider::unknown
237,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0007,wizard_spider::unknown
238,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0008,wizard_spider::unknown
239,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0009,wizard_spider::unknown
240,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0010,wizard_spider::unknown
241,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0011,wizard_spider::unknown
242,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0012,wizard_spider::unknown
243,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0013,wizard_spider::unknown
244,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0014,wizard_spider::unknown
245,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0015,wizard_spider::unknown
246,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0016,wizard_spider::unknown
247,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0017,wizard_spider::unknown
248,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0019,wizard_spider::unknown
249,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0020,wizard_spider::unknown
250,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0021,wizard_spider::unknown
251,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0022,wizard_spider::unknown
252,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0023,wizard_spider::unknown
253,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0024,wizard_spider::unknown
254,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0025,wizard_spider::unknown
255,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0026,wizard_spider::unknown
256,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0027,wizard_spider::unknown
257,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0028,wizard_spider::unknown
258,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0029,wizard_spider::unknown
259,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0030,wizard_spider::unknown
260,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0031,wizard_spider::unknown
261,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0032,wizard_spider::unknown
262,ctid,42,0.001,40,0.1,ctid::wizard_spider::unknown::0033,wizard_spider::unknown
263,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0001,apt29::unknown
264,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0002,apt29::unknown
265,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0003,apt29::unknown
266,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0004,apt29::unknown
267,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0005,apt29::unknown
268,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0006,apt29::unknown
269,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0007,apt29::unknown
270,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0008,apt29::unknown
271,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0009,apt29::unknown
272,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0010,apt29::unknown
273,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0011,apt29::unknown
274,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0012,apt29::unknown
275,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0013,apt29::unknown
276,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0014,apt29::unknown
277,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0015,apt29::unknown
278,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0016,apt29::unknown
279,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0017,apt29::unknown
280,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0018,apt29::unknown
281,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0019,apt29::unknown
282,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0020,apt29::unknown
283,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0021,apt29::unknown
284,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0022,apt29::unknown
285,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0023,apt29::unknown
286,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0024,apt29::unknown
287,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0025,apt29::unknown
288,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0026,apt29::unknown
289,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0028,apt29::unknown
290,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0029,apt29::unknown
291,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0030,apt29::unknown
292,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0031,apt29::unknown
293,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0032,apt29::unknown
294,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0033,apt29::unknown
295,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0034,apt29::unknown
296,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0035,apt29::unknown
297,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0036,apt29::unknown
298,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0037,apt29::unknown
299,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0038,apt29::unknown
300,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0039,apt29::unknown
301,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0040,apt29::unknown
302,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0041,apt29::unknown
303,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0042,apt29::unknown
304,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0043,apt29::unknown
305,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0044,apt29::unknown
306,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0045,apt29::unknown
307,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0046,apt29::unknown
308,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0047,apt29::unknown
309,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0048,apt29::unknown
310,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0049,apt29::unknown
311,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0050,apt29::unknown
312,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0051,apt29::unknown
313,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0052,apt29::unknown
314,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0053,apt29::unknown
315,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0054,apt29::unknown
316,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0055,apt29::unknown
317,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0056,apt29::unknown
318,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0057,apt29::unknown
319,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0058,apt29::unknown
320,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0059,apt29::unknown
321,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0060,apt29::unknown
322,ctid,43,0.001,40,0.1,ctid::apt29::unknown::0061,apt29::unknown
