score_row,held_out_source,inner_training_source,inner_validation_source,seed,learning_rate,epoch,beta,sample_id,campaign_id
114,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0011,DFIR - BumbleBee Round 2
115,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0012,DFIR - BumbleBee Round 2
116,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0001,Equifax Breach
117,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0002,Equifax Breach
118,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0003,Equifax Breach
119,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0004,Equifax Breach
120,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0005,Equifax Breach
121,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0006,Equifax Breach
122,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0007,Equifax Breach
123,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Equifax Breach::0008,Equifax Breach
124,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0001,FIN13 Case 1
125,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0002,FIN13 Case 1
126,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0003,FIN13 Case 1
127,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0004,FIN13 Case 1
128,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0005,FIN13 Case 1
129,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0006,FIN13 Case 1
130,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0007,FIN13 Case 1
131,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0008,FIN13 Case 1
132,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0009,FIN13 Case 1
133,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0010,FIN13 Case 1
134,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0011,FIN13 Case 1
135,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0012,FIN13 Case 1
136,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0013,FIN13 Case 1
137,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0014,FIN13 Case 1
138,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0015,FIN13 Case 1
139,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0016,FIN13 Case 1
140,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0017,FIN13 Case 1
141,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0018,FIN13 Case 1
142,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0019,FIN13 Case 1
143,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0020,FIN13 Case 1
144,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0021,FIN13 Case 1
145,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0022,FIN13 Case 1
146,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0023,FIN13 Case 1
147,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0024,FIN13 Case 1
148,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0025,FIN13 Case 1
149,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0029,FIN13 Case 1
150,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0030,FIN13 Case 1
151,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 1::0031,FIN13 Case 1
152,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0001,FIN13 Case 2
153,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0002,FIN13 Case 2
154,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0003,FIN13 Case 2
155,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0004,FIN13 Case 2
156,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0005,FIN13 Case 2
157,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0007,FIN13 Case 2
158,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0008,FIN13 Case 2
159,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0009,FIN13 Case 2
160,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0010,FIN13 Case 2
161,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0011,FIN13 Case 2
162,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0012,FIN13 Case 2
163,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0013,FIN13 Case 2
164,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::FIN13 Case 2::0014,FIN13 Case 2
165,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0001,Gootloader
166,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0002,Gootloader
167,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0003,Gootloader
168,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0005,Gootloader
169,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0006,Gootloader
170,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0007,Gootloader
171,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0008,Gootloader
172,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0009,Gootloader
173,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0010,Gootloader
174,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0011,Gootloader
175,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0012,Gootloader
176,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0013,Gootloader
177,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0014,Gootloader
178,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0015,Gootloader
179,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0016,Gootloader
180,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0017,Gootloader
181,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0018,Gootloader
182,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0019,Gootloader
183,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0020,Gootloader
184,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0021,Gootloader
185,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0022,Gootloader
186,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0023,Gootloader
187,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0024,Gootloader
188,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0025,Gootloader
189,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0026,Gootloader
190,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0027,Gootloader
191,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0028,Gootloader
192,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Gootloader::0029,Gootloader
193,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0001,Hancitor DLL
194,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0002,Hancitor DLL
195,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0003,Hancitor DLL
196,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0004,Hancitor DLL
197,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0005,Hancitor DLL
198,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0006,Hancitor DLL
199,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0007,Hancitor DLL
200,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0008,Hancitor DLL
201,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0010,Hancitor DLL
202,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0011,Hancitor DLL
203,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0012,Hancitor DLL
204,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0013,Hancitor DLL
205,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0014,Hancitor DLL
206,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0015,Hancitor DLL
207,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0016,Hancitor DLL
208,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0017,Hancitor DLL
209,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0018,Hancitor DLL
210,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Hancitor DLL::0019,Hancitor DLL
211,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Ivanti Vulnerabilities::0001,Ivanti Vulnerabilities
212,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Ivanti Vulnerabilities::0002,Ivanti Vulnerabilities
213,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Ivanti Vulnerabilities::0003,Ivanti Vulnerabilities
214,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Ivanti Vulnerabilities::0004,Ivanti Vulnerabilities
215,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Ivanti Vulnerabilities::0005,Ivanti Vulnerabilities
216,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0001,JP Morgan Breach
217,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0002,JP Morgan Breach
218,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0003,JP Morgan Breach
219,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0004,JP Morgan Breach
220,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0005,JP Morgan Breach
221,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0006,JP Morgan Breach
222,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0008,JP Morgan Breach
223,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::JP Morgan Breach::0009,JP Morgan Breach
224,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::MITRE NERVE::0001,MITRE NERVE
225,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::MITRE NERVE::0002,MITRE NERVE
226,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::MITRE NERVE::0003,MITRE NERVE
227,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::MITRE NERVE::0004,MITRE NERVE
