sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,profile_id,profile,position
564ae20d-778d-4965-93dc-b523be2e2ab4::5,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1005""]","[""T1005""]",T1074,T1074.001,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,5
564ae20d-778d-4965-93dc-b523be2e2ab4::6,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1074""]","[""T1074.001""]",T1560,T1560.001,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,6
564ae20d-778d-4965-93dc-b523be2e2ab4::7,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1560""]","[""T1560.001""]",T1041,T1041,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,7
564ae20d-778d-4965-93dc-b523be2e2ab4::8,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1041""]","[""T1041""]",T1005,T1005,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,8
564ae20d-778d-4965-93dc-b523be2e2ab4::9,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1005""]","[""T1005""]",T1518,T1518.001,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,9
564ae20d-778d-4965-93dc-b523be2e2ab4::10,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1518""]","[""T1518.001""]",T1016,T1016.002,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,10
564ae20d-778d-4965-93dc-b523be2e2ab4::11,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1016""]","[""T1016.002""]",T1016,T1016.002,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,11
564ae20d-778d-4965-93dc-b523be2e2ab4::12,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1016""]","[""T1016.002""]",T1040,T1040,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,12
564ae20d-778d-4965-93dc-b523be2e2ab4::13,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1040""]","[""T1040""]",T1059,T1059.002,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,13
78e7504d-968f-477d-8806-4d6c04b94431::0,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1005""]","[""T1005""]",T1552,T1552.003,78e7504d-968f-477d-8806-4d6c04b94431,Worm,0
78e7504d-968f-477d-8806-4d6c04b94431::1,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1552""]","[""T1552.003""]",T1135,T1135,78e7504d-968f-477d-8806-4d6c04b94431,Worm,1
78e7504d-968f-477d-8806-4d6c04b94431::2,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1135""]","[""T1135""]",T1018,T1018,78e7504d-968f-477d-8806-4d6c04b94431,Worm,2
78e7504d-968f-477d-8806-4d6c04b94431::3,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1018""]","[""T1018""]",T1003,T1003.001,78e7504d-968f-477d-8806-4d6c04b94431,Worm,3
78e7504d-968f-477d-8806-4d6c04b94431::4,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1003""]","[""T1003.001""]",T1018,T1018,78e7504d-968f-477d-8806-4d6c04b94431,Worm,4
78e7504d-968f-477d-8806-4d6c04b94431::5,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1018""]","[""T1018""]",T1018,T1018,78e7504d-968f-477d-8806-4d6c04b94431,Worm,5
78e7504d-968f-477d-8806-4d6c04b94431::6,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1018""]","[""T1018""]",T1021,T1021.002,78e7504d-968f-477d-8806-4d6c04b94431,Worm,6
78e7504d-968f-477d-8806-4d6c04b94431::7,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1021""]","[""T1021.002""]",T1021,T1021.002,78e7504d-968f-477d-8806-4d6c04b94431,Worm,7
78e7504d-968f-477d-8806-4d6c04b94431::8,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1021""]","[""T1021.002""]",T1570,T1570,78e7504d-968f-477d-8806-4d6c04b94431,Worm,8
78e7504d-968f-477d-8806-4d6c04b94431::9,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1570""]","[""T1570""]",T1047,T1047,78e7504d-968f-477d-8806-4d6c04b94431,Worm,9
78e7504d-968f-477d-8806-4d6c04b94431::10,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1047""]","[""T1047""]",T1021,T1021.006,78e7504d-968f-477d-8806-4d6c04b94431,Worm,10
78e7504d-968f-477d-8806-4d6c04b94431::11,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,1,"[""T1021""]","[""T1021.006""]",T1021,T1021.004,78e7504d-968f-477d-8806-4d6c04b94431,Worm,11
bcdbf6b9-14c5-495c-be84-37bce32c312b::0,stockpile,bcdbf6b9-14c5-495c-be84-37bce32c312b,1,"[""T1003""]","[""T1003.001""]",T1218,T1218.008,bcdbf6b9-14c5-495c-be84-37bce32c312b,Signed Binary Proxy Execution,0
bcdbf6b9-14c5-495c-be84-37bce32c312b::1,stockpile,bcdbf6b9-14c5-495c-be84-37bce32c312b,1,"[""T1218""]","[""T1218.008""]",T1218,T1218.013,bcdbf6b9-14c5-495c-be84-37bce32c312b,Signed Binary Proxy Execution,1
d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,1,"[""T1047""]","[""T1047""]",T1057,T1057,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,Enumerator,0
d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::1,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,1,"[""T1057""]","[""T1057""]",T1057,T1057,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,Enumerator,1
d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::2,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,1,"[""T1057""]","[""T1057""]",T1518,T1518.001,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,Enumerator,2
d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::3,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,1,"[""T1518""]","[""T1518.001""]",T1057,T1057,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,Enumerator,3
dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0,stockpile,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,"[""T1135""]","[""T1135""]",T1021,T1021.002,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,Service Creation Lateral Movement,0
dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::1,stockpile,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,"[""T1021""]","[""T1021.002""]",T1569,T1569.002,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,Service Creation Lateral Movement,1
de07f52d-9928-4071-9142-cb1d3bd851e8::0,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1005""]","[""T1005""]",T1033,T1033,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,0
de07f52d-9928-4071-9142-cb1d3bd851e8::1,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1033""]","[""T1033""]",T1087,T1087.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,1
de07f52d-9928-4071-9142-cb1d3bd851e8::2,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1087""]","[""T1087.001""]",T1087,T1087.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,2
de07f52d-9928-4071-9142-cb1d3bd851e8::3,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1087""]","[""T1087.001""]",T1016,T1016,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,3
de07f52d-9928-4071-9142-cb1d3bd851e8::4,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1016""]","[""T1016""]",T1057,T1057,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,4
de07f52d-9928-4071-9142-cb1d3bd851e8::5,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1057""]","[""T1057""]",T1135,T1135,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,5
de07f52d-9928-4071-9142-cb1d3bd851e8::6,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1135""]","[""T1135""]",T1018,T1018,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,6
de07f52d-9928-4071-9142-cb1d3bd851e8::7,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1018""]","[""T1018""]",T1518,T1518.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,7
de07f52d-9928-4071-9142-cb1d3bd851e8::8,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1518""]","[""T1518.001""]",T1069,T1069.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,8
de07f52d-9928-4071-9142-cb1d3bd851e8::9,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1069""]","[""T1069.001""]",T1518,T1518.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,9
de07f52d-9928-4071-9142-cb1d3bd851e8::10,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1518""]","[""T1518.001""]",T1018,T1018,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,10
de07f52d-9928-4071-9142-cb1d3bd851e8::11,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1018""]","[""T1018""]",T1217,T1217,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,11
de07f52d-9928-4071-9142-cb1d3bd851e8::12,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1217""]","[""T1217""]",T1074,T1074.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,12
de07f52d-9928-4071-9142-cb1d3bd851e8::13,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1074""]","[""T1074.001""]",T1005,T1005,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,13
de07f52d-9928-4071-9142-cb1d3bd851e8::14,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1005""]","[""T1005""]",T1074,T1074.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,14
de07f52d-9928-4071-9142-cb1d3bd851e8::15,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1074""]","[""T1074.001""]",T1560,T1560.001,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,15
de07f52d-9928-4071-9142-cb1d3bd851e8::16,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,1,"[""T1560""]","[""T1560.001""]",T1041,T1041,de07f52d-9928-4071-9142-cb1d3bd851e8,Ransack,16
e4324b88-8836-4803-b6b7-09b3c6cd4e94::0,stockpile,e4324b88-8836-4803-b6b7-09b3c6cd4e94,1,"[""T1120""]","[""T1120""]",T1083,T1083,e4324b88-8836-4803-b6b7-09b3c6cd4e94,Printer Queue,0
