sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,flow,source_action,target_action
Black Basta Ransomware::16,attack_flow,Black Basta Ransomware,1,"[""T1567""]","[""T1567""]",T1047,T1047,Black Basta Ransomware,44650151-de19-4ebd-a9ae-d8aa4e5015f5,60f72c38-7df7-4c48-b5f6-8b6b7a39f00a
Black Basta Ransomware::17,attack_flow,Black Basta Ransomware,1,"[""T1567""]","[""T1567""]",T1490,T1490,Black Basta Ransomware,44650151-de19-4ebd-a9ae-d8aa4e5015f5,6ca21018-c0f8-470e-9896-d6993f59e068
Black Basta Ransomware::18,attack_flow,Black Basta Ransomware,1,"[""T1098""]","[""T1098""]",T1573,T1573,Black Basta Ransomware,599cf0b7-3d8f-4988-85de-4301a29f86b6,8db6f663-3eda-4a6d-b887-3b67ac5d218c
Black Basta Ransomware::19,attack_flow,Black Basta Ransomware,1,"[""T1047""]","[""T1047""]",T1562,T1562.009,Black Basta Ransomware,60f72c38-7df7-4c48-b5f6-8b6b7a39f00a,ab3bbdcf-9899-4fa9-9365-52d416300957
Black Basta Ransomware::20,attack_flow,Black Basta Ransomware,1,"[""T1047""]","[""T1047""]",T1112,T1112,Black Basta Ransomware,60f72c38-7df7-4c48-b5f6-8b6b7a39f00a,d09fa5d5-e991-4085-a8be-46d62ee28a7f
Black Basta Ransomware::21,attack_flow,Black Basta Ransomware,1,"[""T1490""]","[""T1490""]",T1562,T1562.009,Black Basta Ransomware,6ca21018-c0f8-470e-9896-d6993f59e068,ab3bbdcf-9899-4fa9-9365-52d416300957
Black Basta Ransomware::22,attack_flow,Black Basta Ransomware,1,"[""T1490""]","[""T1490""]",T1112,T1112,Black Basta Ransomware,6ca21018-c0f8-470e-9896-d6993f59e068,d09fa5d5-e991-4085-a8be-46d62ee28a7f
Black Basta Ransomware::23,attack_flow,Black Basta Ransomware,1,"[""T1573""]","[""T1573""]",T1105,T1105,Black Basta Ransomware,8db6f663-3eda-4a6d-b887-3b67ac5d218c,21faed62-d790-40dd-a97c-e20cad02e4ed
Black Basta Ransomware::24,attack_flow,Black Basta Ransomware,1,"[""T1562""]","[""T1562.001""]",T1560,T1560.001,Black Basta Ransomware,93a4a781-5805-494a-9d93-6cf72577876a,e4784eca-c724-4035-acb4-3fc76cbcb59f
Black Basta Ransomware::25,attack_flow,Black Basta Ransomware,1,"[""T1218""]","[""T1218.010""]",T1543,T1543.003,Black Basta Ransomware,9f5746cd-931b-4e2a-815f-b65519baabfc,a33a2a3b-2de7-4f03-855f-3564afdf4db7
Black Basta Ransomware::26,attack_flow,Black Basta Ransomware,1,"[""T1218""]","[""T1218.010""]",T1136,T1136,Black Basta Ransomware,9f5746cd-931b-4e2a-815f-b65519baabfc,d88229be-c790-4963-92e8-ca0bf0080ad0
Black Basta Ransomware::27,attack_flow,Black Basta Ransomware,1,"[""T1497""]","[""T1497""]",T1560,T1560.001,Black Basta Ransomware,a22fdaff-b20e-4896-ac6c-81a93ddb36df,e4784eca-c724-4035-acb4-3fc76cbcb59f
Black Basta Ransomware::28,attack_flow,Black Basta Ransomware,1,"[""T1543""]","[""T1543.003""]",T1573,T1573,Black Basta Ransomware,a33a2a3b-2de7-4f03-855f-3564afdf4db7,8db6f663-3eda-4a6d-b887-3b67ac5d218c
Black Basta Ransomware::29,attack_flow,Black Basta Ransomware,1,"[""T1566""]","[""T1566.001""]",T1140,T1140,Black Basta Ransomware,a3679838-b02f-4c2b-a0b6-d3450ca2e1dd,b2345e48-33c8-4a67-99cc-7dec00f978cc
Black Basta Ransomware::30,attack_flow,Black Basta Ransomware,1,"[""T1562""]","[""T1562.009""]",T1083,T1083,Black Basta Ransomware,ab3bbdcf-9899-4fa9-9365-52d416300957,fb48d182-4241-483c-b97d-bdb1440ab5e5
Black Basta Ransomware::31,attack_flow,Black Basta Ransomware,1,"[""T1140""]","[""T1140""]",T1204,T1204.002,Black Basta Ransomware,b2345e48-33c8-4a67-99cc-7dec00f978cc,e5715d9b-4fd2-4ad3-85f8-75d958bddb5d
Black Basta Ransomware::32,attack_flow,Black Basta Ransomware,1,"[""T1059""]","[""T1059.005""]",T1059,T1059.001,Black Basta Ransomware,b681891b-bd67-4d54-8cd0-ceb3cce9767c,ec4f8e09-7106-478a-886b-82d0732cf97a
Black Basta Ransomware::33,attack_flow,Black Basta Ransomware,1,"[""T1021""]","[""T1021.001""]",T1569,T1569.002,Black Basta Ransomware,bfc59d4e-32d1-42ae-94f7-8a1bc4d6dc91,c14c8d17-1a12-439b-aef4-a2f1e66052ea
Black Basta Ransomware::34,attack_flow,Black Basta Ransomware,1,"[""T1569""]","[""T1569.002""]",T1622,T1622,Black Basta Ransomware,c14c8d17-1a12-439b-aef4-a2f1e66052ea,3a7cc2d4-25fe-4fb5-abee-5f2b6dc0caee
Black Basta Ransomware::35,attack_flow,Black Basta Ransomware,1,"[""T1569""]","[""T1569.002""]",T1562,T1562.001,Black Basta Ransomware,c14c8d17-1a12-439b-aef4-a2f1e66052ea,93a4a781-5805-494a-9d93-6cf72577876a
Black Basta Ransomware::36,attack_flow,Black Basta Ransomware,1,"[""T1569""]","[""T1569.002""]",T1497,T1497,Black Basta Ransomware,c14c8d17-1a12-439b-aef4-a2f1e66052ea,a22fdaff-b20e-4896-ac6c-81a93ddb36df
Black Basta Ransomware::37,attack_flow,Black Basta Ransomware,1,"[""T1569""]","[""T1569.002""]",T1489,T1489,Black Basta Ransomware,c14c8d17-1a12-439b-aef4-a2f1e66052ea,d4998f70-63bb-439c-a279-282cfddc53fe
Black Basta Ransomware::38,attack_flow,Black Basta Ransomware,1,"[""T1562""]","[""T1562.004""]",T1021,T1021.001,Black Basta Ransomware,c197e5b8-3522-43bb-b10d-55ff3a3ba540,bfc59d4e-32d1-42ae-94f7-8a1bc4d6dc91
Black Basta Ransomware::39,attack_flow,Black Basta Ransomware,1,"[""T1574""]","[""T1574.001""]",T1218,T1218.010,Black Basta Ransomware,c94bdb43-30a0-47ec-8bd9-b4487fdde268,9f5746cd-931b-4e2a-815f-b65519baabfc
Black Basta Ransomware::40,attack_flow,Black Basta Ransomware,1,"[""T1112""]","[""T1112""]",T1083,T1083,Black Basta Ransomware,d09fa5d5-e991-4085-a8be-46d62ee28a7f,fb48d182-4241-483c-b97d-bdb1440ab5e5
Black Basta Ransomware::41,attack_flow,Black Basta Ransomware,1,"[""T1489""]","[""T1489""]",T1560,T1560.001,Black Basta Ransomware,d4998f70-63bb-439c-a279-282cfddc53fe,e4784eca-c724-4035-acb4-3fc76cbcb59f
Black Basta Ransomware::42,attack_flow,Black Basta Ransomware,1,"[""T1136""]","[""T1136""]",T1484,T1484.001,Black Basta Ransomware,d88229be-c790-4963-92e8-ca0bf0080ad0,1ab99f8c-71a2-4518-a034-9100998b949c
Black Basta Ransomware::43,attack_flow,Black Basta Ransomware,1,"[""T1560""]","[""T1560.001""]",T1573,T1573,Black Basta Ransomware,e4784eca-c724-4035-acb4-3fc76cbcb59f,28045127-d6be-4d1a-b45b-d52e9185fbf8
Black Basta Ransomware::44,attack_flow,Black Basta Ransomware,1,"[""T1204""]","[""T1204.002""]",T1059,T1059.005,Black Basta Ransomware,e5715d9b-4fd2-4ad3-85f8-75d958bddb5d,b681891b-bd67-4d54-8cd0-ceb3cce9767c
Black Basta Ransomware::45,attack_flow,Black Basta Ransomware,1,"[""T1059""]","[""T1059.001""]",T1574,T1574.001,Black Basta Ransomware,ec4f8e09-7106-478a-886b-82d0732cf97a,c94bdb43-30a0-47ec-8bd9-b4487fdde268
Black Basta Ransomware::46,attack_flow,Black Basta Ransomware,1,"[""T1083""]","[""T1083""]",T1486,T1486,Black Basta Ransomware,fb48d182-4241-483c-b97d-bdb1440ab5e5,fea70dfe-cdbe-405c-a1ab-9d4632f423cb
Black Basta Ransomware::47,attack_flow,Black Basta Ransomware,1,"[""T1486""]","[""T1486""]",T1491,T1491.001,Black Basta Ransomware,fea70dfe-cdbe-405c-a1ab-9d4632f423cb,1b746e0c-0285-4a7a-9619-1e76b2f5e92d
CISA AA22-138B VMWare Workspace (Alt)::0,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1070""]","[""T1070""]",T1560,T1560.001,CISA AA22-138B VMWare Workspace (Alt),24692f77-c123-4107-923e-937e7cc9349e,7fa1a34d-5d0c-4655-8e23-ef9d23771bba
CISA AA22-138B VMWare Workspace (Alt)::1,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1059""]","[""T1059""]",T1070,T1070,CISA AA22-138B VMWare Workspace (Alt),3c019d2c-c56f-47e4-8977-e86a4a359069,24692f77-c123-4107-923e-937e7cc9349e
CISA AA22-138B VMWare Workspace (Alt)::2,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1105""]","[""T1105""]",T1083,T1083,CISA AA22-138B VMWare Workspace (Alt),3c3fea04-7678-4ae6-a8dd-0b0c28eafe97,747d2282-1bf8-4848-89f0-0ee82ca3b6a5
CISA AA22-138B VMWare Workspace (Alt)::3,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1068""]","[""T1068""]",T1059,T1059,CISA AA22-138B VMWare Workspace (Alt),401fbfb9-930a-43b9-a43e-6cbc7f9e3802,3c019d2c-c56f-47e4-8977-e86a4a359069
CISA AA22-138B VMWare Workspace (Alt)::4,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1105""]","[""T1105""]",T1070,T1070,CISA AA22-138B VMWare Workspace (Alt),6dbde84b-f026-46b8-bde6-f963be602a4c,298530ff-51b1-43f6-8c1f-59f432625094
CISA AA22-138B VMWare Workspace (Alt)::5,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1083""]","[""T1083""]",T1105,T1105,CISA AA22-138B VMWare Workspace (Alt),747d2282-1bf8-4848-89f0-0ee82ca3b6a5,6dbde84b-f026-46b8-bde6-f963be602a4c
CISA AA22-138B VMWare Workspace (Alt)::6,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1560""]","[""T1560.001""]",T1105,T1105,CISA AA22-138B VMWare Workspace (Alt),7fa1a34d-5d0c-4655-8e23-ef9d23771bba,3c3fea04-7678-4ae6-a8dd-0b0c28eafe97
CISA AA22-138B VMWare Workspace (Alt)::7,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,"[""T1203""]","[""T1203""]",T1068,T1068,CISA AA22-138B VMWare Workspace (Alt),84454574-3ed2-43eb-979f-66c3d343a71a,401fbfb9-930a-43b9-a43e-6cbc7f9e3802
CISA AA22-138B VMWare Workspace (TA1)::0,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1105""]","[""T1105""]",T1068,T1068,CISA AA22-138B VMWare Workspace (TA1),427f3a5b-4890-4305-951b-b76da8b9651b,847def26-4d0a-4562-865d-d9c23e3820cf
CISA AA22-138B VMWare Workspace (TA1)::1,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1119""]","[""T1119""]",T1560,T1560.001,CISA AA22-138B VMWare Workspace (TA1),4c353a44-3987-401a-b578-d4a1e9280bbd,af956aab-7dd4-440d-8af4-adb9ae32a63b
CISA AA22-138B VMWare Workspace (TA1)::2,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1071""]","[""T1071.001""]",T1041,T1041,CISA AA22-138B VMWare Workspace (TA1),4edb3b2d-7bc8-4fe2-85d7-66c04ceba3c7,49b28f56-71c6-4a42-9a01-9e95c2974454
CISA AA22-138B VMWare Workspace (TA1)::3,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1203""]","[""T1203""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA1),780d1e10-6642-41d2-b1a7-de801a6b972a,427f3a5b-4890-4305-951b-b76da8b9651b
CISA AA22-138B VMWare Workspace (TA1)::4,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1203""]","[""T1203""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA1),780d1e10-6642-41d2-b1a7-de801a6b972a,7d09b87c-e2c6-4760-9050-92f36a24e9ff
CISA AA22-138B VMWare Workspace (TA1)::5,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1105""]","[""T1105""]",T1068,T1068,CISA AA22-138B VMWare Workspace (TA1),7d09b87c-e2c6-4760-9050-92f36a24e9ff,847def26-4d0a-4562-865d-d9c23e3820cf
CISA AA22-138B VMWare Workspace (TA1)::6,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1068""]","[""T1068""]",T1119,T1119,CISA AA22-138B VMWare Workspace (TA1),847def26-4d0a-4562-865d-d9c23e3820cf,4c353a44-3987-401a-b578-d4a1e9280bbd
CISA AA22-138B VMWare Workspace (TA1)::7,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1071""]","[""T1071.001""]",T1203,T1203,CISA AA22-138B VMWare Workspace (TA1),87cf2efa-5784-4ccd-a75e-ec4d964d58a5,780d1e10-6642-41d2-b1a7-de801a6b972a
CISA AA22-138B VMWare Workspace (TA1)::8,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1070""]","[""T1070""]",T1071,T1071.001,CISA AA22-138B VMWare Workspace (TA1),a9ddb932-cc96-49fc-acd8-f5675b7368ea,4edb3b2d-7bc8-4fe2-85d7-66c04ceba3c7
CISA AA22-138B VMWare Workspace (TA1)::9,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,"[""T1560""]","[""T1560.001""]",T1070,T1070,CISA AA22-138B VMWare Workspace (TA1),af956aab-7dd4-440d-8af4-adb9ae32a63b,a9ddb932-cc96-49fc-acd8-f5675b7368ea
CISA AA22-138B VMWare Workspace (TA2)::0,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1105""]","[""T1105""]",T1090,T1090,CISA AA22-138B VMWare Workspace (TA2),049af2f2-8d04-4d37-9c3a-9c4232119a5e,abb24ca4-0847-4eb8-9a2f-3330415f3006
CISA AA22-138B VMWare Workspace (TA2)::1,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1071""]","[""T1071.001""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA2),1249135e-bfdd-48fa-b128-b86236337d73,4b5c1c23-d2c7-464d-813d-439a36f837aa
CISA AA22-138B VMWare Workspace (TA2)::2,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1105""]","[""T1105""]",T1573,T1573.001,CISA AA22-138B VMWare Workspace (TA2),3a2d7968-b69a-47cc-9fdd-30a7d27bf19d,96854c51-e17a-4747-b08b-51dbe773dc00
CISA AA22-138B VMWare Workspace (TA2)::3,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1105""]","[""T1105""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA2),4b5c1c23-d2c7-464d-813d-439a36f837aa,d32524ea-375d-4c91-8100-c77e2c9f904c
CISA AA22-138B VMWare Workspace (TA2)::4,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1573""]","[""T1573.001""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA2),96854c51-e17a-4747-b08b-51dbe773dc00,049af2f2-8d04-4d37-9c3a-9c4232119a5e
CISA AA22-138B VMWare Workspace (TA2)::5,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1003""]","[""T1003.008""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA2),a0767d23-cc44-43bd-bd57-807e5e571721,3a2d7968-b69a-47cc-9fdd-30a7d27bf19d
CISA AA22-138B VMWare Workspace (TA2)::6,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1059""]","[""T1059.004""]",T1003,T1003.008,CISA AA22-138B VMWare Workspace (TA2),a2b22b62-4ab7-483b-8d26-9d8306abc03c,a0767d23-cc44-43bd-bd57-807e5e571721
CISA AA22-138B VMWare Workspace (TA2)::7,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1090""]","[""T1090""]",T1222,T1222.002,CISA AA22-138B VMWare Workspace (TA2),abb24ca4-0847-4eb8-9a2f-3330415f3006,af19a045-d1cd-4854-87b7-047e55033d5c
CISA AA22-138B VMWare Workspace (TA2)::8,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1222""]","[""T1222.002""]",T1105,T1105,CISA AA22-138B VMWare Workspace (TA2),af19a045-d1cd-4854-87b7-047e55033d5c,22bae6a7-0937-447d-9a5b-8f0327a1c5bf
CISA AA22-138B VMWare Workspace (TA2)::9,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,"[""T1105""]","[""T1105""]",T1059,T1059.004,CISA AA22-138B VMWare Workspace (TA2),d32524ea-375d-4c91-8100-c77e2c9f904c,a2b22b62-4ab7-483b-8d26-9d8306abc03c
CISA Iranian APT::0,attack_flow,CISA Iranian APT,1,"[""T1105""]","[""T1105""]",T1136,T1136.002,CISA Iranian APT,0606c44c-4fcf-4d24-837c-e78341f77183,d8ba9c2f-c6a6-4950-8cb3-d2d84c97859f
CISA Iranian APT::1,attack_flow,CISA Iranian APT,1,"[""T1059""]","[""T1059.001""]",T1562,T1562.001,CISA Iranian APT,0d573bcd-ee5d-4231-ab43-188ef7e809e9,56ca6034-001b-4c5d-99b4-4f9bd3db56ba
CISA Iranian APT::2,attack_flow,CISA Iranian APT,1,"[""T1562""]","[""T1562.001""]",T1570,T1570,CISA Iranian APT,1d283005-09ce-49d3-8610-625a75635755,ee829570-2ca7-4948-a3de-a667f81fa2f5
CISA Iranian APT::3,attack_flow,CISA Iranian APT,1,"[""T1059""]","[""T1059.001""]",T1018,T1018,CISA Iranian APT,2f9114f6-e715-448a-b0b7-3ccce0f95f7a,45e8b0a1-83a5-41dc-8186-7d6d4c8a7c0a
CISA Iranian APT::4,attack_flow,CISA Iranian APT,1,"[""T1105""]","[""T1105""]",T1070,T1070.004,CISA Iranian APT,3fbadab6-0484-4754-85af-fe99f575677e,9c30cd6b-b97c-4336-8f91-777437b3824c
CISA Iranian APT::5,attack_flow,CISA Iranian APT,1,"[""T1018""]","[""T1018""]",T1098,T1098,CISA Iranian APT,45e8b0a1-83a5-41dc-8186-7d6d4c8a7c0a,792aaa39-bd97-4206-b088-2c29e5119da6
CISA Iranian APT::6,attack_flow,CISA Iranian APT,1,"[""T1090""]","[""T1090""]",T1021,T1021.001,CISA Iranian APT,4beb5555-7460-4636-a2e4-096a01b54186,7e2175b8-63f8-4934-82cf-394390accd82
CISA Iranian APT::7,attack_flow,CISA Iranian APT,1,"[""T1021""]","[""T1021.001""]",T1562,T1562.001,CISA Iranian APT,52069465-600c-487a-8185-e809ed74588b,1d283005-09ce-49d3-8610-625a75635755
CISA Iranian APT::8,attack_flow,CISA Iranian APT,1,"[""T1562""]","[""T1562.001""]",T1105,T1105,CISA Iranian APT,56ca6034-001b-4c5d-99b4-4f9bd3db56ba,cfae690b-64c4-405f-84f1-5e8b65da3f83
CISA Iranian APT::9,attack_flow,CISA Iranian APT,1,"[""T1078""]","[""T1078.001""]",T1105,T1105,CISA Iranian APT,57e36a89-fa92-470c-9d78-a90d8bd938a7,0606c44c-4fcf-4d24-837c-e78341f77183
CISA Iranian APT::10,attack_flow,CISA Iranian APT,1,"[""T1016""]","[""T1016.001""]",T1053,T1053.005,CISA Iranian APT,69978025-0b45-44ae-8a3e-1730d7d93d07,de68b787-80bb-424d-8d70-32b0cec8c94f
CISA Iranian APT::11,attack_flow,CISA Iranian APT,1,"[""T1098""]","[""T1098""]",T1003,T1003.001,CISA Iranian APT,792aaa39-bd97-4206-b088-2c29e5119da6,99406b0d-2c64-4f78-a80b-f50898876197
CISA Iranian APT::12,attack_flow,CISA Iranian APT,1,"[""T1021""]","[""T1021.001""]",T1059,T1059.001,CISA Iranian APT,7e2175b8-63f8-4934-82cf-394390accd82,2f9114f6-e715-448a-b0b7-3ccce0f95f7a
CISA Iranian APT::13,attack_flow,CISA Iranian APT,1,"[""T1136""]","[""T1136.001""]",T1016,T1016.001,CISA Iranian APT,857eaaa1-d168-417a-8446-fe6e80095490,69978025-0b45-44ae-8a3e-1730d7d93d07
CISA Iranian APT::14,attack_flow,CISA Iranian APT,1,"[""T1070""]","[""T1070.004""]",T1136,T1136.001,CISA Iranian APT,9c30cd6b-b97c-4336-8f91-777437b3824c,857eaaa1-d168-417a-8446-fe6e80095490
CISA Iranian APT::15,attack_flow,CISA Iranian APT,1,"[""T1190""]","[""T1190""]",T1059,T1059.001,CISA Iranian APT,b6143619-dac3-4f9c-ae0a-605961bef9c7,0d573bcd-ee5d-4231-ab43-188ef7e809e9
CISA Iranian APT::16,attack_flow,CISA Iranian APT,1,"[""T1105""]","[""T1105""]",T1105,T1105,CISA Iranian APT,cfae690b-64c4-405f-84f1-5e8b65da3f83,3fbadab6-0484-4754-85af-fe99f575677e
CISA Iranian APT::17,attack_flow,CISA Iranian APT,1,"[""T1136""]","[""T1136.002""]",T1021,T1021.001,CISA Iranian APT,d8ba9c2f-c6a6-4950-8cb3-d2d84c97859f,52069465-600c-487a-8185-e809ed74588b
CISA Iranian APT::18,attack_flow,CISA Iranian APT,1,"[""T1053""]","[""T1053.005""]",T1021,T1021.001,CISA Iranian APT,de68b787-80bb-424d-8d70-32b0cec8c94f,f8daeaa9-22f9-4601-96f9-ef3426c4630b
CISA Iranian APT::19,attack_flow,CISA Iranian APT,1,"[""T1570""]","[""T1570""]",T1090,T1090,CISA Iranian APT,ee829570-2ca7-4948-a3de-a667f81fa2f5,4beb5555-7460-4636-a2e4-096a01b54186
CISA Iranian APT::20,attack_flow,CISA Iranian APT,1,"[""T1021""]","[""T1021.001""]",T1078,T1078.001,CISA Iranian APT,f8daeaa9-22f9-4601-96f9-ef3426c4630b,57e36a89-fa92-470c-9d78-a90d8bd938a7
Cobalt Kitty Campaign::0,attack_flow,Cobalt Kitty Campaign,1,"[""T1071""]","[""T1071.003""]",T1018,T1018,Cobalt Kitty Campaign,2129fd6d-9887-4a29-b550-3a598b50f641,436a56c4-7998-45f2-8f4e-3e4709e3e80c
Cobalt Kitty Campaign::1,attack_flow,Cobalt Kitty Campaign,1,"[""T1071""]","[""T1071.003""]",T1046,T1046,Cobalt Kitty Campaign,2129fd6d-9887-4a29-b550-3a598b50f641,47a28c6a-51bc-4144-afd3-8117e2ce6828
Cobalt Kitty Campaign::2,attack_flow,Cobalt Kitty Campaign,1,"[""T1071""]","[""T1071.003""]",T1082,T1082,Cobalt Kitty Campaign,2129fd6d-9887-4a29-b550-3a598b50f641,e70b0b83-e9b0-4188-a1c1-c049cec1c48e
Cobalt Kitty Campaign::3,attack_flow,Cobalt Kitty Campaign,1,"[""T1053""]","[""T1053.005""]",T1140,T1140,Cobalt Kitty Campaign,217d8b41-0faf-415e-be60-1489e39d3ee5,398ab58e-b755-4251-9dc5-293817d349ea
Cobalt Kitty Campaign::4,attack_flow,Cobalt Kitty Campaign,1,"[""T1547""]","[""T1547.001""]",T1574,T1574.002,Cobalt Kitty Campaign,3488c178-ef07-4ba9-9007-6ca8aaff51c9,53f217bc-c353-4ada-b782-7391aaee5685
Cobalt Kitty Campaign::5,attack_flow,Cobalt Kitty Campaign,1,"[""T1140""]","[""T1140""]",T1059,T1059.005,Cobalt Kitty Campaign,398ab58e-b755-4251-9dc5-293817d349ea,788fab85-7ed0-42d7-aed2-cec8ac099f32
Cobalt Kitty Campaign::6,attack_flow,Cobalt Kitty Campaign,1,"[""T1140""]","[""T1140""]",T1059,T1059.001,Cobalt Kitty Campaign,398ab58e-b755-4251-9dc5-293817d349ea,96bb23ee-9fa2-4442-b49c-4b2dcc49d043
