sample_id,source_audit_only,campaign_id_audit_only,prefix_len,observed_events,target_steps_excluded,source_literal_redactions,campaign_literal_redactions,request_payload_sha256,network_status
attack_flow::Black Basta Ransomware::0016,attack_flow,Black Basta Ransomware,16,16,3,0,0,5755d41f4538705a2f379cdcc7fcba59537b9c778b8fba88757f3569406db396,NOT_SENT
attack_flow::Black Basta Ransomware::0017,attack_flow,Black Basta Ransomware,17,17,3,0,0,db6f690e6dd914c1f14021be6cd8e3b8fd52239aff158c81589ca667177888ff,NOT_SENT
attack_flow::Black Basta Ransomware::0018,attack_flow,Black Basta Ransomware,18,18,3,0,0,0c381c0f0c39983ebdb4a8df833bba98fd215ebf3ef178157d68a7b424ae38c2,NOT_SENT
attack_flow::Black Basta Ransomware::0019,attack_flow,Black Basta Ransomware,19,19,3,0,0,690ff9583bf204cb8959cbe9bed2b0c6689e45d5f077ddc7b9a0888fa2e94868,NOT_SENT
attack_flow::Black Basta Ransomware::0020,attack_flow,Black Basta Ransomware,20,20,3,0,0,39c65cea506db0cf94dc7642d322d45c9d16812be435d98d405cfd792936b645,NOT_SENT
attack_flow::Black Basta Ransomware::0021,attack_flow,Black Basta Ransomware,21,21,3,0,0,64e19db83241bfd8be9597fe9afc18a2ec406383fe1925fe44f1fd9c21d88cae,NOT_SENT
attack_flow::Black Basta Ransomware::0022,attack_flow,Black Basta Ransomware,22,22,3,0,0,6f0ca2dd4b83d3cac0e955a8d1fb5a663392085029be2cd52d3589bd05779e51,NOT_SENT
attack_flow::Black Basta Ransomware::0023,attack_flow,Black Basta Ransomware,23,23,2,0,0,90b0c5d0afc590a075f5df0a723c0548d16386466a800d8807f0e9bbdd06856d,NOT_SENT
attack_flow::Black Basta Ransomware::0024,attack_flow,Black Basta Ransomware,24,24,1,0,0,dfb570e794dcb0d279f59d2eb3831a090d074b60c7d3d04f72532281b1edf652,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0001,attack_flow,CISA AA22-138B VMWare Workspace (Alt),1,1,3,0,0,88299e2ef8753119c4b598c44b05f4d8a224b18b905cc2208b7599c99de336e2,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0002,attack_flow,CISA AA22-138B VMWare Workspace (Alt),2,2,3,0,0,ef26eb6922ae56e48827acb1b64d4a1dff92ade8b037c504ad6a905c662462cb,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0003,attack_flow,CISA AA22-138B VMWare Workspace (Alt),3,3,3,0,0,0daa3d9496e3e50f9c15b271d58d304a8b201884b2404778d24ed626c665cf82,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0004,attack_flow,CISA AA22-138B VMWare Workspace (Alt),4,4,3,0,0,0a5fd37595f60e1185232cfcc6d393b1eccf7e7972d862dc45ddd8777122eb87,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0005,attack_flow,CISA AA22-138B VMWare Workspace (Alt),5,5,3,0,0,51f2e0beec0d8c54e105593051c953a6b31764c4fb8622378ec44a603aa0016d,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0006,attack_flow,CISA AA22-138B VMWare Workspace (Alt),6,6,3,0,0,132773dc8eac0b599f4b391bccffcf2de56b9ab8d58d91cea8d381c00633695f,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0007,attack_flow,CISA AA22-138B VMWare Workspace (Alt),7,7,2,0,0,4539d89c5b2edfed64b20de9e127dc8db5627ec9f0e840b351f403b501e5ba5b,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0008,attack_flow,CISA AA22-138B VMWare Workspace (Alt),8,8,1,0,0,d3ccd2a872364abb1a600819a4b86c541bd11da50d252a454a922c5d16f1b6f4,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0001,attack_flow,CISA AA22-138B VMWare Workspace (TA1),1,1,3,0,0,fa20d206b820054fcc9d94b44d7c6d17cedd5cc6bded290544e8613127673a2d,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0002,attack_flow,CISA AA22-138B VMWare Workspace (TA1),2,2,3,0,0,c17722618dd74d4dff41e3694fa2e8b970f795c7b860297c17cb7942ca9cebd3,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0003,attack_flow,CISA AA22-138B VMWare Workspace (TA1),3,3,3,0,0,7df59704b319698c001495ea167e163eae4648383bf93c327a86ca805029d4b3,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0004,attack_flow,CISA AA22-138B VMWare Workspace (TA1),4,4,3,0,0,765e184e57404ba32d3262991ee2e7cc59ece919f6af841c6c71d9b4204325d3,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0005,attack_flow,CISA AA22-138B VMWare Workspace (TA1),5,5,3,0,0,c97ce842bfd84a4a56b528a59bd1fef78308db686898718456d962f36d4eb05b,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0006,attack_flow,CISA AA22-138B VMWare Workspace (TA1),6,6,3,0,0,d3b2234bb1b79c9c8dc8c613237d57b3d03b2af992b1895ee0726de1a2b77535,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0007,attack_flow,CISA AA22-138B VMWare Workspace (TA1),7,7,2,0,0,bfccd5d3636318c0265436edf01a700bcd579fc111c7c81f2f883da5634695c5,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0008,attack_flow,CISA AA22-138B VMWare Workspace (TA1),8,8,1,0,0,5d52399a87adce1ca8966c384ad1e0441efab93c40a59729908216ec267d0242,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0001,attack_flow,CISA AA22-138B VMWare Workspace (TA2),1,1,3,0,0,8bdd7349618d69b0ff02ecf1b34fc552ba12ae0ef24a149bc134eeb357f6b442,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0002,attack_flow,CISA AA22-138B VMWare Workspace (TA2),2,2,3,0,0,c47a1a006c5a1561aea50889dfbc9f867ebd4a93e366e4d4752b956cd3ddf3db,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0003,attack_flow,CISA AA22-138B VMWare Workspace (TA2),3,3,3,0,0,409ae158c6d28f4b79d27397f8102e0026b48829682e47791376110a0a795768,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0004,attack_flow,CISA AA22-138B VMWare Workspace (TA2),4,4,3,0,0,3753714e9753e4bf8f5079c5ee2c91cf46fd16fda99ba05fa4a6a45960d62215,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0005,attack_flow,CISA AA22-138B VMWare Workspace (TA2),5,5,3,0,0,743f1f3ce0cd43a1d1d53a96a5cd4b338ac9f30c3d00f3b47cf80a4930388901,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0006,attack_flow,CISA AA22-138B VMWare Workspace (TA2),6,6,3,0,0,52bdf98c14014b3d7a14da0160947fa4ac62a5b31aa3f6762dea42ea79efc95d,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0007,attack_flow,CISA AA22-138B VMWare Workspace (TA2),7,7,3,0,0,626272ae8ec856a650b7c9c9137ef8c8ef0da8dc2791bc130a7f0c9af9013fe3,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0008,attack_flow,CISA AA22-138B VMWare Workspace (TA2),8,8,3,0,0,e5b67bf0f51f706fa385beda54c833dbd6a67290f6e436f95561a07b830085da,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0009,attack_flow,CISA AA22-138B VMWare Workspace (TA2),9,9,2,0,0,0ef558125c7e0f5cbcfa516d48e9e69bd6469f0a631c1b417aca12c0736f7b50,NOT_SENT
attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0010,attack_flow,CISA AA22-138B VMWare Workspace (TA2),10,10,1,0,0,9c289fb1fcf520e8c4715ce06312e73bf02101393fdbf7d1b237c0fce0ba97b8,NOT_SENT
attack_flow::CISA Iranian APT::0001,attack_flow,CISA Iranian APT,1,1,3,0,0,4f1cf9c7842ad7ea2058b8b93665e6cc335408067b0a0d21fbab302655c7168e,NOT_SENT
attack_flow::CISA Iranian APT::0002,attack_flow,CISA Iranian APT,2,2,3,0,0,a0d035f6604de1e9212219680a44ff066cc4361bf66b08b5e24211277ad463cd,NOT_SENT
attack_flow::CISA Iranian APT::0003,attack_flow,CISA Iranian APT,3,3,3,0,0,6c3c3062767ef3ac245725f0b797e8343ffe33340384562455e47ed9b0235209,NOT_SENT
attack_flow::CISA Iranian APT::0004,attack_flow,CISA Iranian APT,4,4,3,0,0,83291c7f7a5bcd34b10e752b6c417941a5e79d0c439b592e3f1a615595120636,NOT_SENT
attack_flow::CISA Iranian APT::0005,attack_flow,CISA Iranian APT,5,5,3,0,0,ecda80125b32fac78791327e9b4fea890f3449ab91e978842903194f0259f0cf,NOT_SENT
attack_flow::CISA Iranian APT::0006,attack_flow,CISA Iranian APT,6,6,3,0,0,e6040e5881ce63288a0235f0a559f68e2e3f7c068d66455450d9ccb42129e14d,NOT_SENT
attack_flow::CISA Iranian APT::0007,attack_flow,CISA Iranian APT,7,7,3,0,0,2cad09210ab0e8db409070338f57e5d4528b2684e97623f3c89340e727e7ee33,NOT_SENT
attack_flow::CISA Iranian APT::0008,attack_flow,CISA Iranian APT,8,8,3,0,0,85c43efd53c5f1a02a2f12370087008d1511d94f2a901353c5379a38249e7240,NOT_SENT
attack_flow::CISA Iranian APT::0009,attack_flow,CISA Iranian APT,9,9,3,0,0,b24c0cfbab828317d7c708df47951ac8228d468bf7e0772da758fed71fc6daae,NOT_SENT
attack_flow::CISA Iranian APT::0010,attack_flow,CISA Iranian APT,10,10,3,0,0,700a41a9e827665d1e0c4c27d18ce3d95d64bec50d55c464b2f2cee34071c666,NOT_SENT
attack_flow::CISA Iranian APT::0011,attack_flow,CISA Iranian APT,11,11,3,0,0,3b0d2b640679be2e8cee50925282b1644ab703f9aee3c32527c25ae6c33f1834,NOT_SENT
attack_flow::CISA Iranian APT::0012,attack_flow,CISA Iranian APT,12,12,3,0,0,98910dcb7c92f18589d52a2bb52b968afdf85fc3175b187d822ac2966b1b8ae8,NOT_SENT
attack_flow::CISA Iranian APT::0013,attack_flow,CISA Iranian APT,13,13,3,0,0,ce492d99982af68453dbc1bbcd8eb39471cc331448ad47849b4d954f0e8987e8,NOT_SENT
attack_flow::CISA Iranian APT::0014,attack_flow,CISA Iranian APT,14,14,3,0,0,b63eb9122fd7dc1383fe6fb24d7ee7504a374aba6a61831f8acb8bb6007f5383,NOT_SENT
attack_flow::CISA Iranian APT::0015,attack_flow,CISA Iranian APT,15,15,3,0,0,f5a9cdbeed4283f21eb51951a5442c568203e5f8e30c9a217ce982bbc5c5f883,NOT_SENT
attack_flow::CISA Iranian APT::0016,attack_flow,CISA Iranian APT,16,16,3,0,0,bcaa4ce905dd517e2bb06fd6a8d03f66223ba865e95aae470e62b923c616f71d,NOT_SENT
attack_flow::CISA Iranian APT::0017,attack_flow,CISA Iranian APT,17,17,3,0,0,a3f2008812a7baf3b7dfbbf712c80ffef99783505cc0a39725e7dda0710fef73,NOT_SENT
attack_flow::CISA Iranian APT::0018,attack_flow,CISA Iranian APT,18,18,3,0,0,6deb123fc00eeceab12ffeac9ad519c34c0a917c5826838ed8351b41bfdd67d0,NOT_SENT
attack_flow::CISA Iranian APT::0019,attack_flow,CISA Iranian APT,19,19,3,0,0,c3a90ad35898ae69e2c7da222244e608c2fd6dca254dc90dd69e2ea84692fdf6,NOT_SENT
attack_flow::CISA Iranian APT::0020,attack_flow,CISA Iranian APT,20,20,2,0,0,20ccff3538b03235a39523ed85cd35c8fc976628f58ca16b7a787b27a20c1db9,NOT_SENT
attack_flow::CISA Iranian APT::0021,attack_flow,CISA Iranian APT,21,21,1,0,0,1553e53d0fcbd1056f91f173c5753d487b8ff30a59dca512f70f8b8af519558c,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0001,attack_flow,Cobalt Kitty Campaign,1,1,3,0,0,be8f590248eed117e394f0e003497f68be240e54fc12d2922406531fd6bdf65e,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0002,attack_flow,Cobalt Kitty Campaign,2,2,3,0,0,8a654bfe3c47ee453ab2de2539e23a8fb612e4ca3fdb30ee791ed846ff4c93b6,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0003,attack_flow,Cobalt Kitty Campaign,3,3,3,0,0,b8381226efc39714b7bd9f5c59704d8980aedfab4d26711c4b7e0572042fa1b5,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0004,attack_flow,Cobalt Kitty Campaign,4,4,3,0,0,c74f6823c1998acac829ca24106894796613e179a2bd595561673f52cb4529eb,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0005,attack_flow,Cobalt Kitty Campaign,5,5,3,0,0,dcca5af032a05e1b49783fdc5cbf380496492eefd0ad959dee70e2500b2d49b5,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0006,attack_flow,Cobalt Kitty Campaign,6,6,3,0,0,2375f327eac6612a48539cddafd8e2eb06b09fcd0b8e62a523fd775159f4c43d,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0007,attack_flow,Cobalt Kitty Campaign,7,7,3,0,0,69cc357f87115049a8ba575a85aa7fbac00892a6f379cb7e10b1470ec1f77a5f,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0008,attack_flow,Cobalt Kitty Campaign,8,8,3,0,0,8302ad38243b6f69a141081561b54ec9b7d3e6d3dc9a5e5e3ad8ac4375d3463d,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0009,attack_flow,Cobalt Kitty Campaign,9,9,3,0,0,8ea1d70caf1225df9d06e9fd0ec8a6c1f865fa2407d8aaa8ddd46b1589ab7f12,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0010,attack_flow,Cobalt Kitty Campaign,10,10,2,0,0,f4eeaab1cf96b12bf51caa34191a942d84a9962281a7f2745604723aec91b523,NOT_SENT
attack_flow::Cobalt Kitty Campaign::0011,attack_flow,Cobalt Kitty Campaign,11,11,1,0,0,d9a9efcee5e3f705165f18c6d005ec532a61d0f419f1f4418c778a023b6d57b5,NOT_SENT
attack_flow::Conti CISA Alert::0001,attack_flow,Conti CISA Alert,1,1,3,0,0,30cd7fc73241a97cd0421ff129fcd2eb8b9301768160d0b43961cf7f596c42ed,NOT_SENT
attack_flow::Conti CISA Alert::0002,attack_flow,Conti CISA Alert,2,2,3,0,0,c19449b15991cdd0b7151d7fd6c5bf1850ec0e2ae3edb5d834631b0dd19ebf27,NOT_SENT
attack_flow::Conti CISA Alert::0003,attack_flow,Conti CISA Alert,3,3,3,0,0,f58b4cccd07c83c43967c3d04912cb406c4f6e4365b79f5cbff2a9b020d09a8a,NOT_SENT
attack_flow::Conti CISA Alert::0004,attack_flow,Conti CISA Alert,4,4,2,0,0,c051ad811f76a5bb118b1a68624467f7ae0793bb02b8f7893e748e4d95797a08,NOT_SENT
attack_flow::Conti CISA Alert::0005,attack_flow,Conti CISA Alert,5,5,1,0,0,6b0afd9f8837b24940ddbf7877f577bcae5c5b3bd749b52c799896f848da3e1d,NOT_SENT
attack_flow::Conti PWC::0001,attack_flow,Conti PWC,1,1,3,0,0,30cd7fc73241a97cd0421ff129fcd2eb8b9301768160d0b43961cf7f596c42ed,NOT_SENT
attack_flow::Conti PWC::0002,attack_flow,Conti PWC,2,2,2,0,0,c19449b15991cdd0b7151d7fd6c5bf1850ec0e2ae3edb5d834631b0dd19ebf27,NOT_SENT
attack_flow::Conti PWC::0003,attack_flow,Conti PWC,3,3,1,0,0,958e86a90caef7b173beef9a284c785244549b3597525d6d29f01d9e54000e95,NOT_SENT
attack_flow::Conti Ransomware::0001,attack_flow,Conti Ransomware,1,1,3,0,0,1621d5b9ebcc4d11c7c80d1281d8a5ecdd963cecfeafa88680393c534ca403d6,NOT_SENT
attack_flow::Conti Ransomware::0002,attack_flow,Conti Ransomware,2,2,3,0,0,a0feec10dfd096299cd0fa9d49876da3aba70f03f0bb506941b389133ed6c919,NOT_SENT
attack_flow::Conti Ransomware::0003,attack_flow,Conti Ransomware,3,3,3,0,0,6b0054448c8614ae559c069976471304e4dd3bd285e0f5e711dfcc3c20bb6ce5,NOT_SENT
attack_flow::Conti Ransomware::0004,attack_flow,Conti Ransomware,4,4,3,0,0,0eaaa1dade85945e1e1a5ea99d1a9d6ddac35489a651b211889d9b47254e4cf8,NOT_SENT
attack_flow::Conti Ransomware::0005,attack_flow,Conti Ransomware,5,5,3,0,0,f8c6e5a971cac14ae49973c96382f298f4ef80e06f2cd100ca37bb5cd269b6b8,NOT_SENT
attack_flow::Conti Ransomware::0006,attack_flow,Conti Ransomware,6,6,3,0,0,4a1fa3e602b97ee107a66f162cfb1572eaa199e3cb38ceabfd4e3d0ecb5f7218,NOT_SENT
attack_flow::Conti Ransomware::0007,attack_flow,Conti Ransomware,7,7,3,0,0,c08e23a4d82468709a4f547d088324c0efc097618c90aec8ac9d117ac4e4add6,NOT_SENT
attack_flow::Conti Ransomware::0008,attack_flow,Conti Ransomware,8,8,3,0,0,c26f6f4e124498c3b59e9d0f6f6bb571fe1752c508f37f52420dc7d21066eb7d,NOT_SENT
attack_flow::Conti Ransomware::0009,attack_flow,Conti Ransomware,9,9,3,0,0,aff26408116560fb1ecdd4c32aa73be9c87730a2adee8bd4cddef0e14b3368e5,NOT_SENT
attack_flow::Conti Ransomware::0010,attack_flow,Conti Ransomware,10,10,3,0,0,db73829ac9d7d5e4b8fca1e8042e229ffee7d095f4ec30ecfe2970b6db581f1d,NOT_SENT
attack_flow::Conti Ransomware::0011,attack_flow,Conti Ransomware,11,11,3,0,0,88ce31131e12f3a145f2881dfbcc207d9e1ec79eddd61a9973df74073f2460e9,NOT_SENT
attack_flow::Conti Ransomware::0012,attack_flow,Conti Ransomware,12,12,3,0,0,66ddf0d7ad72b1ca120a5ceedd2419afa99b4085c17dd8b21b14ebcd39394942,NOT_SENT
attack_flow::Conti Ransomware::0014,attack_flow,Conti Ransomware,14,14,2,0,0,1dc1039340e0ca67b4bd5692ccfedf62f90e5a2eb5347f8c3ae59dadd7d6b7bc,NOT_SENT
attack_flow::Conti Ransomware::0015,attack_flow,Conti Ransomware,15,15,1,0,0,d35b374655293b80c75116506ee0b8ebf28dbd26281f164a94479f8a631adaab,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0001,attack_flow,DFIR - BumbleBee Round 2,1,1,3,0,0,2162ddc378df37f3c9e3293230e2dbcef41156df469e1efc099bff21e6b2e677,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0002,attack_flow,DFIR - BumbleBee Round 2,2,2,3,0,0,095d40d4fa67f51c5ef951c97d2377972670c26f62434550d0b186a6bc1115d2,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0003,attack_flow,DFIR - BumbleBee Round 2,3,3,3,0,0,59a0d26238627c3cf94160a9b8996cce93cae5ae93421367379a525a5dcf5e7f,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0004,attack_flow,DFIR - BumbleBee Round 2,4,4,3,0,0,541acd1d4e0666dbccbe24031794d5b885bd7566ac69747d24cc7e7e0bcd2144,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0005,attack_flow,DFIR - BumbleBee Round 2,5,5,3,0,0,300f651e1cdabd7d86e15ece7c4ed2836a2eab1503baa41e948191199d709d98,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0006,attack_flow,DFIR - BumbleBee Round 2,6,6,3,0,0,174711fd42ac82238fe4132d0cf79e712640c59ee2796eb5e5d47e430390425e,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0007,attack_flow,DFIR - BumbleBee Round 2,7,7,3,0,0,e968392650fb7e40171e75995a6c11afa196da9856627acf420c932e9b3e95c3,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0008,attack_flow,DFIR - BumbleBee Round 2,8,8,3,0,0,77b0796af84c8b02141d48c8a27388952eda1d31d9bb270e317ea1a81f9f76f6,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0009,attack_flow,DFIR - BumbleBee Round 2,9,9,3,0,0,a1af5a0375365ad926e7bc8e8e4e9b6c400aab17063417ec79c940ef5c160f86,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0010,attack_flow,DFIR - BumbleBee Round 2,10,10,3,0,0,5e8e2f38fad76105230814752e36d3cabdb3450145536c1172550929279d9f9d,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0011,attack_flow,DFIR - BumbleBee Round 2,11,11,2,0,0,b885c20974244441dec0282afd645f0534199273b0a6d1acce0e2d3c886a7ae2,NOT_SENT
attack_flow::DFIR - BumbleBee Round 2::0012,attack_flow,DFIR - BumbleBee Round 2,12,12,1,0,0,ff387a8d18dacdca41407ca29126640f27b0073b49c64ccac5ddd5266136793f,NOT_SENT
attack_flow::Equifax Breach::0001,attack_flow,Equifax Breach,1,1,3,0,0,3edf6de80bf2d381882048a8d8e837f3af1ed2f1aba99e1a8f556bdf031cd2f6,NOT_SENT
attack_flow::Equifax Breach::0002,attack_flow,Equifax Breach,2,2,3,0,0,9d7e0aef9dca6371d4c94fe2a561d35bcb0c094f9038caf63191b37b3ec6c276,NOT_SENT
attack_flow::Equifax Breach::0003,attack_flow,Equifax Breach,3,3,3,0,0,136c698f841c5a212733c4edc450217b96684ef89f33f4437ace689163b45d6e,NOT_SENT
attack_flow::Equifax Breach::0004,attack_flow,Equifax Breach,4,4,3,0,0,24c5335f1375ef94eeded481f1497baafd351839d8da2349ba7106b179d6bd45,NOT_SENT
attack_flow::Equifax Breach::0005,attack_flow,Equifax Breach,5,5,3,0,0,94c798763ddc83549c1065ac005e67c981f13ee5004f9fc7006416e15ae90d65,NOT_SENT
attack_flow::Equifax Breach::0006,attack_flow,Equifax Breach,6,6,3,0,0,42b0e91cbbfa5bcecefa06039221200e3bd9369c14a0b8fc481d0ca83a346291,NOT_SENT
attack_flow::Equifax Breach::0007,attack_flow,Equifax Breach,7,7,2,0,0,ec7ef1f33edd85dac9c43c72f4e414c019f04f2ab9af685d5509ff062bb88e9b,NOT_SENT
attack_flow::Equifax Breach::0008,attack_flow,Equifax Breach,8,8,1,0,0,188f101dc9639dbb2ad220bfb7836a2f6fbfe644a4ede283506d09d0c652ba9e,NOT_SENT
attack_flow::FIN13 Case 1::0001,attack_flow,FIN13 Case 1,1,1,3,0,0,b0b53939c5be516d5ce9875c0ba872a380ff1a085fa8c4e4a78a356234e3052a,NOT_SENT
attack_flow::FIN13 Case 1::0002,attack_flow,FIN13 Case 1,2,2,3,0,0,19c22b0270599c09c75598cc9cfbbaf9abf9bb2f1f6d3390c682d68f1cc940e0,NOT_SENT
attack_flow::FIN13 Case 1::0003,attack_flow,FIN13 Case 1,3,3,3,0,0,13c59b464d8eca552c69b4dae62a7cf1366875094f921c07bfb7c2d25a50a316,NOT_SENT
attack_flow::FIN13 Case 1::0004,attack_flow,FIN13 Case 1,4,4,3,0,0,256313c33b6ad4dfe7ff48796ee73a71fb0e99694d8489393575d9d21e42f9be,NOT_SENT
attack_flow::FIN13 Case 1::0005,attack_flow,FIN13 Case 1,5,5,3,0,0,91a614b69eeb1f827d48e61f1eebb3a5e51ed13225d8dfca3904508a1e2f2abd,NOT_SENT
attack_flow::FIN13 Case 1::0006,attack_flow,FIN13 Case 1,6,6,3,0,0,0d7388c884460f4b2a93118c715c8a292c60edb44cb20f9bc80a83884890a3d6,NOT_SENT
attack_flow::FIN13 Case 1::0007,attack_flow,FIN13 Case 1,7,7,3,0,0,2edb4ae98344dfd60fff996d8d4b23112a7884849263405ccf251ccd09b81870,NOT_SENT
attack_flow::FIN13 Case 1::0008,attack_flow,FIN13 Case 1,8,8,3,0,0,c617c57886097b79834c3a003bb445f5bece49224fef4a26c357c6be51cd45b4,NOT_SENT
attack_flow::FIN13 Case 1::0009,attack_flow,FIN13 Case 1,9,9,3,0,0,63e19a9acc4ba4f16b7b4cc7cde5c1aaf925d6ff7653370710e497e5a3eebec4,NOT_SENT
attack_flow::FIN13 Case 1::0010,attack_flow,FIN13 Case 1,10,10,3,0,0,6cf76a251c620f04f85d1ab2f2ebc5fea21191f13f0fce081f3e13be14a08b19,NOT_SENT
attack_flow::FIN13 Case 1::0011,attack_flow,FIN13 Case 1,11,11,3,0,0,e627b8db09c17247506c19a99f68f117e1884c9624af9335975fd68e38c818a4,NOT_SENT
