technique_id,technique_name,tactic,tactic_title
T1666,Modify Cloud Resource Hierarchy,defense-evasion,Defense Evasion
T1564.008,Email Hiding Rules,defense-evasion,Defense Evasion
T1491.002,External Defacement,impact,Impact
T1027.013,Encrypted/Encoded File,defense-evasion,Defense Evasion
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access,Credential Access
T1590.005,IP Addresses,reconnaissance,Reconnaissance
T1499.001,OS Exhaustion Flood,impact,Impact
T1014,Rootkit,defense-evasion,Defense Evasion
T1546.013,PowerShell Profile,privilege-escalation,Privilege Escalation
T1546.013,PowerShell Profile,persistence,Persistence
T1059.007,JavaScript,execution,Execution
T1590.002,DNS,reconnaissance,Reconnaissance
T1501,Systemd Service,persistence,Persistence
T1485.001,Lifecycle-Triggered Deletion,impact,Impact
T1514,Elevated Execution with Prompt,privilege-escalation,Privilege Escalation
T1123,Audio Capture,collection,Collection
T1543,Create or Modify System Process,persistence,Persistence
T1543,Create or Modify System Process,privilege-escalation,Privilege Escalation
T1133,External Remote Services,persistence,Persistence
T1133,External Remote Services,initial-access,Initial Access
T1109,Component Firmware,defense-evasion,Defense Evasion
T1109,Component Firmware,persistence,Persistence
T1546.006,LC_LOAD_DYLIB Addition,privilege-escalation,Privilege Escalation
T1539,Steal Web Session Cookie,credential-access,Credential Access
T1053.007,Container Orchestration Job,execution,Execution
T1053.007,Container Orchestration Job,persistence,Persistence
T1053.007,Container Orchestration Job,privilege-escalation,Privilege Escalation
T1568.002,Domain Generation Algorithms,command-and-control,Command And Control
T1036.007,Double File Extension,defense-evasion,Defense Evasion
T1548.002,Bypass User Account Control,privilege-escalation,Privilege Escalation
T1548.002,Bypass User Account Control,defense-evasion,Defense Evasion
T1099,Timestomp,defense-evasion,Defense Evasion
T1496.003,SMS Pumping,impact,Impact
T1016.001,Internet Connection Discovery,discovery,Discovery
T1548.003,Sudo and Sudo Caching,privilege-escalation,Privilege Escalation
T1548.003,Sudo and Sudo Caching,defense-evasion,Defense Evasion
T1560.003,Archive via Custom Method,collection,Collection
T1578,Modify Cloud Compute Infrastructure,defense-evasion,Defense Evasion
T1584.008,Network Devices,resource-development,Resource Development
T1583.008,Malvertising,resource-development,Resource Development
T1069,Permission Groups Discovery,discovery,Discovery
T1114,Email Collection,collection,Collection
T1003.002,Security Account Manager,credential-access,Credential Access
T1596.002,WHOIS,reconnaissance,Reconnaissance
T1542.001,System Firmware,persistence,Persistence
T1542.001,System Firmware,defense-evasion,Defense Evasion
T1594,Search Victim-Owned Websites,reconnaissance,Reconnaissance
T1069.003,Cloud Groups,discovery,Discovery
T1574.011,Services Registry Permissions Weakness,persistence,Persistence
T1574.011,Services Registry Permissions Weakness,privilege-escalation,Privilege Escalation
T1574.011,Services Registry Permissions Weakness,defense-evasion,Defense Evasion
T1596.001,DNS/Passive DNS,reconnaissance,Reconnaissance
T1499.003,Application Exhaustion Flood,impact,Impact
T1163,Rc.common,persistence,Persistence
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,Initial Access
T1588.004,Digital Certificates,resource-development,Resource Development
T1583.002,DNS Server,resource-development,Resource Development
T1561,Disk Wipe,impact,Impact
T1071.004,DNS,command-and-control,Command And Control
T1552.005,Cloud Instance Metadata API,credential-access,Credential Access
T1555.002,Securityd Memory,credential-access,Credential Access
T1615,Group Policy Discovery,discovery,Discovery
T1542.003,Bootkit,defense-evasion,Defense Evasion
T1025,Data from Removable Media,collection,Collection
T1116,Code Signing,defense-evasion,Defense Evasion
T1218.013,Mavinject,defense-evasion,Defense Evasion
T1093,Process Hollowing,defense-evasion,Defense Evasion
T1074.001,Local Data Staging,collection,Collection
T1036.005,Match Legitimate Resource Name or Location,defense-evasion,Defense Evasion
T1172,Domain Fronting,command-and-control,Command And Control
T1110.002,Password Cracking,credential-access,Credential Access
T1178,SID-History Injection,privilege-escalation,Privilege Escalation
T1114.001,Local Email Collection,collection,Collection
T1555.001,Keychain,credential-access,Credential Access
T1547,Boot or Logon Autostart Execution,persistence,Persistence
T1547,Boot or Logon Autostart Execution,privilege-escalation,Privilege Escalation
T1003.004,LSA Secrets,credential-access,Credential Access
T1013,Port Monitors,persistence,Persistence
T1013,Port Monitors,privilege-escalation,Privilege Escalation
T1600,Weaken Encryption,defense-evasion,Defense Evasion
T1606.002,SAML Tokens,credential-access,Credential Access
T1192,Spearphishing Link,initial-access,Initial Access
T1036.008,Masquerade File Type,defense-evasion,Defense Evasion
T1489,Service Stop,impact,Impact
T1587.001,Malware,resource-development,Resource Development
T1121,Regsvcs/Regasm,defense-evasion,Defense Evasion
T1121,Regsvcs/Regasm,execution,Execution
T1652,Device Driver Discovery,discovery,Discovery
T1206,Sudo Caching,privilege-escalation,Privilege Escalation
T1087.002,Domain Account,discovery,Discovery
T1547.014,Active Setup,persistence,Persistence
T1547.014,Active Setup,privilege-escalation,Privilege Escalation
T1564,Hide Artifacts,defense-evasion,Defense Evasion
T1559.002,Dynamic Data Exchange,execution,Execution
T1204.002,Malicious File,execution,Execution
T1591.003,Identify Business Tempo,reconnaissance,Reconnaissance
T1063,Security Software Discovery,discovery,Discovery
T1071.005,Publish/Subscribe Protocols,command-and-control,Command And Control
T1592.001,Hardware,reconnaissance,Reconnaissance
T1080,Taint Shared Content,lateral-movement,Lateral Movement
T1484.002,Trust Modification,defense-evasion,Defense Evasion
T1484.002,Trust Modification,privilege-escalation,Privilege Escalation
T1213.006,Databases,collection,Collection
T1573.001,Symmetric Cryptography,command-and-control,Command And Control
T1087.001,Local Account,discovery,Discovery
T1586.001,Social Media Accounts,resource-development,Resource Development
T1176.001,Browser Extensions,persistence,Persistence
T1527,Application Access Token,defense-evasion,Defense Evasion
T1527,Application Access Token,lateral-movement,Lateral Movement
T1562.009,Safe Mode Boot,defense-evasion,Defense Evasion
T1180,Screensaver,persistence,Persistence
T1542.005,TFTP Boot,defense-evasion,Defense Evasion
T1542.005,TFTP Boot,persistence,Persistence
T1543.003,Windows Service,persistence,Persistence
T1543.003,Windows Service,privilege-escalation,Privilege Escalation
T1568.001,Fast Flux DNS,command-and-control,Command And Control
T1497.001,System Checks,defense-evasion,Defense Evasion
T1497.001,System Checks,discovery,Discovery
T1053.003,Cron,execution,Execution
T1053.003,Cron,persistence,Persistence
T1053.003,Cron,privilege-escalation,Privilege Escalation
T1069.002,Domain Groups,discovery,Discovery
T1588.006,Vulnerabilities,resource-development,Resource Development
T1165,Startup Items,persistence,Persistence
T1165,Startup Items,privilege-escalation,Privilege Escalation
T1070.002,Clear Linux or Mac System Logs,defense-evasion,Defense Evasion
T1499.004,Application or System Exploitation,impact,Impact
T1137,Office Application Startup,persistence,Persistence
T1218.004,InstallUtil,defense-evasion,Defense Evasion
T1598.003,Spearphishing Link,reconnaissance,Reconnaissance
T1021.004,SSH,lateral-movement,Lateral Movement
T1098.003,Additional Cloud Roles,persistence,Persistence
T1098.003,Additional Cloud Roles,privilege-escalation,Privilege Escalation
T1547.012,Print Processors,persistence,Persistence
T1547.012,Print Processors,privilege-escalation,Privilege Escalation
T1089,Disabling Security Tools,defense-evasion,Defense Evasion
T1566.001,Spearphishing Attachment,initial-access,Initial Access
T1214,Credentials in Registry,credential-access,Credential Access
T1027.008,Stripped Payloads,defense-evasion,Defense Evasion
T1559.001,Component Object Model,execution,Execution
T1574.001,DLL,persistence,Persistence
T1574.001,DLL,privilege-escalation,Privilege Escalation
T1574.001,DLL,defense-evasion,Defense Evasion
T1119,Automated Collection,collection,Collection
T1115,Clipboard Data,collection,Collection
T1003.007,Proc Filesystem,credential-access,Credential Access
T1583.005,Botnet,resource-development,Resource Development
T1555.005,Password Managers,credential-access,Credential Access
T1103,AppInit DLLs,persistence,Persistence
T1103,AppInit DLLs,privilege-escalation,Privilege Escalation
T1553.001,Gatekeeper Bypass,defense-evasion,Defense Evasion
T1675,ESXi Administration Command,execution,Execution
T1608.004,Drive-by Target,resource-development,Resource Development
T1007,System Service Discovery,discovery,Discovery
T1040,Network Sniffing,credential-access,Credential Access
T1040,Network Sniffing,discovery,Discovery
T1017,Application Deployment Software,lateral-movement,Lateral Movement
T1530,Data from Cloud Storage,collection,Collection
T1565.003,Runtime Data Manipulation,impact,Impact
T1135,Network Share Discovery,discovery,Discovery
T1120,Peripheral Device Discovery,discovery,Discovery
T1036.009,Break Process Trees,defense-evasion,Defense Evasion
T1590.004,Network Topology,reconnaissance,Reconnaissance
T1587.002,Code Signing Certificates,resource-development,Resource Development
T1222.001,Windows File and Directory Permissions Modification,defense-evasion,Defense Evasion
T1137.006,Add-ins,persistence,Persistence
T1505.002,Transport Agent,persistence,Persistence
T1082,System Information Discovery,discovery,Discovery
T1071,Application Layer Protocol,command-and-control,Command And Control
T1574.014,AppDomainManager,persistence,Persistence
T1574.014,AppDomainManager,privilege-escalation,Privilege Escalation
T1574.014,AppDomainManager,defense-evasion,Defense Evasion
T1074.002,Remote Data Staging,collection,Collection
T1098.006,Additional Container Cluster Roles,persistence,Persistence
T1098.006,Additional Container Cluster Roles,privilege-escalation,Privilege Escalation
T1053,Scheduled Task/Job,execution,Execution
T1053,Scheduled Task/Job,persistence,Persistence
T1053,Scheduled Task/Job,privilege-escalation,Privilege Escalation
T1218.007,Msiexec,defense-evasion,Defense Evasion
T1162,Login Item,persistence,Persistence
T1590.003,Network Trust Dependencies,reconnaissance,Reconnaissance
T1498.002,Reflection Amplification,impact,Impact
T1556.002,Password Filter DLL,credential-access,Credential Access
T1556.002,Password Filter DLL,defense-evasion,Defense Evasion
T1556.002,Password Filter DLL,persistence,Persistence
T1505.005,Terminal Services DLL,persistence,Persistence
T1059.002,AppleScript,execution,Execution
T1176,Software Extensions,persistence,Persistence
T1499.002,Service Exhaustion Flood,impact,Impact
T1195.003,Compromise Hardware Supply Chain,initial-access,Initial Access
T1106,Native API,execution,Execution
T1558.005,Ccache Files,credential-access,Credential Access
T1070.007,Clear Network Connection History and Configurations,defense-evasion,Defense Evasion
T1558.004,AS-REP Roasting,credential-access,Credential Access
T1058,Service Registry Permissions Weakness,persistence,Persistence
T1058,Service Registry Permissions Weakness,privilege-escalation,Privilege Escalation
T1584.003,Virtual Private Server,resource-development,Resource Development
T1059.010,AutoHotKey & AutoIT,execution,Execution
T1600.001,Reduce Key Space,defense-evasion,Defense Evasion
T1070.003,Clear Command History,defense-evasion,Defense Evasion
T1202,Indirect Command Execution,defense-evasion,Defense Evasion
T1024,Custom Cryptographic Protocol,command-and-control,Command And Control
T1091,Replication Through Removable Media,lateral-movement,Lateral Movement
T1091,Replication Through Removable Media,initial-access,Initial Access
T1005,Data from Local System,collection,Collection
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Defense Evasion
T1137.005,Outlook Rules,persistence,Persistence
T1562,Impair Defenses,defense-evasion,Defense Evasion
T1586.003,Cloud Accounts,resource-development,Resource Development
T1586.002,Email Accounts,resource-development,Resource Development
T1098.007,Additional Local or Domain Groups,persistence,Persistence
T1098.007,Additional Local or Domain Groups,privilege-escalation,Privilege Escalation
T1608.001,Upload Malware,resource-development,Resource Development
T1195,Supply Chain Compromise,initial-access,Initial Access
T1190,Exploit Public-Facing Application,initial-access,Initial Access
T1558,Steal or Forge Kerberos Tickets,credential-access,Credential Access
T1555,Credentials from Password Stores,credential-access,Credential Access
T1567,Exfiltration Over Web Service,exfiltration,Exfiltration
T1219,Remote Access Tools,command-and-control,Command And Control
T1583.001,Domains,resource-development,Resource Development
T1560.002,Archive via Library,collection,Collection
T1055.003,Thread Execution Hijacking,defense-evasion,Defense Evasion
T1055.003,Thread Execution Hijacking,privilege-escalation,Privilege Escalation
T1079,Multilayer Encryption,command-and-control,Command And Control
T1036,Masquerading,defense-evasion,Defense Evasion
T1546.011,Application Shimming,privilege-escalation,Privilege Escalation
T1546.011,Application Shimming,persistence,Persistence
T1552,Unsecured Credentials,credential-access,Credential Access
T1070.008,Clear Mailbox Data,defense-evasion,Defense Evasion
T1037.002,Login Hook,persistence,Persistence
T1037.002,Login Hook,privilege-escalation,Privilege Escalation
T1659,Content Injection,initial-access,Initial Access
T1659,Content Injection,command-and-control,Command And Control
T1055,Process Injection,defense-evasion,Defense Evasion
T1055,Process Injection,privilege-escalation,Privilege Escalation
T1567.004,Exfiltration Over Webhook,exfiltration,Exfiltration
T1139,Bash History,credential-access,Credential Access
T1205,Traffic Signaling,defense-evasion,Defense Evasion
T1205,Traffic Signaling,persistence,Persistence
T1205,Traffic Signaling,command-and-control,Command And Control
T1021.008,Direct Cloud VM Connections,lateral-movement,Lateral Movement
T1503,Credentials from Web Browsers,credential-access,Credential Access
T1218,System Binary Proxy Execution,defense-evasion,Defense Evasion
T1153,Source,execution,Execution
T1038,DLL Search Order Hijacking,persistence,Persistence
T1038,DLL Search Order Hijacking,privilege-escalation,Privilege Escalation
T1038,DLL Search Order Hijacking,defense-evasion,Defense Evasion
T1050,New Service,persistence,Persistence
T1050,New Service,privilege-escalation,Privilege Escalation
T1557.004,Evil Twin,credential-access,Credential Access
T1557.004,Evil Twin,collection,Collection
T1620,Reflective Code Loading,defense-evasion,Defense Evasion
T1016.002,Wi-Fi Discovery,discovery,Discovery
T1480.002,Mutual Exclusion,defense-evasion,Defense Evasion
T1564.011,Ignore Process Interrupts,defense-evasion,Defense Evasion
T1611,Escape to Host,privilege-escalation,Privilege Escalation
T1518.002,Backup Software Discovery,discovery,Discovery
T1547.009,Shortcut Modification,persistence,Persistence
T1547.009,Shortcut Modification,privilege-escalation,Privilege Escalation
T1010,Application Window Discovery,discovery,Discovery
T1569.003,Systemctl,execution,Execution
T1032,Standard Cryptographic Protocol,command-and-control,Command And Control
T1087.003,Email Account,discovery,Discovery
T1062,Hypervisor,persistence,Persistence
T1497.003,Time Based Checks,defense-evasion,Defense Evasion
T1497.003,Time Based Checks,discovery,Discovery
T1182,AppCert DLLs,persistence,Persistence
T1182,AppCert DLLs,privilege-escalation,Privilege Escalation
T1218.003,CMSTP,defense-evasion,Defense Evasion
T1563.001,SSH Hijacking,lateral-movement,Lateral Movement
T1562.002,Disable Windows Event Logging,defense-evasion,Defense Evasion
T1029,Scheduled Transfer,exfiltration,Exfiltration
T1021.002,SMB/Windows Admin Shares,lateral-movement,Lateral Movement
T1525,Implant Internal Image,persistence,Persistence
T1572,Protocol Tunneling,command-and-control,Command And Control
T1218.002,Control Panel,defense-evasion,Defense Evasion
T1599.001,Network Address Translation Traversal,defense-evasion,Defense Evasion
T1608.002,Upload Tool,resource-development,Resource Development
T1547.005,Security Support Provider,persistence,Persistence
T1547.005,Security Support Provider,privilege-escalation,Privilege Escalation
T1036.011,Overwrite Process Arguments,defense-evasion,Defense Evasion
T1004,Winlogon Helper DLL,persistence,Persistence
T1009,Binary Padding,defense-evasion,Defense Evasion
T1550,Use Alternate Authentication Material,defense-evasion,Defense Evasion
T1550,Use Alternate Authentication Material,lateral-movement,Lateral Movement
T1076,Remote Desktop Protocol,lateral-movement,Lateral Movement
T1597.001,Threat Intel Vendors,reconnaissance,Reconnaissance
T1011,Exfiltration Over Other Network Medium,exfiltration,Exfiltration
T1602.002,Network Device Configuration Dump,collection,Collection
T1589,Gather Victim Identity Information,reconnaissance,Reconnaissance
T1131,Authentication Package,persistence,Persistence
T1562.004,Disable or Modify System Firewall,defense-evasion,Defense Evasion
T1560,Archive Collected Data,collection,Collection
T1152,Launchctl,defense-evasion,Defense Evasion
T1152,Launchctl,execution,Execution
T1152,Launchctl,persistence,Persistence
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Defense Evasion
T1185,Browser Session Hijacking,collection,Collection
T1021,Remote Services,lateral-movement,Lateral Movement
T1071.003,Mail Protocols,command-and-control,Command And Control
T1556.007,Hybrid Identity,credential-access,Credential Access
T1556.007,Hybrid Identity,defense-evasion,Defense Evasion
T1556.007,Hybrid Identity,persistence,Persistence
T1595.002,Vulnerability Scanning,reconnaissance,Reconnaissance
T1059.009,Cloud API,execution,Execution
T1596,Search Open Technical Databases,reconnaissance,Reconnaissance
T1218.015,Electron Applications,defense-evasion,Defense Evasion
T1562.012,Disable or Modify Linux Audit System,defense-evasion,Defense Evasion
T1207,Rogue Domain Controller,defense-evasion,Defense Evasion
T1553.006,Code Signing Policy Modification,defense-evasion,Defense Evasion
T1610,Deploy Container,defense-evasion,Defense Evasion
T1610,Deploy Container,execution,Execution
T1107,File Deletion,defense-evasion,Defense Evasion
T1145,Private Keys,credential-access,Credential Access
T1112,Modify Registry,defense-evasion,Defense Evasion
T1112,Modify Registry,persistence,Persistence
T1543.004,Launch Daemon,persistence,Persistence
T1543.004,Launch Daemon,privilege-escalation,Privilege Escalation
T1580,Cloud Infrastructure Discovery,discovery,Discovery
T1574.008,Path Interception by Search Order Hijacking,persistence,Persistence
T1574.008,Path Interception by Search Order Hijacking,privilege-escalation,Privilege Escalation
T1574.008,Path Interception by Search Order Hijacking,defense-evasion,Defense Evasion
T1491,Defacement,impact,Impact
T1535,Unused/Unsupported Cloud Regions,defense-evasion,Defense Evasion
T1557.003,DHCP Spoofing,credential-access,Credential Access
T1557.003,DHCP Spoofing,collection,Collection
T1563,Remote Service Session Hijacking,lateral-movement,Lateral Movement
T1564.013,Bind Mounts,defense-evasion,Defense Evasion
T1505.003,Web Shell,persistence,Persistence
T1484.001,Group Policy Modification,defense-evasion,Defense Evasion
T1484.001,Group Policy Modification,privilege-escalation,Privilege Escalation
T1217,Browser Information Discovery,discovery,Discovery
T1583.004,Server,resource-development,Resource Development
T1021.006,Windows Remote Management,lateral-movement,Lateral Movement
T1011.001,Exfiltration Over Bluetooth,exfiltration,Exfiltration
T1078.001,Default Accounts,defense-evasion,Defense Evasion
T1078.001,Default Accounts,persistence,Persistence
T1078.001,Default Accounts,privilege-escalation,Privilege Escalation
T1078.001,Default Accounts,initial-access,Initial Access
T1547.003,Time Providers,persistence,Persistence
T1547.003,Time Providers,privilege-escalation,Privilege Escalation
T1183,Image File Execution Options Injection,privilege-escalation,Privilege Escalation
T1183,Image File Execution Options Injection,persistence,Persistence
T1183,Image File Execution Options Injection,defense-evasion,Defense Evasion
T1085,Rundll32,execution,Execution
T1031,Modify Existing Service,persistence,Persistence
T1546.005,Trap,privilege-escalation,Privilege Escalation
T1546.005,Trap,persistence,Persistence
T1574.006,Dynamic Linker Hijacking,persistence,Persistence
T1574.006,Dynamic Linker Hijacking,privilege-escalation,Privilege Escalation
T1574.006,Dynamic Linker Hijacking,defense-evasion,Defense Evasion
T1136.001,Local Account,persistence,Persistence
T1681,Search Threat Vendor Data,reconnaissance,Reconnaissance
T1674,Input Injection,execution,Execution
T1092,Communication Through Removable Media,command-and-control,Command And Control
T1070.001,Clear Windows Event Logs,defense-evasion,Defense Evasion
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,credential-access,Credential Access
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,collection,Collection
T1222,File and Directory Permissions Modification,defense-evasion,Defense Evasion
T1003.001,LSASS Memory,credential-access,Credential Access
T1053.001,At (Linux),execution,Execution
T1053.001,At (Linux),persistence,Persistence
T1053.001,At (Linux),privilege-escalation,Privilege Escalation
T1176.002,IDE Extensions,persistence,Persistence
T1179,Hooking,persistence,Persistence
T1179,Hooking,privilege-escalation,Privilege Escalation
T1179,Hooking,credential-access,Credential Access
T1595,Active Scanning,reconnaissance,Reconnaissance
T1027.016,Junk Code Insertion,defense-evasion,Defense Evasion
T1548,Abuse Elevation Control Mechanism,privilege-escalation,Privilege Escalation
T1548,Abuse Elevation Control Mechanism,defense-evasion,Defense Evasion
T1134.002,Create Process with Token,defense-evasion,Defense Evasion
T1134.002,Create Process with Token,privilege-escalation,Privilege Escalation
T1548.001,Setuid and Setgid,privilege-escalation,Privilege Escalation
T1548.001,Setuid and Setgid,defense-evasion,Defense Evasion
T1547.004,Winlogon Helper DLL,privilege-escalation,Privilege Escalation
T1021.003,Distributed Component Object Model,lateral-movement,Lateral Movement
T1042,Change Default File Association,persistence,Persistence
T1117,Regsvr32,defense-evasion,Defense Evasion
T1117,Regsvr32,execution,Execution
T1110.003,Password Spraying,credential-access,Credential Access
T1090.002,External Proxy,command-and-control,Command And Control
T1056.003,Web Portal Capture,collection,Collection
T1056.003,Web Portal Capture,credential-access,Credential Access
T1589.002,Email Addresses,reconnaissance,Reconnaissance
T1164,Re-opened Applications,persistence,Persistence
T1054,Indicator Blocking,defense-evasion,Defense Evasion
T1598.004,Spearphishing Voice,reconnaissance,Reconnaissance
T1108,Redundant Access,defense-evasion,Defense Evasion
T1108,Redundant Access,persistence,Persistence
T1003.005,Cached Domain Credentials,credential-access,Credential Access
T1098.004,SSH Authorized Keys,persistence,Persistence
T1098.004,SSH Authorized Keys,privilege-escalation,Privilege Escalation
T1673,Virtual Machine Discovery,discovery,Discovery
T1215,Kernel Modules and Extensions,persistence,Persistence
T1590.006,Network Security Appliances,reconnaissance,Reconnaissance
T1218.008,Odbcconf,defense-evasion,Defense Evasion
T1593.002,Search Engines,reconnaissance,Reconnaissance
T1177,LSASS Driver,execution,Execution
T1177,LSASS Driver,persistence,Persistence
T1591.002,Business Relationships,reconnaissance,Reconnaissance
T1548.005,Temporary Elevated Cloud Access,privilege-escalation,Privilege Escalation
T1548.005,Temporary Elevated Cloud Access,defense-evasion,Defense Evasion
T1125,Video Capture,collection,Collection
T1045,Software Packing,defense-evasion,Defense Evasion
T1055.013,Process Doppelgänging,defense-evasion,Defense Evasion
T1055.013,Process Doppelgänging,privilege-escalation,Privilege Escalation
T1016,System Network Configuration Discovery,discovery,Discovery
T1578.003,Delete Cloud Instance,defense-evasion,Defense Evasion
T1593.003,Code Repositories,reconnaissance,Reconnaissance
T1574.005,Executable Installer File Permissions Weakness,persistence,Persistence
T1574.005,Executable Installer File Permissions Weakness,privilege-escalation,Privilege Escalation
T1574.005,Executable Installer File Permissions Weakness,defense-evasion,Defense Evasion
T1546.008,Accessibility Features,privilege-escalation,Privilege Escalation
T1546.008,Accessibility Features,persistence,Persistence
T1496.002,Bandwidth Hijacking,impact,Impact
T1198,SIP and Trust Provider Hijacking,persistence,Persistence
T1087,Account Discovery,discovery,Discovery
T1090,Proxy,command-and-control,Command And Control
T1059,Command and Scripting Interpreter,execution,Execution
T1204.005,Malicious Library,execution,Execution
T1136.002,Domain Account,persistence,Persistence
T1564.014,Extended Attributes,defense-evasion,Defense Evasion
T1589.003,Employee Names,reconnaissance,Reconnaissance
T1677,Poisoned Pipeline Execution,execution,Execution
T1482,Domain Trust Discovery,discovery,Discovery
T1558.001,Golden Ticket,credential-access,Credential Access
T1175,Component Object Model and Distributed COM,lateral-movement,Lateral Movement
T1175,Component Object Model and Distributed COM,execution,Execution
T1020,Automated Exfiltration,exfiltration,Exfiltration
T1592.004,Client Configurations,reconnaissance,Reconnaissance
T1562.007,Disable or Modify Cloud Firewall,defense-evasion,Defense Evasion
T1219.001,IDE Tunneling,command-and-control,Command And Control
T1036.002,Right-to-Left Override,defense-evasion,Defense Evasion
T1027.017,SVG Smuggling,defense-evasion,Defense Evasion
T1070,Indicator Removal,defense-evasion,Defense Evasion
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Exfiltration
T1137.001,Office Template Macros,persistence,Persistence
T1213.001,Confluence,collection,Collection
T1550.003,Pass the Ticket,defense-evasion,Defense Evasion
T1550.003,Pass the Ticket,lateral-movement,Lateral Movement
T1609,Container Administration Command,execution,Execution
T1083,File and Directory Discovery,discovery,Discovery
T1568,Dynamic Resolution,command-and-control,Command And Control
T1036.004,Masquerade Task or Service,defense-evasion,Defense Evasion
T1055.004,Asynchronous Procedure Call,defense-evasion,Defense Evasion
T1055.004,Asynchronous Procedure Call,privilege-escalation,Privilege Escalation
T1020.001,Traffic Duplication,exfiltration,Exfiltration
T1647,Plist File Modification,defense-evasion,Defense Evasion
T1127.003,JamPlus,defense-evasion,Defense Evasion
T1191,CMSTP,execution,Execution
T1188,Multi-hop Proxy,command-and-control,Command And Control
T1114.003,Email Forwarding Rule,collection,Collection
T1074,Data Staged,collection,Collection
T1649,Steal or Forge Authentication Certificates,credential-access,Credential Access
T1098.005,Device Registration,persistence,Persistence
T1098.005,Device Registration,privilege-escalation,Privilege Escalation
T1049,System Network Connections Discovery,discovery,Discovery
T1584,Compromise Infrastructure,resource-development,Resource Development
T1553.005,Mark-of-the-Web Bypass,defense-evasion,Defense Evasion
T1600.002,Disable Crypto Hardware,defense-evasion,Defense Evasion
T1542,Pre-OS Boot,defense-evasion,Defense Evasion
T1542,Pre-OS Boot,persistence,Persistence
T1064,Scripting,defense-evasion,Defense Evasion
