technique_id_parent,technique_name_parent,tactic_ids,tactic_titles,n_rows_grouped,has_parent_row,member_technique_ids,member_technique_names,subtechnique_ids,subtechnique_names
T1027,Obfuscated Files or Information,defense-evasion,Defense Evasion,15,1,T1027.011 || T1027.009 || T1027.013 || T1027.008 || T1027.016 || T1027.017 || T1027.012 || T1027 || T1027.014 || T1027.003 || T1027.004 || T1027.006 || T1027.010 || T1027.007 || T1027.015,Fileless Storage || Embedded Payloads || Encrypted/Encoded File || Stripped Payloads || Junk Code Insertion || SVG Smuggling || LNK Icon Smuggling || Obfuscated Files or Information || Polymorphic Code || Steganography || Compile After Delivery || HTML Smuggling || Command Obfuscation || Dynamic API Resolution || Compression,T1027.011 || T1027.009 || T1027.013 || T1027.008 || T1027.016 || T1027.017 || T1027.012 || T1027.014 || T1027.003 || T1027.004 || T1027.006 || T1027.010 || T1027.007 || T1027.015,Fileless Storage || Embedded Payloads || Encrypted/Encoded File || Stripped Payloads || Junk Code Insertion || SVG Smuggling || LNK Icon Smuggling || Polymorphic Code || Steganography || Compile After Delivery || HTML Smuggling || Command Obfuscation || Dynamic API Resolution || Compression
T1028,Windows Remote Management,execution,Execution,1,1,T1028,Windows Remote Management,,
T1029,Scheduled Transfer,exfiltration,Exfiltration,1,1,T1029,Scheduled Transfer,,
T1030,Data Transfer Size Limits,exfiltration,Exfiltration,1,1,T1030,Data Transfer Size Limits,,
T1031,Modify Existing Service,persistence,Persistence,1,1,T1031,Modify Existing Service,,
T1032,Standard Cryptographic Protocol,command-and-control,Command And Control,1,1,T1032,Standard Cryptographic Protocol,,
T1033,System Owner/User Discovery,discovery,Discovery,1,1,T1033,System Owner/User Discovery,,
T1034,Path Interception,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1034,Path Interception,,
T1036,Masquerading,defense-evasion,Defense Evasion,12,1,T1036.007 || T1036.005 || T1036.008 || T1036.009 || T1036 || T1036.011 || T1036.002 || T1036.004 || T1036.012 || T1036.001 || T1036.003 || T1036.010,Double File Extension || Match Legitimate Resource Name or Location || Masquerade File Type || Break Process Trees || Masquerading || Overwrite Process Arguments || Right-to-Left Override || Masquerade Task or Service || Browser Fingerprint || Invalid Code Signature || Rename Legitimate Utilities || Masquerade Account Name,T1036.007 || T1036.005 || T1036.008 || T1036.009 || T1036.011 || T1036.002 || T1036.004 || T1036.012 || T1036.001 || T1036.003 || T1036.010,Double File Extension || Match Legitimate Resource Name or Location || Masquerade File Type || Break Process Trees || Overwrite Process Arguments || Right-to-Left Override || Masquerade Task or Service || Browser Fingerprint || Invalid Code Signature || Rename Legitimate Utilities || Masquerade Account Name
T1037,Boot or Logon Initialization Scripts,persistence || privilege-escalation,Persistence || Privilege Escalation,10,1,T1037 || T1037.002 || T1037.003 || T1037.004 || T1037.001,Boot or Logon Initialization Scripts || Login Hook || Network Logon Script || RC Scripts || Logon Script (Windows),T1037.002 || T1037.003 || T1037.004 || T1037.001,Login Hook || Network Logon Script || RC Scripts || Logon Script (Windows)
T1038,DLL Search Order Hijacking,persistence || privilege-escalation || defense-evasion,Persistence || Privilege Escalation || Defense Evasion,3,1,T1038,DLL Search Order Hijacking,,
T1039,Data from Network Shared Drive,collection,Collection,1,1,T1039,Data from Network Shared Drive,,
T1040,Network Sniffing,credential-access || discovery,Credential Access || Discovery,2,1,T1040,Network Sniffing,,
T1041,Exfiltration Over C2 Channel,exfiltration,Exfiltration,1,1,T1041,Exfiltration Over C2 Channel,,
T1042,Change Default File Association,persistence,Persistence,1,1,T1042,Change Default File Association,,
T1043,Commonly Used Port,command-and-control,Command And Control,1,1,T1043,Commonly Used Port,,
T1044,File System Permissions Weakness,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1044,File System Permissions Weakness,,
T1045,Software Packing,defense-evasion,Defense Evasion,1,1,T1045,Software Packing,,
T1046,Network Service Discovery,discovery,Discovery,1,1,T1046,Network Service Discovery,,
T1047,Windows Management Instrumentation,execution,Execution,1,1,T1047,Windows Management Instrumentation,,
T1048,Exfiltration Over Alternative Protocol,exfiltration,Exfiltration,4,1,T1048.001 || T1048.002 || T1048 || T1048.003,Exfiltration Over Symmetric Encrypted Non-C2 Protocol || Exfiltration Over Asymmetric Encrypted Non-C2 Protocol || Exfiltration Over Alternative Protocol || Exfiltration Over Unencrypted Non-C2 Protocol,T1048.001 || T1048.002 || T1048.003,Exfiltration Over Symmetric Encrypted Non-C2 Protocol || Exfiltration Over Asymmetric Encrypted Non-C2 Protocol || Exfiltration Over Unencrypted Non-C2 Protocol
T1049,System Network Connections Discovery,discovery,Discovery,1,1,T1049,System Network Connections Discovery,,
T1050,New Service,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1050,New Service,,
T1051,Shared Webroot,lateral-movement,Lateral Movement,1,1,T1051,Shared Webroot,,
T1052,Exfiltration Over Physical Medium,exfiltration,Exfiltration,2,1,T1052.001 || T1052,Exfiltration over USB || Exfiltration Over Physical Medium,T1052.001,Exfiltration over USB
T1053,Scheduled Task/Job,execution || persistence || privilege-escalation,Execution || Persistence || Privilege Escalation,24,1,T1053.005 || T1053.007 || T1053.003 || T1053 || T1053.001 || T1053.004 || T1053.006 || T1053.002,Scheduled Task || Container Orchestration Job || Cron || Scheduled Task/Job || At (Linux) || Launchd || Systemd Timers || At,T1053.005 || T1053.007 || T1053.003 || T1053.001 || T1053.004 || T1053.006 || T1053.002,Scheduled Task || Container Orchestration Job || Cron || At (Linux) || Launchd || Systemd Timers || At
T1054,Indicator Blocking,defense-evasion,Defense Evasion,1,1,T1054,Indicator Blocking,,
T1055,Process Injection,defense-evasion || privilege-escalation,Defense Evasion || Privilege Escalation,25,1,T1055.011 || T1055.003 || T1055 || T1055.013 || T1055.004 || T1055.002 || T1055.014 || T1055.012 || T1055.009 || T1055.005 || T1055.008 || T1055.015 || T1055.001,Extra Window Memory Injection || Thread Execution Hijacking || Process Injection || Process Doppelgänging || Asynchronous Procedure Call || Portable Executable Injection || VDSO Hijacking || Process Hollowing || Proc Memory || Thread Local Storage || Ptrace System Calls || ListPlanting || Dynamic-link Library Injection,T1055.011 || T1055.003 || T1055.013 || T1055.004 || T1055.002 || T1055.014 || T1055.012 || T1055.009 || T1055.005 || T1055.008 || T1055.015 || T1055.001,Extra Window Memory Injection || Thread Execution Hijacking || Process Doppelgänging || Asynchronous Procedure Call || Portable Executable Injection || VDSO Hijacking || Process Hollowing || Proc Memory || Thread Local Storage || Ptrace System Calls || ListPlanting || Dynamic-link Library Injection
T1056,Input Capture,collection || credential-access,Collection || Credential Access,10,1,T1056.001 || T1056.003 || T1056.002 || T1056 || T1056.004,Keylogging || Web Portal Capture || GUI Input Capture || Input Capture || Credential API Hooking,T1056.001 || T1056.003 || T1056.002 || T1056.004,Keylogging || Web Portal Capture || GUI Input Capture || Credential API Hooking
T1057,Process Discovery,discovery,Discovery,1,1,T1057,Process Discovery,,
T1058,Service Registry Permissions Weakness,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1058,Service Registry Permissions Weakness,,
T1059,Command and Scripting Interpreter,execution,Execution,14,1,T1059.007 || T1059.002 || T1059.010 || T1059.009 || T1059 || T1059.008 || T1059.001 || T1059.004 || T1059.011 || T1059.013 || T1059.006 || T1059.003 || T1059.012 || T1059.005,JavaScript || AppleScript || AutoHotKey & AutoIT || Cloud API || Command and Scripting Interpreter || Network Device CLI || PowerShell || Unix Shell || Lua || Container CLI/API || Python || Windows Command Shell || Hypervisor CLI || Visual Basic,T1059.007 || T1059.002 || T1059.010 || T1059.009 || T1059.008 || T1059.001 || T1059.004 || T1059.011 || T1059.013 || T1059.006 || T1059.003 || T1059.012 || T1059.005,JavaScript || AppleScript || AutoHotKey & AutoIT || Cloud API || Network Device CLI || PowerShell || Unix Shell || Lua || Container CLI/API || Python || Windows Command Shell || Hypervisor CLI || Visual Basic
T1060,Registry Run Keys / Startup Folder,persistence,Persistence,1,1,T1060,Registry Run Keys / Startup Folder,,
T1061,Graphical User Interface,execution,Execution,1,1,T1061,Graphical User Interface,,
T1062,Hypervisor,persistence,Persistence,1,1,T1062,Hypervisor,,
T1063,Security Software Discovery,discovery,Discovery,1,1,T1063,Security Software Discovery,,
T1064,Scripting,defense-evasion || execution,Defense Evasion || Execution,2,1,T1064,Scripting,,
T1065,Uncommonly Used Port,command-and-control,Command And Control,1,1,T1065,Uncommonly Used Port,,
T1066,Indicator Removal from Tools,defense-evasion,Defense Evasion,1,1,T1066,Indicator Removal from Tools,,
T1067,Bootkit,persistence,Persistence,1,1,T1067,Bootkit,,
T1068,Exploitation for Privilege Escalation,privilege-escalation,Privilege Escalation,1,1,T1068,Exploitation for Privilege Escalation,,
T1069,Permission Groups Discovery,discovery,Discovery,4,1,T1069 || T1069.003 || T1069.002 || T1069.001,Permission Groups Discovery || Cloud Groups || Domain Groups || Local Groups,T1069.003 || T1069.002 || T1069.001,Cloud Groups || Domain Groups || Local Groups
T1070,Indicator Removal,defense-evasion,Defense Evasion,9,1,T1070.002 || T1070.007 || T1070.003 || T1070.008 || T1070.001 || T1070 || T1070.005 || T1070.010 || T1070.009,Clear Linux or Mac System Logs || Clear Network Connection History and Configurations || Clear Command History || Clear Mailbox Data || Clear Windows Event Logs || Indicator Removal || Network Share Connection Removal || Relocate Malware || Clear Persistence,T1070.002 || T1070.007 || T1070.003 || T1070.008 || T1070.001 || T1070.005 || T1070.010 || T1070.009,Clear Linux or Mac System Logs || Clear Network Connection History and Configurations || Clear Command History || Clear Mailbox Data || Clear Windows Event Logs || Network Share Connection Removal || Relocate Malware || Clear Persistence
T1071,Application Layer Protocol,command-and-control,Command And Control,6,1,T1071.004 || T1071.005 || T1071 || T1071.003 || T1071.002 || T1071.001,DNS || Publish/Subscribe Protocols || Application Layer Protocol || Mail Protocols || File Transfer Protocols || Web Protocols,T1071.004 || T1071.005 || T1071.003 || T1071.002 || T1071.001,DNS || Publish/Subscribe Protocols || Mail Protocols || File Transfer Protocols || Web Protocols
T1072,Software Deployment Tools,execution || lateral-movement,Execution || Lateral Movement,2,1,T1072,Software Deployment Tools,,
T1073,DLL Side-Loading,defense-evasion,Defense Evasion,1,1,T1073,DLL Side-Loading,,
T1074,Data Staged,collection,Collection,3,1,T1074.001 || T1074.002 || T1074,Local Data Staging || Remote Data Staging || Data Staged,T1074.001 || T1074.002,Local Data Staging || Remote Data Staging
T1075,Pass the Hash,lateral-movement,Lateral Movement,1,1,T1075,Pass the Hash,,
T1076,Remote Desktop Protocol,lateral-movement,Lateral Movement,1,1,T1076,Remote Desktop Protocol,,
T1077,Windows Admin Shares,lateral-movement,Lateral Movement,1,1,T1077,Windows Admin Shares,,
T1078,Valid Accounts,defense-evasion || persistence || privilege-escalation || initial-access,Defense Evasion || Persistence || Privilege Escalation || Initial Access,20,1,T1078.001 || T1078 || T1078.002 || T1078.004 || T1078.003,Default Accounts || Valid Accounts || Domain Accounts || Cloud Accounts || Local Accounts,T1078.001 || T1078.002 || T1078.004 || T1078.003,Default Accounts || Domain Accounts || Cloud Accounts || Local Accounts
T1079,Multilayer Encryption,command-and-control,Command And Control,1,1,T1079,Multilayer Encryption,,
T1080,Taint Shared Content,lateral-movement,Lateral Movement,1,1,T1080,Taint Shared Content,,
T1081,Credentials in Files,credential-access,Credential Access,1,1,T1081,Credentials in Files,,
T1082,System Information Discovery,discovery,Discovery,1,1,T1082,System Information Discovery,,
T1083,File and Directory Discovery,discovery,Discovery,1,1,T1083,File and Directory Discovery,,
T1085,Rundll32,execution,Execution,1,1,T1085,Rundll32,,
T1087,Account Discovery,discovery,Discovery,5,1,T1087.002 || T1087.001 || T1087.003 || T1087 || T1087.004,Domain Account || Local Account || Email Account || Account Discovery || Cloud Account,T1087.002 || T1087.001 || T1087.003 || T1087.004,Domain Account || Local Account || Email Account || Cloud Account
T1089,Disabling Security Tools,defense-evasion,Defense Evasion,1,1,T1089,Disabling Security Tools,,
T1090,Proxy,command-and-control,Command And Control,3,1,T1090.002 || T1090 || T1090.001,External Proxy || Proxy || Internal Proxy,T1090.002 || T1090.001,External Proxy || Internal Proxy
T1091,Replication Through Removable Media,lateral-movement || initial-access,Lateral Movement || Initial Access,2,1,T1091,Replication Through Removable Media,,
T1092,Communication Through Removable Media,command-and-control,Command And Control,1,1,T1092,Communication Through Removable Media,,
T1093,Process Hollowing,defense-evasion,Defense Evasion,1,1,T1093,Process Hollowing,,
T1094,Custom Command and Control Protocol,command-and-control,Command And Control,1,1,T1094,Custom Command and Control Protocol,,
T1095,Non-Application Layer Protocol,command-and-control,Command And Control,1,1,T1095,Non-Application Layer Protocol,,
T1098,Account Manipulation,persistence || privilege-escalation,Persistence || Privilege Escalation,16,1,T1098.003 || T1098.006 || T1098.007 || T1098.004 || T1098.005 || T1098.001 || T1098 || T1098.002,Additional Cloud Roles || Additional Container Cluster Roles || Additional Local or Domain Groups || SSH Authorized Keys || Device Registration || Additional Cloud Credentials || Account Manipulation || Additional Email Delegate Permissions,T1098.003 || T1098.006 || T1098.007 || T1098.004 || T1098.005 || T1098.001 || T1098.002,Additional Cloud Roles || Additional Container Cluster Roles || Additional Local or Domain Groups || SSH Authorized Keys || Device Registration || Additional Cloud Credentials || Additional Email Delegate Permissions
T1099,Timestomp,defense-evasion,Defense Evasion,1,1,T1099,Timestomp,,
T1100,Web Shell,privilege-escalation,Privilege Escalation,1,1,T1100,Web Shell,,
T1102,Web Service,command-and-control,Command And Control,4,1,T1102 || T1102.003 || T1102.002 || T1102.001,Web Service || One-Way Communication || Bidirectional Communication || Dead Drop Resolver,T1102.003 || T1102.002 || T1102.001,One-Way Communication || Bidirectional Communication || Dead Drop Resolver
T1103,AppInit DLLs,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1103,AppInit DLLs,,
T1104,Multi-Stage Channels,command-and-control,Command And Control,1,1,T1104,Multi-Stage Channels,,
T1105,Ingress Tool Transfer,command-and-control,Command And Control,1,1,T1105,Ingress Tool Transfer,,
T1106,Native API,execution,Execution,1,1,T1106,Native API,,
T1107,File Deletion,defense-evasion,Defense Evasion,1,1,T1107,File Deletion,,
T1108,Redundant Access,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1108,Redundant Access,,
T1109,Component Firmware,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1109,Component Firmware,,
T1110,Brute Force,credential-access,Credential Access,5,1,T1110.001 || T1110.002 || T1110.003 || T1110 || T1110.004,Password Guessing || Password Cracking || Password Spraying || Brute Force || Credential Stuffing,T1110.001 || T1110.002 || T1110.003 || T1110.004,Password Guessing || Password Cracking || Password Spraying || Credential Stuffing
T1111,Multi-Factor Authentication Interception,credential-access,Credential Access,1,1,T1111,Multi-Factor Authentication Interception,,
T1112,Modify Registry,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1112,Modify Registry,,
T1113,Screen Capture,collection,Collection,1,1,T1113,Screen Capture,,
T1114,Email Collection,collection,Collection,4,1,T1114 || T1114.001 || T1114.003 || T1114.002,Email Collection || Local Email Collection || Email Forwarding Rule || Remote Email Collection,T1114.001 || T1114.003 || T1114.002,Local Email Collection || Email Forwarding Rule || Remote Email Collection
T1115,Clipboard Data,collection,Collection,1,1,T1115,Clipboard Data,,
T1116,Code Signing,defense-evasion,Defense Evasion,1,1,T1116,Code Signing,,
T1117,Regsvr32,defense-evasion || execution,Defense Evasion || Execution,2,1,T1117,Regsvr32,,
T1118,InstallUtil,execution,Execution,1,1,T1118,InstallUtil,,
T1119,Automated Collection,collection,Collection,1,1,T1119,Automated Collection,,
T1120,Peripheral Device Discovery,discovery,Discovery,1,1,T1120,Peripheral Device Discovery,,
T1121,Regsvcs/Regasm,defense-evasion || execution,Defense Evasion || Execution,2,1,T1121,Regsvcs/Regasm,,
T1122,Component Object Model Hijacking,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1122,Component Object Model Hijacking,,
T1123,Audio Capture,collection,Collection,1,1,T1123,Audio Capture,,
T1124,System Time Discovery,discovery,Discovery,1,1,T1124,System Time Discovery,,
T1125,Video Capture,collection,Collection,1,1,T1125,Video Capture,,
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,Defense Evasion,4,1,T1127.003 || T1127.001 || T1127.002 || T1127,JamPlus || MSBuild || ClickOnce || Trusted Developer Utilities Proxy Execution,T1127.003 || T1127.001 || T1127.002,JamPlus || MSBuild || ClickOnce
T1128,Netsh Helper DLL,persistence,Persistence,1,1,T1128,Netsh Helper DLL,,
T1129,Shared Modules,execution,Execution,1,1,T1129,Shared Modules,,
T1131,Authentication Package,persistence,Persistence,1,1,T1131,Authentication Package,,
T1132,Data Encoding,command-and-control,Command And Control,3,1,T1132.001 || T1132 || T1132.002,Standard Encoding || Data Encoding || Non-Standard Encoding,T1132.001 || T1132.002,Standard Encoding || Non-Standard Encoding
T1133,External Remote Services,persistence || initial-access,Persistence || Initial Access,2,1,T1133,External Remote Services,,
T1134,Access Token Manipulation,defense-evasion || privilege-escalation,Defense Evasion || Privilege Escalation,11,1,T1134.002 || T1134.001 || T1134.003 || T1134.004 || T1134.005 || T1134,Create Process with Token || Token Impersonation/Theft || Make and Impersonate Token || Parent PID Spoofing || SID-History Injection || Access Token Manipulation,T1134.002 || T1134.001 || T1134.003 || T1134.004 || T1134.005,Create Process with Token || Token Impersonation/Theft || Make and Impersonate Token || Parent PID Spoofing || SID-History Injection
T1135,Network Share Discovery,discovery,Discovery,1,1,T1135,Network Share Discovery,,
T1136,Create Account,persistence,Persistence,4,1,T1136.001 || T1136.002 || T1136.003 || T1136,Local Account || Domain Account || Cloud Account || Create Account,T1136.001 || T1136.002 || T1136.003,Local Account || Domain Account || Cloud Account
T1137,Office Application Startup,persistence,Persistence,7,1,T1137 || T1137.006 || T1137.005 || T1137.001 || T1137.003 || T1137.004 || T1137.002,Office Application Startup || Add-ins || Outlook Rules || Office Template Macros || Outlook Forms || Outlook Home Page || Office Test,T1137.006 || T1137.005 || T1137.001 || T1137.003 || T1137.004 || T1137.002,Add-ins || Outlook Rules || Office Template Macros || Outlook Forms || Outlook Home Page || Office Test
T1139,Bash History,credential-access,Credential Access,1,1,T1139,Bash History,,
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Defense Evasion,1,1,T1140,Deobfuscate/Decode Files or Information,,
T1141,Input Prompt,credential-access,Credential Access,1,1,T1141,Input Prompt,,
T1143,Hidden Window,defense-evasion,Defense Evasion,1,1,T1143,Hidden Window,,
T1145,Private Keys,credential-access,Credential Access,1,1,T1145,Private Keys,,
T1148,HISTCONTROL,defense-evasion,Defense Evasion,1,1,T1148,HISTCONTROL,,
T1149,LC_MAIN Hijacking,defense-evasion,Defense Evasion,1,1,T1149,LC_MAIN Hijacking,,
T1150,Plist Modification,defense-evasion || persistence || privilege-escalation,Defense Evasion || Persistence || Privilege Escalation,3,1,T1150,Plist Modification,,
T1151,Space after Filename,defense-evasion || execution,Defense Evasion || Execution,2,1,T1151,Space after Filename,,
T1152,Launchctl,defense-evasion || execution || persistence,Defense Evasion || Execution || Persistence,3,1,T1152,Launchctl,,
T1153,Source,execution,Execution,1,1,T1153,Source,,
T1154,Trap,execution,Execution,1,1,T1154,Trap,,
T1156,Malicious Shell Modification,persistence,Persistence,1,1,T1156,Malicious Shell Modification,,
T1157,Dylib Hijacking,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1157,Dylib Hijacking,,
T1158,Hidden Files and Directories,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1158,Hidden Files and Directories,,
T1161,LC_LOAD_DYLIB Addition,persistence,Persistence,1,1,T1161,LC_LOAD_DYLIB Addition,,
T1162,Login Item,persistence,Persistence,1,1,T1162,Login Item,,
T1163,Rc.common,persistence,Persistence,1,1,T1163,Rc.common,,
T1164,Re-opened Applications,persistence,Persistence,1,1,T1164,Re-opened Applications,,
T1165,Startup Items,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1165,Startup Items,,
T1166,Setuid and Setgid,persistence,Persistence,1,1,T1166,Setuid and Setgid,,
T1168,Local Job Scheduling,persistence || execution,Persistence || Execution,2,1,T1168,Local Job Scheduling,,
T1169,Sudo,privilege-escalation,Privilege Escalation,1,1,T1169,Sudo,,
T1170,Mshta,execution,Execution,1,1,T1170,Mshta,,
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access,Credential Access,1,1,T1171,LLMNR/NBT-NS Poisoning and Relay,,
T1172,Domain Fronting,command-and-control,Command And Control,1,1,T1172,Domain Fronting,,
T1175,Component Object Model and Distributed COM,lateral-movement || execution,Lateral Movement || Execution,2,1,T1175,Component Object Model and Distributed COM,,
T1176,Software Extensions,persistence,Persistence,3,1,T1176.001 || T1176 || T1176.002,Browser Extensions || Software Extensions || IDE Extensions,T1176.001 || T1176.002,Browser Extensions || IDE Extensions
T1177,LSASS Driver,execution || persistence,Execution || Persistence,2,1,T1177,LSASS Driver,,
T1178,SID-History Injection,privilege-escalation,Privilege Escalation,1,1,T1178,SID-History Injection,,
T1179,Hooking,persistence || privilege-escalation || credential-access,Persistence || Privilege Escalation || Credential Access,3,1,T1179,Hooking,,
T1180,Screensaver,persistence,Persistence,1,1,T1180,Screensaver,,
T1182,AppCert DLLs,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1182,AppCert DLLs,,
T1183,Image File Execution Options Injection,privilege-escalation || persistence || defense-evasion,Privilege Escalation || Persistence || Defense Evasion,3,1,T1183,Image File Execution Options Injection,,
T1185,Browser Session Hijacking,collection,Collection,1,1,T1185,Browser Session Hijacking,,
T1187,Forced Authentication,credential-access,Credential Access,1,1,T1187,Forced Authentication,,
T1188,Multi-hop Proxy,command-and-control,Command And Control,1,1,T1188,Multi-hop Proxy,,
T1189,Drive-by Compromise,initial-access,Initial Access,1,1,T1189,Drive-by Compromise,,
T1190,Exploit Public-Facing Application,initial-access,Initial Access,1,1,T1190,Exploit Public-Facing Application,,
T1191,CMSTP,execution,Execution,1,1,T1191,CMSTP,,
T1192,Spearphishing Link,initial-access,Initial Access,1,1,T1192,Spearphishing Link,,
T1194,Spearphishing via Service,initial-access,Initial Access,1,1,T1194,Spearphishing via Service,,
T1195,Supply Chain Compromise,initial-access,Initial Access,4,1,T1195.001 || T1195.003 || T1195 || T1195.002,Compromise Software Dependencies and Development Tools || Compromise Hardware Supply Chain || Supply Chain Compromise || Compromise Software Supply Chain,T1195.001 || T1195.003 || T1195.002,Compromise Software Dependencies and Development Tools || Compromise Hardware Supply Chain || Compromise Software Supply Chain
T1196,Control Panel Items,defense-evasion || execution,Defense Evasion || Execution,2,1,T1196,Control Panel Items,,
T1197,BITS Jobs,defense-evasion || persistence,Defense Evasion || Persistence,2,1,T1197,BITS Jobs,,
T1198,SIP and Trust Provider Hijacking,persistence,Persistence,1,1,T1198,SIP and Trust Provider Hijacking,,
T1199,Trusted Relationship,initial-access,Initial Access,1,1,T1199,Trusted Relationship,,
T1200,Hardware Additions,initial-access,Initial Access,1,1,T1200,Hardware Additions,,
T1201,Password Policy Discovery,discovery,Discovery,1,1,T1201,Password Policy Discovery,,
T1202,Indirect Command Execution,defense-evasion,Defense Evasion,1,1,T1202,Indirect Command Execution,,
T1203,Exploitation for Client Execution,execution,Execution,1,1,T1203,Exploitation for Client Execution,,
T1204,User Execution,execution,Execution,6,1,T1204.002 || T1204.005 || T1204 || T1204.003 || T1204.004 || T1204.001,Malicious File || Malicious Library || User Execution || Malicious Image || Malicious Copy and Paste || Malicious Link,T1204.002 || T1204.005 || T1204.003 || T1204.004 || T1204.001,Malicious File || Malicious Library || Malicious Image || Malicious Copy and Paste || Malicious Link
T1205,Traffic Signaling,defense-evasion || persistence || command-and-control,Defense Evasion || Persistence || Command And Control,9,1,T1205.002 || T1205 || T1205.001,Socket Filters || Traffic Signaling || Port Knocking,T1205.002 || T1205.001,Socket Filters || Port Knocking
T1206,Sudo Caching,privilege-escalation,Privilege Escalation,1,1,T1206,Sudo Caching,,
T1207,Rogue Domain Controller,defense-evasion,Defense Evasion,1,1,T1207,Rogue Domain Controller,,
T1208,Kerberoasting,credential-access,Credential Access,1,1,T1208,Kerberoasting,,
T1210,Exploitation of Remote Services,lateral-movement,Lateral Movement,1,1,T1210,Exploitation of Remote Services,,
