sample_id,source,campaign_id,prefix_len,prefix_endpoint_step_id,observed_parent_ids,observed_step_ids,observed_tactic_multihot,history_tactic_mapping_missing,target_parent_ids,target_step_ids,target_size,last_description_chars,text_length_group,is_development,development_slot
attack_flow::DFIR - BumbleBee Round 2::0004,attack_flow,DFIR - BumbleBee Round 2,4,attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0,"[""T1547"",""T1059"",""T1135"",""T1071""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0]]",[],"[""T1087"",""T1003"",""T1021""]","[""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad""]",3,73,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0005,attack_flow,DFIR - BumbleBee Round 2,5,attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0]]",[],"[""T1003"",""T1021"",""T1219""]","[""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d""]",3,73,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0006,attack_flow,DFIR - BumbleBee Round 2,6,attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0]]",[],"[""T1021"",""T1219"",""T1136""]","[""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196""]",3,54,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0007,attack_flow,DFIR - BumbleBee Round 2,7,attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0]]",[],"[""T1219"",""T1136"",""T1016""]","[""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196"",""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c""]",3,64,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0008,attack_flow,DFIR - BumbleBee Round 2,8,attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021"",""T1219""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0]]",[],"[""T1136"",""T1016"",""T1219""]","[""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196"",""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c"",""attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3""]",3,26,lt40,0,
attack_flow::DFIR - BumbleBee Round 2::0009,attack_flow,DFIR - BumbleBee Round 2,9,attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021"",""T1219"",""T1136""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0]]",[],"[""T1016"",""T1219"",""T1021""]","[""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c"",""attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3"",""attack_flow::DFIR - BumbleBee Round 2::e40758a2-cd01-4706-9edb-849dc3664091""]",3,46,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0010,attack_flow,DFIR - BumbleBee Round 2,10,attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021"",""T1219"",""T1136"",""T1016""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196"",""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0]]",[],"[""T1219"",""T1021"",""T1059""]","[""attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3"",""attack_flow::DFIR - BumbleBee Round 2::e40758a2-cd01-4706-9edb-849dc3664091"",""attack_flow::DFIR - BumbleBee Round 2::f3466114-62e4-472e-9204-1523cf78352a""]",3,51,ge40,0,
attack_flow::DFIR - BumbleBee Round 2::0011,attack_flow,DFIR - BumbleBee Round 2,11,attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021"",""T1219"",""T1136"",""T1016"",""T1219""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196"",""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c"",""attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0]]",[],"[""T1021"",""T1059""]","[""attack_flow::DFIR - BumbleBee Round 2::e40758a2-cd01-4706-9edb-849dc3664091"",""attack_flow::DFIR - BumbleBee Round 2::f3466114-62e4-472e-9204-1523cf78352a""]",2,38,lt40,0,
attack_flow::DFIR - BumbleBee Round 2::0012,attack_flow,DFIR - BumbleBee Round 2,12,attack_flow::DFIR - BumbleBee Round 2::e40758a2-cd01-4706-9edb-849dc3664091,"[""T1547"",""T1059"",""T1135"",""T1071"",""T1087"",""T1003"",""T1021"",""T1219"",""T1136"",""T1016"",""T1219"",""T1021""]","[""attack_flow::DFIR - BumbleBee Round 2::5bde19de-dfc9-4a67-b7f0-58d63b146fee"",""attack_flow::DFIR - BumbleBee Round 2::52551dbb-9709-4a90-b7e2-ad92c735d5cc"",""attack_flow::DFIR - BumbleBee Round 2::1da9c661-90f5-4bca-b5f1-2798deb4acbe"",""attack_flow::DFIR - BumbleBee Round 2::a69439a7-6d16-421a-9ff7-776302391be0"",""attack_flow::DFIR - BumbleBee Round 2::d31e9ed3-3eb9-44d1-9a53-2e2e4c3dcac2"",""attack_flow::DFIR - BumbleBee Round 2::40029c58-c769-4dbd-a901-87ce0857e074"",""attack_flow::DFIR - BumbleBee Round 2::dc4fb9cd-da86-48d8-b062-7a78f4fcccad"",""attack_flow::DFIR - BumbleBee Round 2::3cd623e4-d522-4a49-9274-80daab9d548d"",""attack_flow::DFIR - BumbleBee Round 2::f988de9b-8b10-45bc-9f97-151ff552a196"",""attack_flow::DFIR - BumbleBee Round 2::a39cb9ff-6740-4503-8a22-7549753a892c"",""attack_flow::DFIR - BumbleBee Round 2::26ba213f-b338-42a5-a791-c666668db1e3"",""attack_flow::DFIR - BumbleBee Round 2::e40758a2-cd01-4706-9edb-849dc3664091""]","[[0,0,0,0,1,1,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,1,0,0,0,0]]",[],"[""T1059""]","[""attack_flow::DFIR - BumbleBee Round 2::f3466114-62e4-472e-9204-1523cf78352a""]",1,51,ge40,0,
attack_flow::Equifax Breach::0001,attack_flow,Equifax Breach,1,attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b,"[""T1595""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1190"",""T1505"",""T1589""]","[""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86""]",3,121,ge40,0,
attack_flow::Equifax Breach::0002,attack_flow,Equifax Breach,2,attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03,"[""T1595"",""T1190""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1505"",""T1589"",""T1573""]","[""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9""]",3,139,ge40,0,
attack_flow::Equifax Breach::0003,attack_flow,Equifax Breach,3,attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550,"[""T1595"",""T1190"",""T1505""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0]]",[],"[""T1589"",""T1573"",""T1560""]","[""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9"",""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2""]",3,87,ge40,0,
attack_flow::Equifax Breach::0004,attack_flow,Equifax Breach,4,attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86,"[""T1595"",""T1190"",""T1505"",""T1589""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1573"",""T1560"",""T1048""]","[""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9"",""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2"",""attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88""]",3,103,ge40,0,
attack_flow::Equifax Breach::0005,attack_flow,Equifax Breach,5,attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9,"[""T1595"",""T1190"",""T1505"",""T1589"",""T1573""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0]]",[],"[""T1560"",""T1048"",""T1090""]","[""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2"",""attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88"",""attack_flow::Equifax Breach::e0206671-984d-49d1-bd1a-12e10966395f""]",3,59,ge40,0,
attack_flow::Equifax Breach::0006,attack_flow,Equifax Breach,6,attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2,"[""T1595"",""T1190"",""T1505"",""T1589"",""T1573"",""T1560""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9"",""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0,1,0,0,0]]",[],"[""T1048"",""T1090"",""T1070""]","[""attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88"",""attack_flow::Equifax Breach::e0206671-984d-49d1-bd1a-12e10966395f"",""attack_flow::Equifax Breach::f4e8ee77-2e14-450d-92d4-d7a1b6595c16""]",3,48,ge40,0,
attack_flow::Equifax Breach::0007,attack_flow,Equifax Breach,7,attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88,"[""T1595"",""T1190"",""T1505"",""T1589"",""T1573"",""T1560"",""T1048""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9"",""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2"",""attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,1,0]]",[],"[""T1090"",""T1070""]","[""attack_flow::Equifax Breach::e0206671-984d-49d1-bd1a-12e10966395f"",""attack_flow::Equifax Breach::f4e8ee77-2e14-450d-92d4-d7a1b6595c16""]",2,102,ge40,0,
attack_flow::Equifax Breach::0008,attack_flow,Equifax Breach,8,attack_flow::Equifax Breach::e0206671-984d-49d1-bd1a-12e10966395f,"[""T1595"",""T1190"",""T1505"",""T1589"",""T1573"",""T1560"",""T1048"",""T1090""]","[""attack_flow::Equifax Breach::6f347c34-9d8a-48f1-889e-23752c87197b"",""attack_flow::Equifax Breach::ed1d3b65-7d96-4fb0-88c4-c2cd30623b03"",""attack_flow::Equifax Breach::21be9f13-3c4b-4c97-b532-326568e19550"",""attack_flow::Equifax Breach::d9d6e1e2-dc1e-404f-a4fd-a1fac90c0a86"",""attack_flow::Equifax Breach::6641e2c7-8ea1-443f-a29d-89e544be5eb9"",""attack_flow::Equifax Breach::bd230072-e0f0-4478-a209-7d7aded898f2"",""attack_flow::Equifax Breach::23fade7d-fc7b-42d6-b962-fd13f8d67e88"",""attack_flow::Equifax Breach::e0206671-984d-49d1-bd1a-12e10966395f""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,1,0],[0,0,0,0,0,0,0,0,0,0,0,1,0,0]]",[],"[""T1070""]","[""attack_flow::Equifax Breach::f4e8ee77-2e14-450d-92d4-d7a1b6595c16""]",1,104,ge40,0,
attack_flow::FIN13 Case 1::0001,attack_flow,FIN13 Case 1,1,attack_flow::FIN13 Case 1::06617ed8-35b6-42e2-9f14-99e97f57b78f,"[""T1595""]","[""attack_flow::FIN13 Case 1::06617ed8-35b6-42e2-9f14-99e97f57b78f""]","[[1,0,0,0,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1595"",""T1190"",""T1505""]","[""attack_flow::FIN13 Case 1::05411f8d-39a0-45a2-824f-230d9c9b2fd5"",""attack_flow::FIN13 Case 1::1f6da219-83ad-4f6a-ba67-5b5e873abb9f"",""attack_flow::FIN13 Case 1::0b518f13-5622-4f1f-8f5c-a8a7ddb069aa""]",3,84,ge40,0,
