label_index,parent_technique_id,tactics,tactic_indices,multi_hot_14,mapping_missing
37,T1070,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
38,T1071,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
39,T1072,"[""execution"",""lateral-movement""]","[3,9]","[0,0,0,1,0,0,0,0,0,1,0,0,0,0]",0
40,T1074,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
41,T1075,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
42,T1078,"[""initial-access"",""persistence"",""privilege-escalation"",""defense-evasion""]","[2,4,5,6]","[0,0,1,0,1,1,1,0,0,0,0,0,0,0]",0
43,T1080,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
44,T1082,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
45,T1083,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
46,T1087,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
47,T1090,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
48,T1091,"[""initial-access"",""lateral-movement""]","[2,9]","[0,0,1,0,0,0,0,0,0,1,0,0,0,0]",0
49,T1093,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
50,T1095,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
51,T1098,"[""persistence"",""privilege-escalation""]","[4,5]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0]",0
52,T1102,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
53,T1104,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
54,T1105,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
55,T1106,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
56,T1110,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
57,T1111,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
58,T1112,"[""persistence"",""defense-evasion""]","[4,6]","[0,0,0,0,1,0,1,0,0,0,0,0,0,0]",0
59,T1113,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
60,T1114,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
61,T1115,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
62,T1119,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
63,T1120,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
64,T1122,"[""persistence"",""defense-evasion""]","[4,6]","[0,0,0,0,1,0,1,0,0,0,0,0,0,0]",0
65,T1124,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
66,T1125,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
67,T1132,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
68,T1133,"[""initial-access"",""persistence""]","[2,4]","[0,0,1,0,1,0,0,0,0,0,0,0,0,0]",0
69,T1134,"[""privilege-escalation"",""defense-evasion""]","[5,6]","[0,0,0,0,0,1,1,0,0,0,0,0,0,0]",0
70,T1135,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
71,T1136,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
72,T1137,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
73,T1140,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
74,T1176,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
75,T1185,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
76,T1187,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
77,T1189,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
78,T1190,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
79,T1192,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
80,T1195,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
81,T1197,"[""persistence"",""defense-evasion""]","[4,6]","[0,0,0,0,1,0,1,0,0,0,0,0,0,0]",0
82,T1199,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
83,T1201,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
84,T1202,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
85,T1203,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
86,T1204,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
87,T1205,"[""persistence"",""defense-evasion"",""command-and-control""]","[4,6,11]","[0,0,0,0,1,0,1,0,0,0,0,1,0,0]",0
88,T1210,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
89,T1211,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
90,T1212,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
91,T1213,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
92,T1216,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
93,T1217,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
94,T1218,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
95,T1219,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
96,T1220,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
97,T1221,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
98,T1222,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
99,T1480,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
100,T1482,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
101,T1484,"[""privilege-escalation"",""defense-evasion""]","[5,6]","[0,0,0,0,0,1,1,0,0,0,0,0,0,0]",0
102,T1485,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
103,T1486,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
104,T1489,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
105,T1490,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
106,T1491,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
107,T1496,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
108,T1497,"[""defense-evasion"",""discovery""]","[6,8]","[0,0,0,0,0,0,1,0,1,0,0,0,0,0]",0
109,T1501,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
110,T1505,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
111,T1518,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
112,T1526,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
113,T1528,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
114,T1529,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
115,T1530,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
116,T1534,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
117,T1537,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
118,T1538,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
119,T1539,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
120,T1542,"[""persistence"",""defense-evasion""]","[4,6]","[0,0,0,0,1,0,1,0,0,0,0,0,0,0]",0
121,T1543,"[""persistence"",""privilege-escalation""]","[4,5]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0]",0
122,T1546,"[""persistence"",""privilege-escalation""]","[4,5]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0]",0
123,T1547,"[""persistence"",""privilege-escalation""]","[4,5]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0]",0
124,T1548,"[""privilege-escalation"",""defense-evasion""]","[5,6]","[0,0,0,0,0,1,1,0,0,0,0,0,0,0]",0
125,T1550,"[""defense-evasion"",""lateral-movement""]","[6,9]","[0,0,0,0,0,0,1,0,0,1,0,0,0,0]",0
126,T1552,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
127,T1553,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
128,T1554,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
129,T1555,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
130,T1556,"[""persistence"",""defense-evasion"",""credential-access""]","[4,6,7]","[0,0,0,0,1,0,1,1,0,0,0,0,0,0]",0
131,T1557,"[""credential-access"",""collection""]","[7,10]","[0,0,0,0,0,0,0,1,0,0,1,0,0,0]",0
132,T1558,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
133,T1559,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
134,T1560,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
135,T1561,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
136,T1562,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
137,T1563,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
138,T1564,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
139,T1565,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
140,T1566,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
141,T1567,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
142,T1568,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
143,T1569,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
144,T1570,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
145,T1571,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
146,T1572,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
147,T1573,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
148,T1574,"[""persistence"",""privilege-escalation"",""defense-evasion""]","[4,5,6]","[0,0,0,0,1,1,1,0,0,0,0,0,0,0]",0
149,T1578,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
150,T1580,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
151,T1583,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
152,T1584,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
153,T1585,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
154,T1586,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
155,T1587,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
156,T1588,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
157,T1589,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
158,T1590,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
159,T1591,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
160,T1592,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
161,T1593,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
162,T1594,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
163,T1595,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
164,T1596,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
165,T1597,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
166,T1598,"[""reconnaissance""]",[0],"[1,0,0,0,0,0,0,0,0,0,0,0,0,0]",0
167,T1606,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
168,T1608,"[""resource-development""]",[1],"[0,1,0,0,0,0,0,0,0,0,0,0,0,0]",0
169,T1610,"[""execution"",""defense-evasion""]","[3,6]","[0,0,0,1,0,0,1,0,0,0,0,0,0,0]",0
170,T1614,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
171,T1615,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
172,T1620,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
173,T1621,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
174,T1622,"[""defense-evasion"",""discovery""]","[6,8]","[0,0,0,0,0,0,1,0,1,0,0,0,0,0]",0
175,T1651,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
176,T1654,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
177,T1656,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
178,T1657,"[""impact""]",[13],"[0,0,0,0,0,0,0,0,0,0,0,0,0,1]",0
179,T1665,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
180,T1669,"[""initial-access""]",[2],"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",0
181,T1674,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
182,T1678,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
183,T1680,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
