pilot_slot,source,old_campaign_id,old_prefix_len,old_prefix,mapping_status,mapping_reason,new_sample_id,new_campaign_id,new_prefix_len,new_prefix_endpoint_step_id,length_stratum,selection_sha256
ctid:long:1,ctid,turla_carbon::unknown,26,"[""T1566"",""T1204"",""T1069"",""T1059"",""T1574"",""T1105"",""T1112"",""T1033"",""T1110"",""T1070"",""T1570"",""T1053"",""T1069"",""T1018"",""T1003"",""T1105"",""T1550"",""T1070"",""T1056"",""T1070"",""T1105"",""T1021"",""T1105"",""T1021"",""T1070"",""T1205""]",deterministic_stratum_replacement,future3_sample_not_available_after_closed_set_filter,ctid::apt29::unknown::0027,apt29::unknown,27,ctid::apt29::03afada1-1714-408f-bde5-f528b91dc89d,long,08737999eb5bd55cad6c13e5cb6cc7925b4c787ec06905d72e7a413904942658
ctid:long:2,ctid,oilrig::unknown,34,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087"",""T1069"",""T1021"",""T1087"",""T1069"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087"",""T1069"",""T1018"",""T1555"",""T1041"",""T1105"",""T1505"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003"",""T1041"",""T1070"",""T1105"",""T1572"",""T1021"",""T1105"",""T1569""]",direct_prefix_match,,ctid::oilrig::unknown::0034,oilrig::unknown,34,ctid::oilrig::44073aa3-70e9-4a48-86b7-c25b6f29c25c,long,bc0190769f54daec1e9ff6c920d47f1f6a2a6860f0a7ff3abe82d7de11b4605c
ctid:long:3,ctid,apt29::unknown,61,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059"",""T1083"",""T1134"",""T1105"",""T1113"",""T1083"",""T1059"",""T1041"",""T1070"",""T1529"",""T1070"",""T1037"",""T1204"",""T1070"",""T1518"",""T1082"",""T1033"",""T1057"",""T1134"",""T1003""]",deterministic_stratum_replacement,legacy_recursive_prefix_differs_from_corrected_logical_sequence,ctid::turla_carbon::unknown::0024,turla_carbon::unknown,24,ctid::turla_carbon::7086ff8c-da64-4b85-a3ee-6157fc0e0a70,long,0c4078b4ccba1842256b3eb3f60fe1f2e013b60b935c0dafcbf7a1679f2419ee
ctid:medium:1,ctid,menu_pass::unknown,11,"[""T1105"",""T1135"",""T1018"",""T1046"",""T1016"",""T1003"",""T1569"",""T1560"",""T1074"",""T1537"",""T1047""]",direct_prefix_match,,ctid::menu_pass::unknown::0011,menu_pass::unknown,11,ctid::menu_pass::8911d502-747a-4155-adcd-b03a1f284ee7,medium,2a8e6ec755c58aa04fbd60e8d0b3127300961f12620c1bd10fc6c09c72d5b567
ctid:medium:2,ctid,turla_snake::unknown,12,"[""T1189"",""T1204"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087"",""T1049"",""T1105"",""T1569"",""T1070"",""T1059""]",direct_prefix_match,,ctid::turla_snake::unknown::0012,turla_snake::unknown,12,ctid::turla_snake::79dae739-fd89-4842-946e-a4675110814e,medium,c21a7ac1e37d0e5aa084109dcf0fd4486b97bc0ff5b88e6b078788a3f3f5e936
ctid:medium:3,ctid,fin6::unknown,11,"[""T1087"",""T1018"",""T1482"",""T1016"",""T1069"",""T1134"",""T1003"",""T1560"",""T1567"",""T1569"",""T1047""]",direct_prefix_match,,ctid::fin6::unknown::0011,fin6::unknown,11,ctid::fin6::661efd66-d876-41de-88ee-ba9ec4328154,medium,3527451b0a140245ee45014fe0a1fb7da2c63b17fe0fa070e0c8bf9b8b0bd36c
ctid:medium:4,ctid,wizard_spider::unknown,18,"[""T1105"",""T1078"",""T1204"",""T1547"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114"",""T1021"",""T1105"",""T1082"",""T1007"",""T1087"",""T1016"",""T1049"",""T1082"",""T1482""]",direct_prefix_match,,ctid::wizard_spider::unknown::0018,wizard_spider::unknown,18,ctid::wizard_spider::ed40220d-9d1f-4191-b73f-54f17278e256,medium,eeea8c0398ff946496ba7c2713b545dc5a4ddefb42fc8eca73658deb0d67b5cd
ctid:short:1,ctid,carbanak::unknown,7,"[""T1113"",""T1112"",""T1140"",""T1003"",""T1105"",""T1570"",""T1021""]",direct_prefix_match,,ctid::carbanak::unknown::0007,carbanak::unknown,7,ctid::carbanak::51da22bc-a6a4-4d60-95ab-d61af87a23d0,short,901b4dd9f9a80c44a5cc194f103955a27ebf2d789b29012d96023219944d6c3d
ctid:short:2,ctid,sandworm::unknown,10,"[""T1105"",""T1505"",""T1033"",""T1082"",""T1083"",""T1003"",""T1105"",""T1548"",""T1053"",""T1543""]",direct_prefix_match,,ctid::sandworm::unknown::0010,sandworm::unknown,10,ctid::sandworm::82d61362-0f60-45d9-a3e1-26ec20cb3387,short,e883737423453cde2058008304e54466fcfe6139c6e21f35fc70d960993be3c9
ctid:short:3,ctid,fin7::unknown,5,"[""T1113"",""T1059"",""T1057"",""T1003"",""T1570""]",direct_prefix_match,,ctid::fin7::unknown::0005,fin7::unknown,5,ctid::fin7::9a76889c-9518-4b3e-9c87-6618156015c6,short,69672d9c86996d8d032d456caa646a673a13f817ccd44acd80fcb98398d978c0
stockpile:long:1,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,12,"[""T1113"",""T1115"",""T1217"",""T1496"",""T1074"",""T1005"",""T1074"",""T1560"",""T1041"",""T1005"",""T1518"",""T1016""]",direct_prefix_match,,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0012,564ae20d-778d-4965-93dc-b523be2e2ab4,12,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0011::9a30740d-3aa8-4c23-8efa-d51215e8a5b9,long,29ae53b234e478c3891d9bd5ade92f696a2ea511d63a60c03b5ec03ab58d7f0c
stockpile:long:2,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,8,"[""T1018"",""T1003"",""T1016"",""T1069"",""T1069"",""T1016"",""T1021"",""T1021""]",direct_prefix_match,,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0008,50855e29-3b4e-4562-aa55-b3d7f93c26b8,8,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0007::65048ec1-f7ca-49d3-9410-10813e472b30,long,92995a54408048bba6c6a01bc529358c1d868f6710eca1113f105acfb2e4eb70
stockpile:long:3,stockpile,78e7504d-968f-477d-8806-4d6c04b94431,9,"[""T1005"",""T1552"",""T1135"",""T1018"",""T1003"",""T1018"",""T1018"",""T1021"",""T1021""]",direct_prefix_match,,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0009,78e7504d-968f-477d-8806-4d6c04b94431,9,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0008::65048ec1-f7ca-49d3-9410-10813e472b30,long,f594793db2484a4ab999d06009a58243a4126fa2aa460585b46647bacfdef27f
stockpile:medium:1,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,4,"[""T1070"",""T1033"",""T1018"",""T1016""]",deterministic_stratum_replacement,future3_sample_not_available_after_closed_set_filter,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0003,5d3e170e-f1b8-49f9-9ee1-c51605552a08,3,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0002::90c2efaa-8205-480d-8bb6-61d90dbaf81b,medium,21cd2c1c7e31b96267f382f799db0169c56aec9fcd391e68be84c3a0c34f390d
stockpile:medium:2,stockpile,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,"[""T1047"",""T1057"",""T1057""]",direct_prefix_match,,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0003,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0002::4d9b079c-9ede-4116-8b14-72ad3a5533af,medium,ad03814f139922c73a078a06850d933b5b4987d059e481a6e076ace1b375da9b
stockpile:medium:3,stockpile,ddbd1850-5fd7-41d5-a7a1-1b15dac49090,4,"[""T1018"",""T1018"",""T1135"",""T1021""]",direct_prefix_match,,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0004,ddbd1850-5fd7-41d5-a7a1-1b15dac49090,4,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0003::65048ec1-f7ca-49d3-9410-10813e472b30,medium,39255b4d22a309e4c569bfff5796f02ec006fb231428c6607d3023610a2c46fb
stockpile:medium:4,stockpile,c724545d-a4cc-492e-8075-2ab9a699c847,3,"[""T1548"",""T1548"",""T1548""]",direct_prefix_match,,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0003,c724545d-a4cc-492e-8075-2ab9a699c847,3,stockpile::c724545d-a4cc-492e-8075-2ab9a699c847::0002::e99cce5c-cb7e-4a6e-8a09-1609a221b90a,medium,fb50bc933d1b26ec7a3b5c3e18b307068364c55ddf89fa86924bdbe38dd0d437
stockpile:short:1,stockpile,de07f52d-9928-4071-9142-cb1d3bd851e8,2,"[""T1005"",""T1033""]",direct_prefix_match,,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0002,de07f52d-9928-4071-9142-cb1d3bd851e8,2,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0001::c0da588f-79f0-4263-8998-7496b1a40596,short,b1ec8d02ccfcc7422407454c3d792124d7e5a7f755940afcdd2a383de99e0fb1
stockpile:short:2,stockpile,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,"[""T1082""]",direct_prefix_match,,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0001,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,stockpile::c220a8e6-609c-4d5b-9e1c-068ca01c2eec::0000::74d1b640-7f1e-4b36-beba-23a8228f39e0,short,cde626882819aa8a8a804317c58ed29bc76c09275da20167da592762c680eb25
stockpile:short:3,stockpile,e4324b88-8836-4803-b6b7-09b3c6cd4e94,1,"[""T1120""]",deterministic_stratum_replacement,direct_mapping_would_remove_campaign_from_main_evaluation,stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0001,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,stockpile::dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6::0000::deeac480-5c2a-42b5-90bb-41675ee53c7e,short,00d8dfa888c7e44047a49bdf9388c87f1989eede286ddd8264421914bb1dd6dd
