annotation_id,source_org,true_label,rank,pred_top1,top5_labels,gated,rl_top1_prob
ms_001,apt29,T1016,159,T1074,T1074 || T1027 || T1218 || T1003 || T1213,0,0.4182488024234772
ms_047,oilrig,T1041,37,T1082,T1082 || T1016 || T1049 || T1033 || T1071,0,0.4189474880695343
ms_048,oilrig,T1007,4,T1210,T1210 || T1570 || T1033 || T1007 || T1124,1,0.203546404838562
ms_049,oilrig,T1033,3,T1016,T1016 || T1049 || T1033 || T1614 || T1021,0,0.8250839710235596
ms_050,oilrig,T1572,2,T1567,T1567 || T1572 || T1090 || T1020 || T1486,0,0.4255733788013458
ms_051,sandworm,T1555,181,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_052,sandworm,T1056,171,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_053,sandworm,T1056,171,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_054,sandworm,T1548,170,T1570,T1570 || T1219 || T1571 || T1102 || T1041,1,0.2379799336194992
ms_055,sandworm,T1070,166,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_056,sandworm,T1018,164,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_057,sandworm,T1049,47,T1570,T1570 || T1213 || T1665 || T1573 || T1105,0,0.3304042816162109
ms_058,sandworm,T1083,44,T1033,T1033 || T1016 || T1071 || T1497 || T1021,0,0.4185799360275268
ms_059,sandworm,T1021,35,T1572,T1572 || T1104 || T1020 || T1033 || T1571,0,0.3222329616546631
ms_060,sandworm,T1552,3,T1003,T1003 || T1018 || T1552 || T1539 || T1558,0,0.6065866351127625
ms_071,turla_carbon,T1069,179,T1053,T1053 || T1036 || T1072 || T1087 || T1056,0,0.5028495788574219
ms_072,turla_carbon,T1189,171,T1105,T1105 || T1111 || T1095 || T1114 || T1056,1,0.26736781001091
ms_073,turla_carbon,T1069,160,T1204,T1204 || T1574 || T1547 || T1505 || T1027,0,0.9731802940368652
ms_074,turla_carbon,T1205,122,T1105,T1105 || T1111 || T1095 || T1114 || T1056,1,0.26736781001091
ms_075,turla_carbon,T1070,116,T1056,T1056 || T1071 || T1105 || T1113 || T1111,0,0.3327847421169281
ms_076,turla_carbon,T1070,38,T1105,T1105 || T1111 || T1095 || T1114 || T1056,1,0.26736781001091
ms_077,turla_carbon,T1003,24,T1021,T1021 || T1570 || T1036 || T1210 || T1560,0,0.7933544516563416
ms_078,turla_carbon,T1021,21,T1105,T1105 || T1111 || T1095 || T1114 || T1056,1,0.26736781001091
ms_080,turla_carbon,T1105,1,T1105,T1105 || T1111 || T1095 || T1114 || T1056,1,0.26736781001091
