representation,annotation_id,sample_id,true_label,query_text,nn1_sample_id,nn1_label,match_at_1,rank_of_first_same_label
state,ms_056,sandworm::unknown::25,T1018,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056,sandworm::unknown::24,T1056,0,47
state,ms_057,sandworm::unknown::18,T1049,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083,sandworm::unknown::20,T1555,0,18
state,ms_058,sandworm::unknown::4,T1083,T1105 T1505 T1033 T1082,sandworm::unknown::7,T1548,0,80
state,ms_059,sandworm::unknown::32,T1021,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018 T1070 T1021 T1105 T1021 T1105 T1486,sandworm::unknown::26,T1070,0,18
state,ms_060,sandworm::unknown::11,T1552,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003,sandworm::unknown::20,T1555,0,38
state,ms_061,wizard_spider::unknown::1,T1078,T1105,wizard_spider::unknown::31,T1490,0,80
state,ms_062,wizard_spider::unknown::29,T1489,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222,wizard_spider::unknown::31,T1490,0,80
state,ms_063,wizard_spider::unknown::26,T1003,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069,wizard_spider::unknown::24,T1547,0,11
state,ms_064,wizard_spider::unknown::31,T1490,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222 T1489 T1105,wizard_spider::unknown::32,T1105,0,80
state,ms_065,wizard_spider::unknown::24,T1547,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105,wizard_spider::unknown::26,T1003,0,21
state,ms_066,wizard_spider::unknown::13,T1087,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007,wizard_spider::unknown::14,T1016,0,45
state,ms_067,wizard_spider::unknown::14,T1016,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087,wizard_spider::unknown::15,T1049,0,57
state,ms_068,wizard_spider::unknown::32,T1105,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222 T1489 T1105 T1490,wizard_spider::unknown::31,T1490,0,27
state,ms_069,wizard_spider::unknown::15,T1049,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016,wizard_spider::unknown::14,T1016,0,22
state,ms_070,wizard_spider::unknown::3,T1547,T1105 T1078 T1204,wizard_spider::unknown::13,T1087,0,7
state,ms_071,turla_carbon::unknown::12,T1069,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053,turla_carbon::unknown::14,T1003,0,9
state,ms_072,turla_carbon::unknown::26,T1189,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021 T1070 T1205,turla_carbon::unknown::25,T1205,0,80
state,ms_073,turla_carbon::unknown::2,T1069,T1566 T1204,wizard_spider::unknown::3,T1547,0,2
state,ms_074,turla_carbon::unknown::25,T1205,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021 T1070,turla_carbon::unknown::24,T1070,0,80
state,ms_075,turla_carbon::unknown::19,T1070,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056,turla_carbon::unknown::18,T1056,0,4
state,ms_076,turla_carbon::unknown::24,T1070,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021,turla_carbon::unknown::25,T1205,0,5
state,ms_077,turla_carbon::unknown::14,T1003,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018,turla_carbon::unknown::12,T1069,0,16
state,ms_078,turla_carbon::unknown::23,T1021,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105,turla_carbon::unknown::22,T1105,0,9
state,ms_079,turla_carbon::unknown::18,T1056,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070,turla_carbon::unknown::19,T1070,0,21
state,ms_080,turla_carbon::unknown::22,T1105,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021,turla_carbon::unknown::23,T1021,0,11
micro_state,ms_001,apt29::unknown::3,T1016,context=execution_on_host ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,wizard_spider::unknown::15,T1049,0,2
micro_state,ms_002,apt29::unknown::2,T1119,context=execution_on_host ; constraint=collection_target_not_identified ; target=local_file_data ; verb=collect,turla_carbon::unknown::22,T1105,0,80
micro_state,ms_003,apt29::unknown::9,T1069,context=post_compromise_discovery ; constraint=privilege_structure_not_enumerated ; target=permission_group_context ; verb=enumerate,turla_carbon::unknown::12,T1069,1,1
micro_state,ms_004,apt29::unknown::1,T1059,context=initial_foothold ; constraint=execution_capability_not_established ; target=command_execution_channel ; verb=execute,turla_carbon::unknown::23,T1021,0,80
micro_state,ms_005,apt29::unknown::8,T1082,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=system_information ; verb=enumerate,oilrig::unknown::12,T1082,1,1
micro_state,ms_006,apt29::unknown::28,T1134,context=valid_user_context ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,apt29::unknown::43,T1134,1,1
micro_state,ms_007,apt29::unknown::26,T1134,context=valid_user_context ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,apt29::unknown::43,T1134,1,1
micro_state,ms_008,apt29::unknown::13,T1134,context=internal_host_access ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,apt29::unknown::26,T1134,1,1
micro_state,ms_009,apt29::unknown::25,T1547,context=internal_host_access ; constraint=persistence_path_not_established ; target=persistence_mechanism ; verb=modify,fin6::unknown::11,T1547,1,1
micro_state,ms_010,apt29::unknown::30,T1552,context=internal_host_access ; constraint=credential_material_not_collected ; target=private_keys ; verb=collect,turla_carbon::unknown::18,T1056,0,8
micro_state,ms_011,apt29::unknown::53,T1204,context=internal_host_access ; constraint=user_execution_path_not_established ; target=user_execution_channel ; verb=trigger,turla_carbon::unknown::2,T1069,0,80
micro_state,ms_012,apt29::unknown::69,T1561,context=internal_host_access ; constraint=impact_path_not_established ; target=host_availability ; verb=disrupt,wizard_spider::unknown::29,T1489,0,80
micro_state,ms_013,apt29::unknown::66,T1114,context=internal_host_access ; constraint=collection_target_not_identified ; target=mailbox_data ; verb=collect,apt29::unknown::67,T1005,0,80
micro_state,ms_014,apt29::unknown::59,T1134,context=valid_user_context ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,apt29::unknown::43,T1134,1,1
micro_state,ms_015,apt29::unknown::43,T1134,context=valid_user_context ; constraint=privilege_context_insufficient ; target=access_token_context ; verb=impersonate,apt29::unknown::59,T1134,1,1
micro_state,ms_016,apt29::unknown::67,T1005,context=internal_host_access ; constraint=collection_target_not_identified ; target=local_file_data ; verb=collect,apt29::unknown::2,T1119,0,80
micro_state,ms_017,apt29::unknown::11,T1012,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=system_configuration_store ; verb=query,wizard_spider::unknown::14,T1016,0,80
micro_state,ms_018,apt29::unknown::19,T1016,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,wizard_spider::unknown::15,T1049,0,3
micro_state,ms_019,apt29::unknown::18,T1018,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=enumerate,oilrig::unknown::16,T1018,1,1
micro_state,ms_020,apt29::unknown::12,T1036,context=execution_on_host ; constraint=defense_evasion_path_not_established ; target=process_or_file_identity ; verb=masquerade,turla_carbon::unknown::19,T1070,0,80
micro_state,ms_021,fin6::unknown::6,T1003,context=valid_user_context ; constraint=credential_material_not_collected ; target=credential_material ; verb=dump,turla_carbon::unknown::14,T1003,1,1
micro_state,ms_022,fin6::unknown::17,T1569,context=internal_host_access ; constraint=remote_execution_path_not_established ; target=service_execution_channel ; verb=execute,sandworm::unknown::32,T1021,0,80
micro_state,ms_023,fin6::unknown::13,T1048,context=internal_host_access ; constraint=exfiltration_path_not_established ; target=exfiltration_channel ; verb=exfiltrate,apt29::unknown::5,T1041,0,80
micro_state,ms_024,fin6::unknown::1,T1018,context=initial_foothold ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=enumerate,oilrig::unknown::16,T1018,1,1
micro_state,ms_025,fin6::unknown::16,T1047,context=internal_host_access ; constraint=remote_execution_path_not_established ; target=wmi_execution_channel ; verb=execute,fin6::unknown::10,T1047,1,1
micro_state,ms_026,fin6::unknown::7,T1560,context=internal_host_access ; constraint=data_not_staged ; target=staged_collection ; verb=collect,apt29::unknown::67,T1005,0,80
micro_state,ms_027,fin6::unknown::2,T1482,context=post_compromise_discovery ; constraint=domain_trust_not_enumerated ; target=domain_trust_relationship ; verb=enumerate,wizard_spider::unknown::15,T1049,0,80
micro_state,ms_028,fin6::unknown::11,T1547,context=internal_host_access ; constraint=persistence_path_not_established ; target=persistence_mechanism ; verb=modify,apt29::unknown::25,T1547,1,1
micro_state,ms_029,fin6::unknown::10,T1047,context=internal_host_access ; constraint=remote_execution_path_not_established ; target=wmi_execution_channel ; verb=execute,fin6::unknown::16,T1047,1,1
micro_state,ms_030,apt29::unknown::4,T1033,context=post_compromise_discovery ; constraint=current_user_context_not_confirmed ; target=user_account_context ; verb=query,oilrig::unknown::1,T1033,1,1
micro_state,ms_031,apt29::unknown::5,T1041,context=internal_host_access ; constraint=exfiltration_path_not_established ; target=exfiltration_channel ; verb=exfiltrate,fin6::unknown::13,T1048,0,3
micro_state,ms_032,apt29::unknown::7,T1007,context=post_compromise_discovery ; constraint=host_service_inventory_not_enumerated ; target=service_inventory ; verb=enumerate,oilrig::unknown::11,T1007,1,1
micro_state,ms_033,apt29::unknown::10,T1087,context=post_compromise_discovery ; constraint=account_landscape_not_enumerated ; target=account_inventory ; verb=enumerate,wizard_spider::unknown::15,T1049,0,2
micro_state,ms_034,apt29::unknown::14,T1548,context=valid_user_context ; constraint=privilege_context_insufficient ; target=privilege_boundary ; verb=elevate,apt29::unknown::26,T1134,0,5
micro_state,ms_035,apt29::unknown::15,T1112,context=internal_host_access ; constraint=configuration_modification_path_not_established ; target=system_configuration_store ; verb=modify,fin6::unknown::11,T1547,0,80
micro_state,ms_036,apt29::unknown::20,T1057,context=post_compromise_discovery ; constraint=running_processes_not_enumerated ; target=process_inventory ; verb=enumerate,wizard_spider::unknown::15,T1049,0,80
micro_state,ms_037,fin6::unknown::3,T1016,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=network_configuration ; verb=enumerate,wizard_spider::unknown::15,T1049,0,3
micro_state,ms_038,fin6::unknown::4,T1069,context=post_compromise_discovery ; constraint=privilege_context_not_enumerated ; target=permission_group_context ; verb=enumerate,turla_carbon::unknown::12,T1069,1,1
micro_state,ms_039,fin6::unknown::8,T1567,context=internal_host_access ; constraint=exfiltration_path_not_established ; target=external_transfer_channel ; verb=exfiltrate,apt29::unknown::5,T1041,0,80
micro_state,ms_040,fin6::unknown::12,T1053,context=internal_host_access ; constraint=persistence_path_not_established ; target=scheduled_task ; verb=schedule,fin6::unknown::11,T1547,0,80
micro_state,ms_041,oilrig::unknown::26,T1003,context=execution_on_host ; constraint=credential_material_not_collected ; target=credential_material ; verb=dump,turla_carbon::unknown::14,T1003,1,1
micro_state,ms_042,oilrig::unknown::36,T1070,context=execution_on_host ; constraint=defense_evasion_path_not_established ; target=process_or_file_identity ; verb=modify,turla_carbon::unknown::19,T1070,1,1
micro_state,ms_043,oilrig::unknown::17,T1555,context=execution_on_host ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=collect,sandworm::unknown::20,T1555,1,1
micro_state,ms_044,oilrig::unknown::20,T1505,context=execution_on_host ; constraint=persistence_path_not_established ; target=persistence_mechanism ; verb=modify,wizard_spider::unknown::24,T1547,0,80
micro_state,ms_045,oilrig::unknown::12,T1082,context=post_compromise_discovery ; constraint=environment_not_enumerated ; target=system_information ; verb=enumerate,apt29::unknown::8,T1082,1,1
micro_state,ms_046,oilrig::unknown::16,T1018,context=post_compromise_discovery ; constraint=remote_targets_not_identified ; target=remote_host_list ; verb=enumerate,apt29::unknown::18,T1018,1,1
micro_state,ms_047,oilrig::unknown::18,T1041,context=execution_on_host ; constraint=exfiltration_path_not_established ; target=exfiltration_channel ; verb=exfiltrate,apt29::unknown::5,T1041,1,1
micro_state,ms_048,oilrig::unknown::11,T1007,context=post_compromise_discovery ; constraint=host_service_inventory_not_enumerated ; target=service_inventory ; verb=enumerate,apt29::unknown::7,T1007,1,1
micro_state,ms_049,oilrig::unknown::1,T1033,context=post_compromise_discovery ; constraint=current_user_context_not_confirmed ; target=user_account_context ; verb=query,apt29::unknown::4,T1033,1,1
micro_state,ms_050,oilrig::unknown::30,T1572,context=execution_on_host ; constraint=remote_execution_path_not_established ; target=command_execution_channel ; verb=execute,turla_carbon::unknown::23,T1021,0,80
micro_state,ms_051,sandworm::unknown::20,T1555,context=execution_on_host ; constraint=credential_material_not_collected ; target=stored_credentials ; verb=collect,oilrig::unknown::17,T1555,1,1
micro_state,ms_052,sandworm::unknown::24,T1056,context=execution_on_host ; constraint=credential_material_not_collected ; target=credential_material ; verb=collect,turla_carbon::unknown::18,T1056,1,1
